Energy,Flux Value,Flux Error,Is Upper Limit
1.3523632185176406e-06,1.635e-15,0.0,0.0
1.5095185772444614e-06,1.18e-15,1.35e-16,0.0
1.5880962566078716e-06,1.2211e-15,0.0,0.0
5.7899342688828654e-06,5.5e-15,0.0,0.0
5.7899342688828654e-06,5.1239e-15,1.5382e-16,0.0
5.7899342688828654e-06,4.5122e-15,2.184e-18,0.0
5.7899342688828654e-06,5.502e-15,0.0,0.0
5.7899342688828654e-06,5.12e-15,1.54e-16,0.0
5.8312909422320285e-06,6.35e-15,0.0,0.0
1.1166301804274097e-05,1.134e-14,0.0,0.0
1.1166301804274097e-05,8.64e-15,0.0,0.0
1.1166301804274097e-05,1.13e-14,0.0,0.0
1.9768489860900068e-05,1.72e-14,0.0,0.0
2.0057986574344214e-05,1.682e-14,2.425e-17,0.0
2.0057986574344214e-05,1.69e-14,2.38e-15,0.0
2.0057986574344214e-05,1.82e-14,1.07e-15,0.0
2.0057986574344214e-05,1.8187e-14,1.067e-15,0.0
2.0057986574344214e-05,1.66e-14,2.49e-15,0.0
2.0057986574344214e-05,1.7023e-14,1.5035e-15,0.0
2.067833667458166e-05,1.6e-14,0.0,0.0
2.067833667458166e-05,1.71e-14,0.0,0.0
3.473960561329719e-05,2.69e-14,0.0,0.0
3.473960561329719e-05,2.693e-14,0.0,0.0
3.498774565339217e-05,2.7123e-14,3.384e-17,0.0
6.203501002374499e-05,5.39e-14,6e-16,0.0
0.05636914577490961,5.0656e-13,1.5591e-13,0.0
0.05636914577490961,6.3714e-13,1.4433e-13,0.0
0.10330897002620998,2.2424e-13,3.6711e-14,0.0
0.10330897002620998,2.2715e-13,3.4063e-14,0.0
0.2695214402164974,1.924e-13,9.6559e-15,0.0
0.2695214402164974,1.4514e-13,1.1307e-14,0.0
0.36464178891957305,1.7363e-13,9.0198e-15,0.0
0.36464178891957305,2.0779e-13,8.2655e-15,0.0
1.344091883847808,2.13e-13,0.0,0.0
1.344091883847808,1.6e-13,1.02e-14,0.0
1.344091883847808,2.38e-13,1.45e-14,0.0
1.3589802862535068,2.4615e-13,1.5507e-14,0.0
1.5703128870677314,3.6144e-13,3.4871e-14,0.0
1.6087745932824533,1.79e-13,3.79e-15,0.0
1.6087745932824533,2.76e-13,0.0,0.0
1.6087745932824533,2.86e-13,5.53e-15,0.0
1.62821222975656,2.8911e-13,5.5728e-15,0.0
1.9354923127408437,1.46e-13,2.85e-14,0.0
1.9354923127408437,4.04e-13,0.0,0.0
1.9388008466087767,4.0503e-13,3.9077e-14,0.0
1.9388008466087767,6.3022e-13,6.0802e-14,0.0
1.9388008466087767,3.4633e-13,3.3413e-14,0.0
1.9727133187550905,2.73e-13,4.28e-15,0.0
1.9727133187550905,1.8e-13,3.64e-15,0.0
1.9727133187550905,2.71e-13,0.0,0.0
1.991323821762214,2.7675e-13,4.4504e-15,0.0
2.2870240362087317,8.895e-13,7.844e-14,0.0
2.551706745643377,2.62e-13,0.0,0.0
2.551706745643377,2.91e-13,4.02e-15,0.0
2.551706745643377,2.06e-13,3.98e-15,0.0
2.6009211869288813,2.9773e-13,4.2295e-15,0.0
2.650962761681369,2.58e-13,3.35e-14,0.0
2.8196979889459555,4.91e-13,4.737e-14,0.0
2.8196979889459555,1.1997e-12,1.1575e-13,0.0
2.8196979889459555,1.1563e-12,1.1156e-13,0.0
2.857746128427186,4.96e-13,2.878e-14,0.0
3.445010889985305,3.65e-13,5.78e-14,0.0
3.457417891990054,2.43e-13,8.72e-15,0.0
3.457417891990054,2.93e-13,0.0,0.0
3.457417891990054,3.27e-13,1.2e-14,0.0
3.4950524647377925,3.1616e-13,1.1848e-14,0.0
3.531859904018548,4.008e-13,1.182e-14,0.0
4.714660761804619,2.9e-13,1.056e-14,0.0
5.335010862042068,1.92e-13,3.11e-14,0.0
5.335010862042068,1.13e-13,2.07e-14,0.0
5.335010862042068,1.51e-13,8.64e-15,0.0
5.335010862042068,9.81e-14,5.43e-15,0.0
5.541794228787886,2.194e-13,8.797e-15,0.0
6.0794309823270085,1.903e-13,6.303e-15,0.0
8.064551303086848,8.83e-14,1.31e-14,0.0
8.064551303086848,7.29e-14,3.13e-14,0.0
8.064551303086848,7.01e-14,9.11e-15,0.0
469.9952455800634,3.40069839381e-14,4.85694775939e-15,0.0
669.9932110063538,4.41875162413e-14,6.23749066622e-15,0.0
864.991231771469,5.31810919857e-14,6.66673000638e-15,0.0
1034.9895292058932,6.05584465881e-14,9.31972535896e-15,0.0
1184.9880181774543,6.66604542183e-14,1.0364661696e-14,0.0
1324.9865880209102,7.21763340318e-14,1.36157546787e-14,0.0
1474.9850471908526,7.78063233925e-14,1.26417826827e-14,0.0
1649.983289290588,8.4217596709e-14,1.58999408421e-14,0.0
1874.981037650807,9.20531035298e-14,1.59825659395e-14,0.0
2174.9779559906915,1.02172607188e-13,1.94183112239e-14,0.0
2559.974052851475,1.14512296633e-13,2.28314541537e-14,0.0
3109.9685620887453,1.3108535318e-13,2.01967379455e-14,0.0
3914.9603684674894,1.53897772506e-13,2.04817607227e-14,0.0
5114.948280264792,1.85291667232e-13,2.86412355386e-14,0.0
6604.933221030003,2.22629836014e-13,5.83685125786e-14,0.0
76015122.5499,2.60851367779e-12,1.01450056088e-12,1.0
100083149.50497523,1.0255e-11,4.4344e-12,0.0
100083149.50497523,1.4467e-10,6.624e-11,0.0
100083149.50497523,4.3513e-11,2.2172e-11,0.0
100083149.50497523,6.0974e-11,2.827e-11,0.0
100083149.50497523,2.9378e-11,8.3146e-12,0.0
100083149.50497523,2.2172e-11,6.9288e-12,0.0
100083149.50497523,3.409e-11,9.7004e-12,0.0
195839368.47800002,1.45330866201e-12,5.31120029034e-13,1.0
200166299.00995046,5.4918e-12,1.8044e-12,0.0
200166299.00995046,5.4887e-12,1.0583e-12,0.0
200166299.00995046,3.873e-12,6.7493e-13,0.0
314336635.21900004,5.36007739283e-13,2.74044290981e-13,1.0
504533490.93600005,1.21525849852e-12,3.710058148e-13,1.0
600498897.0298514,4.0326e-12,3.7175e-13,0.0
600498897.0298514,2.6683e-12,6.4567e-13,0.0
600498897.0298514,3.2417e-12,4.914e-13,0.0
809822800.252,1.08118351828e-12,3.55289444662e-13,0.0
1000831495.0497525,2.5553e-12,1.0547e-12,0.0
1000831495.0497525,4.7348e-12,1.7912e-12,0.0
1000831495.0497525,7.7661e-12,2.1044e-12,0.0
1000831495.0497525,6.1628e-12,1.8413e-12,0.0
1000831495.0497525,3.6451e-12,1.3027e-12,0.0
1000831495.0497525,6.8267e-12,1.6534e-12,0.0
1000831495.0497525,4.8851e-12,1.5031e-12,0.0
1000831495.0497525,3.5824e-12,1.3278e-12,0.0
1000831495.0497525,3.382e-12,1.2426e-12,0.0
1000831495.0497525,4.5344e-12,1.2902e-12,0.0
1000831495.0497525,4.4342e-12,1.453e-12,0.0
1000831495.0497525,2.9687e-12,1.2902e-12,0.0
1000831495.0497525,4.0584e-12,1.2902e-12,0.0
1299840307.11,8.70600218565e-13,3.37819572785e-13,1.0
2001662990.099505,4.1087e-12,7.781e-13,0.0
2001662990.099505,3.5516e-12,5.4133e-13,0.0
2001662990.099505,3.5759e-12,3.5647e-13,0.0
2086363613.7100003,1.19453124411e-12,3.90123337249e-13,0.0
3348806083.94,1.37656008767e-12,4.44195451185e-13,0.0
5375080835.95,1.18423880688e-12,4.63548801534e-13,1.0
6004988970.298514,2.8153e-12,8.6336e-13,0.0
6004988970.298514,2.9051e-12,4.4971e-13,0.0
6004988970.298514,2.4699e-12,5.8357e-13,0.0
8627401309.22,1.09553088307e-12,4.55520885614e-13,1.0
13847775048.9,1.99798922495e-12,8.20779103603e-13,1.0
22226956522.9,1.96454034744e-12,6.01587509427e-13,1.0
35676315836.0,1.11733500308e-12,4.55202928972e-13,1.0
57263778345.7,2.03689664487e-12,8.63338261938e-13,1.0
60049889702.985146,1.8306e-12,7.3408e-13,0.0
60049889702.985146,2.632e-12,6.7658e-13,0.0
91912589103.20001,1.54188688735e-12,5.7104934609e-13,1.0
147526486720.0,4.60393495354e-12,2.3806624645e-12,1.0
236793621699.0,3.76177030942e-12,1.39039360368e-12,1.0
