Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
4.090074633014067e-06,1.0765400426839658e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0765400426839658e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0765400426839658e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.502078349070848e-21,8.095482794260521e-19
4.520231537166065e-06,8.323425825644832e-23,1.7699759297258636e-23,0.0,1.7690521067197798e-35,0.0,6.268731323178411e-23,0.0,1.2468283208251558e-38,0.0,2.592001945422225e-37,0.0,2.3247582708237087e-65,8.341079654887901e-23,1.7593020119403558e-23,0.0,1.9139573320263972e-27,0.0,6.297413869209934e-23,0.0,1.3688489134779875e-30,0.0,2.761918675255076e-29,0.0,2.4955557535145017e-57,8.323425825644832e-23,1.7699759297258636e-23,0.0,1.7690521067197798e-35,0.0,6.268731323178411e-23,0.0,1.2468283208251558e-38,0.0,2.592001945422225e-37,0.0,2.3247582708237087e-65,4.502078349070848e-21,8.095482794260521e-19
4.995628437844323e-06,1.1825881432310141e-22,2.6173286227054607e-23,0.0,2.6152371474173586e-35,0.0,8.811131025934956e-23,0.0,1.8445813555973755e-38,0.0,3.814919480475427e-37,0.0,3.678667068383735e-65,1.1850193720539766e-22,2.601139543861875e-23,0.0,2.829033475870117e-27,0.0,8.852229447005525e-23,0.0,2.0247935594354133e-30,0.0,4.0644129095164516e-29,0.0,3.948360903485315e-57,1.1825881432310141e-22,2.6173286227054607e-23,0.0,2.6152371474173586e-35,0.0,8.811131025934956e-23,0.0,1.8445813555973755e-38,0.0,3.814919480475427e-37,0.0,3.678667068383735e-65,4.502078349070848e-21,8.095482794260521e-19
5.521023267017212e-06,1.682001323480765e-22,3.8733203488010446e-23,0.0,3.869171964107705e-35,0.0,1.239034949252865e-22,0.0,2.731098521236946e-38,0.0,5.617255237845547e-37,0.0,5.825996280771873e-65,1.6853325583606716e-22,3.848735474459076e-23,0.0,4.1848263961433504e-27,0.0,1.2449237621457358e-22,0.0,2.9974461884286916e-30,0.0,5.983712197013943e-29,0.0,6.252168217814541e-57,1.682001323480765e-22,3.8733203488010446e-23,0.0,3.869171964107705e-35,0.0,1.239034949252865e-22,0.0,2.731098521236946e-38,0.0,5.617255237845547e-37,0.0,5.825996280771873e-65,4.502078349070848e-21,8.095482794260521e-19
6.101674352726432e-06,2.394585400952112e-22,5.735644623929584e-23,0.0,5.727979986261246e-35,0.0,1.7429450512314676e-22,0.0,4.046371116678686e-38,0.0,8.27334147473912e-37,0.0,9.233336395172054e-65,2.39912267824624e-22,5.698270970413832e-23,0.0,6.194274055312181e-27,0.0,1.7513822937948164e-22,0.0,4.4402552060596276e-30,0.0,8.811683558135642e-29,0.0,9.907190498684548e-57,2.394585400952112e-22,5.735644623929584e-23,0.0,5.727979986261246e-35,0.0,1.7429450512314676e-22,0.0,4.046371116678686e-38,0.0,8.27334147473912e-37,0.0,9.233336395172054e-65,4.502078349070848e-21,8.095482794260521e-19
6.7433930462013135e-06,3.4119202791050344e-22,8.497626988667054e-23,0.0,8.484086122764486e-35,0.0,2.4523489446131553e-22,0.0,5.998282134965175e-38,0.0,1.218675328463331e-36,0.0,1.4642029861224447e-64,3.418056955752034e-22,8.440764919205708e-23,0.0,9.173196777884941e-27,0.0,2.46443610402824e-22,0.0,6.581039608912264e-30,0.0,1.2977612270887515e-28,0.0,1.5708039215866432e-56,3.4119202791050344e-22,8.497626988667054e-23,0.0,8.484086122764486e-35,0.0,2.4523489446131553e-22,0.0,5.998282134965175e-38,0.0,1.218675328463331e-36,0.0,1.4642029861224447e-64,4.502078349070848e-21,8.095482794260521e-19
7.452601883815228e-06,4.86508163064658e-22,1.2594408133978785e-22,0.0,1.2571222829123094e-34,0.0,3.4509051610264238e-22,0.0,8.895495042335062e-38,0.0,1.7950731530325163e-36,0.0,2.3229978738004767e-64,4.873312393013553e-22,1.2507840816091023e-22,0.0,1.35899293300983e-26,0.0,3.4682186717780243e-22,0.0,9.757991724809195e-30,0.0,1.9112403919630093e-28,0.0,2.491700785591424e-56,4.86508163064658e-22,1.2594408133978785e-22,0.0,1.2571222829123094e-34,0.0,3.4509051610264238e-22,0.0,8.895495042335062e-38,0.0,1.7950731530325163e-36,0.0,2.3229978738004767e-64,4.502078349070848e-21,8.095482794260521e-19
8.236398865988388e-06,6.941751640773961e-22,1.8671393451649195e-22,0.0,1.8632614894922538e-34,0.0,4.856177741889207e-22,0.0,1.319625971520923e-37,0.0,2.6436605680668005e-36,0.0,3.686873852627503e-64,6.952680289357136e-22,1.8539542498976471e-22,0.0,2.0138862456678037e-26,0.0,4.88097331753239e-22,0.0,1.447309147731507e-29,0.0,2.814251621389965e-28,0.0,3.95393407308306e-56,6.941751640773961e-22,1.8671393451649195e-22,0.0,1.8632614894922538e-34,0.0,4.856177741889207e-22,0.0,1.319625971520923e-37,0.0,2.6436605680668005e-36,0.0,3.686873852627503e-64,4.502078349070848e-21,8.095482794260521e-19
9.10262849636159e-06,9.910833352843492e-22,2.768568715295183e-22,0.0,2.7622021627854135e-34,0.0,6.833308867492319e-22,0.0,1.95808330610716e-37,0.0,3.892305997114648e-36,0.0,5.8532015946280766e-64,9.925165360260924e-22,2.748480337583994e-22,0.0,2.984939694251613e-26,0.0,6.868813594469092e-22,0.0,2.147134580959025e-29,0.0,4.1427246896701875e-28,0.0,6.276051425929529e-56,9.910833352843492e-22,2.768568715295183e-22,0.0,2.7622021627854135e-34,0.0,6.833308867492319e-22,0.0,1.95808330610716e-37,0.0,3.892305997114648e-36,0.0,5.8532015946280766e-64,4.502078349070848e-21,8.095482794260521e-19
1.0059960292225505e-05,1.4157327752376302e-21,4.1056368788109225e-22,0.0,4.095343959964028e-34,0.0,9.61417800900608e-22,0.0,2.905892422457622e-37,0.0,5.7284893412760484e-36,0.0,9.294472410271202e-64,1.4175831468549878e-21,4.0750254504309504e-22,0.0,4.424732876383989e-26,0.0,9.665007830348286e-22,0.0,3.1858321252000864e-29,0.0,6.095915996060399e-28,0.0,9.96408723975605e-56,1.4157327752376302e-21,4.1056368788109225e-22,0.0,4.095343959964028e-34,0.0,9.61417800900608e-22,0.0,2.905892422457622e-37,0.0,5.7284893412760484e-36,0.0,9.294472410271202e-64,4.502078349070848e-21,8.095482794260521e-19
