Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
3175074183.976261,3.25427314860311e-31,3.25427314860311e-31,6.258568170790163e-23
3508999650.8633327,3.974394399996225e-31,3.974394399996225e-31,7.643535619664016e-23
3878044365.671756,4.85380254421353e-31,4.85380254421353e-31,9.334866603408041e-23
4285901851.9475474,5.927704094304247e-31,5.927704094304247e-31,1.140028195832663e-22
4736654084.498989,7.239075719284307e-31,7.239075719284307e-31,1.3922451397525693e-22
5234812343.172514,8.840374200270681e-31,8.840374200270681e-31,1.7002284433300598e-22
5785362363.2577,1.0795620516282963e-30,1.0795620516282963e-30,2.0762941844277367e-22
6393814234.40181,1.3182938945999959e-30,1.3182938945999959e-30,2.5354723693743074e-22
7066257547.438993,1.6097649122078353e-30,1.6097649122078353e-30,3.096102289308799e-22
7809422341.062125,1.9656029421369673e-30,1.9656029421369673e-30,3.7805572910369277e-22
8630746458.312101,2.399989450412249e-30,2.399989450412249e-30,4.616126561490272e-22
9538449987.010931,2.930215887412273e-30,2.930215887412273e-30,5.636087172152479e-22
10541617529.16352,3.577359271002337e-30,3.577359271002337e-30,6.881006325809504e-22
11650289122.707987,4.367101662146361e-30,4.367101662146361e-30,8.400321639447119e-22
12875560725.589918,5.330722908452646e-30,5.330722908452646e-30,1.0254256529031736e-21
14229695267.838959,6.506301467430405e-30,6.506301467430405e-30,1.2516138464831868e-21
15726245383.094282,7.940161729512535e-30,7.940161729512535e-30,1.527519548408519e-21
17380189047.917225,9.68858831050812e-30,9.68858831050812e-30,1.863987546141451e-21
19208079486.414993,1.1819966978528367e-29,1.1819966978528367e-29,2.2741984467316226e-21
21228210840.471275,1.441727240739431e-29,1.441727240739431e-29,2.7741512022091317e-21
23460801263.66705,1.7581101602373195e-29,1.7581101602373195e-29,3.383251504347112e-21
25928195271.35723,2.143321410666604e-29,2.143321410666604e-29,4.125000632873089e-21
28655087372.090534,2.61208065673163e-29,2.61208065673163e-29,5.027827860253272e-21
31668769218.5512,3.182145609982361e-29,3.182145609982361e-29,6.126056856187886e-21
