Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
7.757377128481007e-06,7.899446278341266e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3056948711486286e-21,5.854828535840509e-19,7.899446278341266e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.899446278341266e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.573227602942365e-06,1.70990030312355e-19,1.7028307650872155e-19,0.0,1.2590822571691724e-32,0.0,1.8001794794767008e-23,0.0,1.9342939661221187e-35,0.0,7.785466572107283e-36,0.0,2.9863034211947767e-65,2.3056948711486286e-21,5.854828535840509e-19,1.7098867230167036e-19,1.702780444163564e-19,0.0,2.241695004750886e-26,0.0,2.1460204035715926e-23,0.0,3.443792365486308e-29,0.0,1.3860742513065773e-29,0.0,5.317647433398711e-59,1.70990030312355e-19,1.7028307650872155e-19,0.0,1.2590822571691724e-32,0.0,1.8001794794767008e-23,0.0,1.9342939661221187e-35,0.0,7.785466572107283e-36,0.0,2.9863034211947767e-65
9.474881820815312e-06,2.299889102473321e-19,2.2914687144110356e-19,0.0,1.739716780882233e-32,0.0,2.3917190489455608e-23,0.0,2.673953096235114e-35,0.0,1.0662987496557537e-35,0.0,4.522346342446947e-65,2.3056948711486286e-21,5.854828535840509e-19,2.299873126727329e-19,2.2914022932111044e-19,0.0,3.0974282175903906e-26,0.0,2.86896843907649e-23,0.0,4.760674058533164e-29,0.0,1.8983722051104776e-29,0.0,8.052858029032074e-59,2.299889102473321e-19,2.2914687144110356e-19,0.0,1.739716780882233e-32,0.0,2.3917190489455608e-23,0.0,2.673953096235114e-35,0.0,1.0662987496557537e-35,0.0,4.522346342446947e-65
1.04713638405687e-05,3.096373155850348e-19,3.0864425175525153e-19,0.0,2.4091201090236945e-32,0.0,3.1875562556470823e-23,0.0,3.7046287374122114e-35,0.0,1.4654869224040024e-35,0.0,6.8724124373666715e-65,2.3056948711486286e-21,5.854828535840509e-19,3.0963548636764633e-19,3.086354793048283e-19,0.0,4.289250570839266e-26,0.0,3.847665816457001e-23,0.0,6.595679149484504e-29,0.0,2.6090657742625284e-29,0.0,1.2237594317853192e-58,3.096373155850348e-19,3.0864425175525153e-19,0.0,2.4091201090236945e-32,0.0,3.1875562556470823e-23,0.0,3.7046287374122114e-35,0.0,1.4654869224040024e-35,0.0,6.8724124373666715e-65
1.1572646789185465e-05,4.1725247208103704e-19,4.160931094341023e-19,0.0,3.343495184938891e-32,0.0,4.2616683873702126e-23,0.0,5.144005426213795e-35,0.0,2.021199706870883e-35,0.0,1.0480591014209823e-64,2.3056948711486286e-21,5.854828535840509e-19,4.1725045743555196e-19,4.160815143338672e-19,0.0,5.95283603295747e-26,0.0,5.176815673355136e-23,0.0,9.158332267605269e-29,0.0,3.5984288127622843e-29,0.0,1.8662646036784456e-58,4.1725247208103704e-19,4.160931094341023e-19,0.0,3.343495184938891e-32,0.0,4.2616683873702126e-23,0.0,5.144005426213795e-35,0.0,2.021199706870883e-35,0.0,1.0480591014209823e-64
1.2789752676569316e-05,5.627630474773142e-19,5.614232661719849e-19,0.0,4.6505927610043207e-32,0.0,5.7159598734527e-23,0.0,7.158569897946623e-35,0.0,2.79749951399778e-35,0.0,1.6039949593826095e-64,2.3056948711486286e-21,5.854828535840509e-19,5.627609592932142e-19,5.614079252423318e-19,0.0,8.280027242625699e-26,0.0,6.987612869033688e-23,0.0,1.2745045039005873e-28,0.0,4.980515633030003e-29,0.0,2.8562159724337175e-58,5.627630474773142e-19,5.614232661719849e-19,0.0,4.6505927610043207e-32,0.0,5.7159598734527e-23,0.0,7.158569897946623e-35,0.0,2.79749951399778e-35,0.0,1.6039949593826095e-64
1.4134862707524553e-05,7.596414001046051e-19,7.581084815838595e-19,0.0,6.483084989182822e-32,0.0,7.691208863003983e-23,0.0,9.984330849865103e-35,0.0,3.8856942902706454e-35,0.0,2.4635729246343006e-64,2.3056948711486286e-21,5.854828535840509e-19,7.596394586857864e-19,7.58088161025787e-19,0.0,1.1542646241138412e-25,0.0,9.462313442132929e-23,0.0,1.7776005312617338e-28,0.0,6.917887617669914e-29,0.0,4.386862802742834e-58,7.596414001046051e-19,7.581084815838595e-19,0.0,6.483084989182822e-32,0.0,7.691208863003983e-23,0.0,9.984330849865103e-35,0.0,3.8856942902706454e-35,0.0,2.4635729246343006e-64
1.5621439195348165e-05,1.0261669663831023e-18,1.0244293681727018e-18,0.0,9.057750013274953e-32,0.0,1.0382469461541396e-22,0.0,1.395655423628895e-34,0.0,5.416339117210633e-35,0.0,3.797292681450757e-64,2.3056948711486286e-21,5.854828535840509e-19,1.0261655664951093e-18,1.0244024151973093e-18,0.0,1.612665127025621e-25,0.0,1.285482940722236e-22,0.0,2.4848117500789563e-28,0.0,9.642980521621829e-29,0.0,6.761814782279076e-58,1.0261669663831023e-18,1.0244293681727018e-18,0.0,9.057750013274953e-32,0.0,1.0382469461541396e-22,0.0,1.395655423628895e-34,0.0,5.416339117210633e-35,0.0,3.797292681450757e-64
1.72643602971858e-05,1.3871378800531779e-18,1.3851842398013529e-18,0.0,1.2683067129018248e-31,0.0,1.4060820296112283e-22,0.0,1.9552552310056708e-34,0.0,7.576709809845752e-35,0.0,5.8739219361438285e-64,2.3056948711486286e-21,5.854828535840509e-19,1.3871376922462917e-18,1.3851484350256862e-18,0.0,2.2581267965745155e-25,0.0,1.7519939100800482e-22,0.0,3.4811183591373846e-28,0.0,1.3489213975200893e-28,0.0,1.045966840940991e-57,1.3871378800531779e-18,1.3851842398013529e-18,0.0,1.2683067129018248e-31,0.0,1.4060820296112283e-22,0.0,1.9552552310056708e-34,0.0,7.576709809845752e-35,0.0,5.8739219361438285e-64
1.908006891962962e-05,1.876189546148646e-18,1.8740065569471663e-18,0.0,1.7799027421269094e-31,0.0,1.9104190607756442e-22,0.0,2.7453439254328643e-34,0.0,1.0636336039475556e-34,0.0,9.118574900816328e-64,2.3056948711486286e-21,5.854828535840509e-19,1.876191671372788e-18,1.8739589128370223e-18,0.0,3.168986929370074e-25,0.0,2.3954866675840533e-22,0.0,4.887785193182515e-28,0.0,1.8936449950855895e-28,0.0,1.623742809505745e-57,1.876189546148646e-18,1.8740065569471663e-18,0.0,1.7799027421269094e-31,0.0,1.9104190607756442e-22,0.0,2.7453439254328643e-34,0.0,1.0636336039475556e-34,0.0,9.118574900816328e-64
2.1086737284853728e-05,2.538935688296657e-18,2.5365044397098043e-18,0.0,2.503475290957646e-31,0.0,2.604122828840863e-22,0.0,3.863354833114988e-34,0.0,1.4984454786938042e-34,0.0,1.4205994404518092e-63,2.3056948711486286e-21,5.854828535840509e-19,2.538941892928945e-18,2.5364409245714335e-18,0.0,4.457256218166854e-25,0.0,3.2858695724533887e-22,0.0,6.87828140301342e-28,0.0,2.667767387166111e-28,0.0,2.5296614892312463e-57,2.538935688296657e-18,2.5365044397098043e-18,0.0,2.503475290957646e-31,0.0,2.604122828840863e-22,0.0,3.863354833114988e-34,0.0,1.4984454786938042e-34,0.0,1.4205994404518092e-63
