Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
8160000000.0,4.361317978347522e-23,9.02972996519526e-35,4.361317978347522e-23
9018194691.497286,5.326641281185617e-23,1.1028513117004758e-34,5.326641281185617e-23
9966646506.586987,6.505579683102121e-23,1.346967001061333e-34,6.505579683102121e-23
11014847869.820187,7.945384483563688e-23,1.6451079798976832e-34,7.945384483563688e-23
12173289532.752766,9.7037507918979e-23,2.0092266803383025e-34,9.7037507918979e-23
13453565568.913046,1.1851122414845948e-22,2.4539182295980517e-34,1.1851122414845948e-22
14868489411.186554,1.4473503899409137e-22,2.997004055036441e-34,1.4473503899409137e-22
16432222092.95909,1.7675890649207795e-22,3.660244067377953e-34,1.7675890649207795e-22
18160413976.49854,2.158645199038764e-22,4.47020561624717e-34,2.158645199038764e-22
20070361387.04071,2.6361631061245145e-22,5.459323535063517e-34,2.6361631061245145e-22
22181179720.225807,3.219236043872973e-22,6.667193018548898e-34,3.219236043872973e-22
24513994755.402897,3.931163466748361e-22,8.142146071423834e-34,3.931163466748361e-22
27092154089.53023,4.8003731685827915e-22,9.943173146264093e-34,4.8003731685827915e-22
29941460807.773033,5.86154361152512e-22,1.2142264723037939e-33,5.86154361152512e-22
33090431729.452553,7.156969027490727e-22,1.482726340679124e-33,7.156969027490727e-22
36570582813.9586,8.73821855894792e-22,1.810533613747087e-33,8.73821855894792e-22
40416744583.06414,1.0668149476889198e-21,2.2107197255791448e-33,1.0668149476889198e-21
44667410716.49396,1.3023332029229638e-21,2.699222460029065e-33,1.3023332029229638e-21
49365123309.60964,1.5897034620176889e-21,3.29547260663267e-33,1.5897034620176889e-21
54556898648.99885,1.9402787567645624e-21,4.023149105900886e-33,1.9402787567645624e-21
60294697767.27411,2.3678730600935495e-21,4.9111001023822265e-33,2.3678730600935495e-21
66635946486.55204,2.8892805589559223e-21,5.9944517753316676e-33,2.8892805589559223e-21
73644110155.38243,3.524906690511152e-21,7.315958105391982e-33,3.524906690511152e-21
81389328831.28815,4.299518404308015e-21,8.927620090588773e-33,4.299518404308015e-21
89949119266.03549,5.24309274882167e-21,1.089258811967116e-32,5.24309274882167e-21
99409150719.34035,6.391527296790709e-21,1.3287118824377794e-32,6.391527296790709e-21
109864102365.6138,7.787771047306504e-21,1.620323465636696e-32,7.787771047306504e-21
121418610874.96236,9.483168904438366e-21,1.975185371791836e-32,9.483168904438366e-21
134188317652.15198,1.1539034393770213e-20,2.4066561401098723e-32,1.1539034393770213e-20
148301026214.65543,1.402876848158744e-20,2.9308304973908386e-32,1.402876848158744e-20
163897981293.21136,1.704009613130488e-20,3.5670773466610693e-32,1.704009613130488e-20
181135282456.56375,2.0678175676374742e-20,4.33872231587008e-32,2.0678175676374742e-20
200185446408.41232,2.5068851892464853e-20,5.273820390147157e-32,2.5068851892464853e-20
221239133592.56842,3.0362772875983426e-20,6.406099355369026e-32,3.0362772875983426e-20
244507056386.75974,3.674035675572551e-20,7.776092552006864e-32,3.674035675572551e-20
