Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
2.883132724200961e-06,4.353536231091131e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.036089019289009e-22,5.1323906873106285e-20,4.353536231091131e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.353536231091131e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1863544397391126e-06,7.389956051742761e-17,7.399741124978182e-17,0.0,1.2988657257367067e-23,0.0,4.178287441363977e-22,0.0,1.7896062127979116e-27,0.0,3.9422723466612685e-22,0.0,5.77180555217229e-55,8.036089019289009e-22,5.1323906873106285e-20,7.389956051742761e-17,7.399741124978182e-17,0.0,1.2988657257367067e-23,0.0,4.178287441363977e-22,0.0,1.7896062127979116e-27,0.0,3.9422723466612685e-22,0.0,5.77180555217229e-55,7.391403205079297e-17,7.401510581004244e-17,0.0,1.2147679585280925e-34,0.0,4.110338442494621e-25,0.0,2.2899791027132337e-39,0.0,3.943391827395226e-33,0.0,1.2256603424387625e-66
3.521466261480896e-06,8.947949265505731e-17,8.961553911942565e-17,0.0,1.545109199021662e-23,0.0,4.629845449608667e-22,0.0,2.120270152759906e-27,0.0,4.686929776565125e-22,0.0,7.357625410850296e-55,8.036089019289009e-22,5.1323906873106285e-20,8.947949265505731e-17,8.961553911942565e-17,0.0,1.545109199021662e-23,0.0,4.629845449608667e-22,0.0,2.120270152759906e-27,0.0,4.686929776565125e-22,0.0,7.357625410850296e-55,8.949259461947474e-17,8.963184443120549e-17,0.0,1.4455903971165796e-34,0.0,4.400495550350708e-25,0.0,2.7093305422170595e-39,0.0,4.687991522374697e-33,0.0,1.5617008052257028e-66
3.891822101173252e-06,1.0760516678150883e-16,1.0778892108533708e-16,0.0,1.8284770831774034e-23,0.0,5.106537615085491e-22,0.0,2.500202051975727e-27,0.0,5.529225097891007e-22,0.0,9.32835159424448e-55,8.036089019289009e-22,5.1323906873106285e-20,1.0760516678150883e-16,1.0778892108533708e-16,0.0,1.8284770831774034e-23,0.0,5.106537615085491e-22,0.0,2.500202051975727e-27,0.0,5.529225097891007e-22,0.0,9.32835159424448e-55,1.0761665077614555e-16,1.0780357131490621e-16,0.0,1.7113250214065083e-34,0.0,4.6871975116699025e-25,0.0,3.190863904906216e-39,0.0,5.530221695974951e-33,0.0,1.9791906450775007e-66
4.301128604540745e-06,1.285879040107963e-16,1.288300281152842e-16,0.0,2.1537164600629795e-23,0.0,5.609049037819565e-22,0.0,2.935828875921542e-27,0.0,6.4757845364925405e-22,0.0,1.1769314835981103e-54,8.036089019289009e-22,5.1323906873106285e-20,1.285879040107963e-16,1.288300281152842e-16,0.0,2.1537164600629795e-23,0.0,5.609049037819565e-22,0.0,2.935828875921542e-27,0.0,6.4757845364925405e-22,0.0,1.1769314835981103e-54,1.2859754854312052e-16,1.28842790846828e-16,0.0,2.0164524564416187e-34,0.0,4.969807929738239e-25,0.0,3.7427287905433433e-39,0.0,6.476711436696455e-33,0.0,2.4961830589647906e-66
4.753482248641731e-06,1.5278097981701273e-16,1.5309332697244149e-16,0.0,2.5262766834462675e-23,0.0,6.13834325248692e-22,0.0,3.434536641216053e-27,0.0,7.533682445226951e-22,0.0,1.4784526470485855e-54,8.036089019289009e-22,5.1323906873106285e-20,1.5278097981701273e-16,1.5309332697244149e-16,0.0,2.5262766834462675e-23,0.0,6.13834325248692e-22,0.0,3.434536641216053e-27,0.0,7.533682445226951e-22,0.0,1.4784526470485855e-54,1.5278858590174732e-16,1.5310399844643654e-16,0.0,2.366117461096658e-34,0.0,5.248017543489394e-25,0.0,4.374292515259009e-39,0.0,7.534537649520929e-33,0.0,3.13468511234969e-66
5.2534103407876655e-06,1.8058801540851623e-16,1.8098371339973763e-16,0.0,2.952420971618242e-23,0.0,6.695649524385526e-22,0.0,4.004817427107062e-27,0.0,8.710618579149046e-22,0.0,1.8500879728475877e-54,8.036089019289009e-22,5.1323906873106285e-20,1.8058801540851623e-16,1.8098371339973763e-16,0.0,2.952420971618242e-23,0.0,6.695649524385526e-22,0.0,4.004817427107062e-27,0.0,8.710618579149046e-22,0.0,1.8500879728475877e-54,1.8059339996945809e-16,1.8099211119631464e-16,0.0,2.7662348235949152e-34,0.0,5.521795477682005e-25,0.0,5.0963245502174925e-39,0.0,8.711402228778049e-33,0.0,3.9215466691628653e-66
5.805916329356413e-06,2.1247198650217417e-16,2.1296556782504256e-16,0.0,3.439349004359544e-23,0.0,7.282444955748334e-22,0.0,4.65643236378657e-27,0.0,1.0015089492608962e-21,0.0,2.3073274889002982e-54,8.036089019289009e-22,5.1323906873106285e-20,2.1247198650217417e-16,2.1296556782504256e-16,0.0,3.439349004359544e-23,0.0,7.282444955748334e-22,0.0,4.65643236378657e-27,0.0,1.0015089492608962e-21,0.0,2.3073274889002982e-54,2.1247497448567193e-16,2.1297152206601903e-16,0.0,3.223605805654663e-34,0.0,5.791341331043328e-25,0.0,5.921201519715485e-39,0.0,1.0015803418691446e-32,0.0,4.889544774539059e-66
6.416529879985207e-06,2.4896492191707257e-16,2.495725030744248e-16,0.0,3.995332939710837e-23,0.0,7.900434594438341e-22,0.0,5.400593927768431e-27,0.0,1.1456556806714847e-21,0.0,2.869087053897459e-54,8.036089019289009e-22,5.1323906873106285e-20,2.4896492191707257e-16,2.495725030744248e-16,0.0,3.995332939710837e-23,0.0,7.900434594438341e-22,0.0,5.400593927768431e-27,0.0,1.1456556806714847e-21,0.0,2.869087053897459e-54,2.489653378303432e-16,2.4957584699018756e-16,0.0,3.7460474301448123e-34,0.0,6.057041896413562e-25,0.0,6.863136983134636e-39,0.0,1.1457204092973914e-32,0.0,6.078706311745199e-66
7.091362218323087e-06,2.9067844063548915e-16,2.9141795127511234e-16,0.0,4.629869693945238e-23,0.0,8.551531811281105e-22,0.0,6.2501713492240466e-27,0.0,1.3045618431323533e-21,0.0,3.5584709482916545e-54,8.036089019289009e-22,5.1323906873106285e-20,2.9067844063548915e-16,2.9141795127511234e-16,0.0,4.629869693945238e-23,0.0,8.551531811281105e-22,0.0,6.2501713492240466e-27,0.0,1.3045618431323533e-21,0.0,3.5584709482916545e-54,2.9067609999368116e-16,2.91418511713763e-16,0.0,4.342537318283918e-34,0.0,6.319434593569285e-25,0.0,7.938440784879239e-39,0.0,1.3046203020081698e-32,0.0,7.537921543235326e-66
