Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
3470355731.225296,4.108521744337467e-28,4.108521744337467e-28,1.1746012433422257e-19
3835336229.527346,5.017819686773592e-28,5.017819686773592e-28,1.434563110939276e-19
4238702061.9155297,6.128306843631427e-28,6.128306843631427e-28,1.7520432162931378e-19
4684490249.216327,7.4844746914475e-28,7.4844746914475e-28,2.139761145123513e-19
5177162389.442827,9.140643910708068e-28,9.140643910708068e-28,2.6132464780528037e-19
5721649310.967242,1.1163131693794227e-27,1.1163131693794227e-27,3.1914583606095225e-19
6323400421.908565,1.3632895101099082e-27,1.3632895101099082e-27,3.897541150612838e-19
6988438249.640626,1.664875421384018e-27,1.664875421384018e-27,4.759745794397029e-19
7723418716.270303,2.0331321077913438e-27,2.0331321077913438e-27,5.812552939035325e-19
8535697753.34309,2.4827787285204074e-27,2.4827787285204074e-27,7.098041458444103e-19
9433404922.478424,3.0317755377431494e-27,3.0317755377431494e-27,8.667555307851921e-19
10425524778.754814,3.702033809845369e-27,3.702033809845369e-27,1.0583732712776329e-18
11521986791.156874,4.520279602042428e-27,4.520279602042428e-27,1.29229749742999e-18
12733764720.038324,5.5191039522325514e-27,5.5191039522325514e-27,1.5778447999934188e-18
14072986446.20405,6.73823869254569e-27,6.73823869254569e-27,1.926372845109704e-18
15553055350.81747,8.226104830087453e-27,8.226104830087453e-27,2.3517228561593987e-18
17188784460.94431,1.0041687697774797e-26,1.0041687697774797e-26,2.8707554255793995e-18
18996544703.30625,1.2256785764768811e-26,1.2256785764768811e-26,3.503992940118443e-18
20994428750.018047,1.495878666710036e-26,1.495878666710036e-26,4.2764127962023284e-18
23202432096.13122,1.825395780726761e-26,1.825395780726761e-26,5.2183872784252364e-18
25642653181.26921,2.2271458968869642e-26,2.2271458968869642e-26,6.366829662191023e-18
28339514558.238724,2.7168102387581324e-26,2.7168102387581324e-26,7.766553370953288e-18
31320007322.14687,3.3134126939864925e-26,3.3134126939864925e-26,9.471920554516944e-18
34613961246.353065,4.040000566234291e-26,4.040000566234291e-26,1.1548784963385436e-17
38254343328.866905,4.9243919986414143e-26,4.9243919986414143e-26,1.4076621141576344e-17
42277587737.14485,5.999686166257129e-26,5.999686166257129e-26,1.714995705071312e-17
46723960453.48412,7.305214356869884e-26,7.305214356869884e-26,2.0881076637628703e-17
51637962270.50731,8.887665415437089e-26,8.887665415437089e-26,2.5403220910787684e-17
57068774170.05222,1.080237043889851e-25,1.080237043889851e-25,3.0874234730814675e-17
63070749542.96842,1.3115131055955254e-25,1.3115131055955254e-25,3.748178062153222e-17
69703958176.12163,1.5904012227908833e-25,1.5904012227908833e-25,4.54484272956328e-17
77034787451.01088,1.926201631320139e-25,1.926201631320139e-25,5.5039277870867594e-17
85136606770.99608,2.329967388917451e-25,2.329967388917451e-25,6.656932909940314e-17
94090501866.94714,2.8148401921485004e-25,2.8148401921485004e-25,8.041302701709774e-17
103986086330.49243,3.396453914656945e-25,3.396453914656945e-25,9.701575553938948e-17
114922398496.96382,4.0934433028468035e-25,4.0934433028468035e-25,1.1690833160719278e-16
127008892654.34494,4.927441270641083e-25,4.927441270641083e-25,1.4070661223128941e-16
