Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
3.3330586314504876e-06,1.0413102122270347e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1111476484423808e-19,1.7581052924681012e-16,1.0413102122270347e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0413102122270347e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.683599467720089e-06,1.1221640320763663e-22,3.0428209744304944e-23,0.0,3.2001357721561573e-35,0.0,7.964839418675309e-23,0.0,8.414749424133481e-38,0.0,1.0725637158778826e-37,0.0,4.593461000660398e-65,1.1111476484423808e-19,1.7581052924681012e-16,1.1020638696608532e-22,2.6348394389854175e-23,0.0,8.013931056668602e-27,0.0,8.121341025462121e-23,0.0,2.097361957580386e-29,0.0,2.478421997699785e-29,0.0,1.1354998143361377e-56,1.1221640320763663e-22,3.0428209744304944e-23,0.0,3.2001357721561573e-35,0.0,7.964839418675309e-23,0.0,8.414749424133481e-38,0.0,1.0725637158778826e-37,0.0,4.593461000660398e-65
4.071007005563184e-06,1.579625602007322e-22,4.4063211108129547e-23,0.0,4.6459322947745823e-35,0.0,1.1088974552539722e-22,0.0,1.2234820179987982e-37,0.0,1.5442797997214331e-37,0.0,7.1789387206620934e-65,1.1111476484423808e-19,1.7581052924681012e-16,1.5505272343280707e-22,3.814249084324258e-23,0.0,1.1634155027538485e-26,0.0,1.1317364265868369e-22,0.0,3.0492664695134155e-29,0.0,3.5694271243735034e-29,0.0,1.7751197885010549e-56,1.579625602007322e-22,4.4063211108129547e-23,0.0,4.6459322947745823e-35,0.0,1.1088974552539722e-22,0.0,1.2234820179987982e-37,0.0,1.5442797997214331e-37,0.0,7.1789387206620934e-65
4.4991585498306475e-06,2.222634159203531e-22,6.376011701641955e-23,0.0,6.741212275770079e-35,0.0,1.542653660326825e-22,0.0,1.7780253932417018e-37,0.0,2.2210442034836794e-37,0.0,1.1218378462459127e-64,1.1111476484423808e-19,1.7581052924681012e-16,2.180572266855074e-22,5.517444671567817e-23,0.0,1.6880774039621884e-26,0.0,1.575992591701207e-22,0.0,4.431062339544123e-29,0.0,5.135311125977102e-29,0.0,2.7748182823625007e-56,2.222634159203531e-22,6.376011701641955e-23,0.0,6.741212275770079e-35,0.0,1.542653660326825e-22,0.0,1.7780253932417018e-37,0.0,2.2210442034836794e-37,0.0,1.1218378462459127e-64
4.9723391850842425e-06,3.1259611458725204e-22,9.218860016381585e-23,0.0,9.77575092692282e-35,0.0,2.144345031728287e-22,0.0,2.582551173179836e-37,0.0,3.1907818402523106e-37,0.0,1.7528582769928363e-64,1.1111476484423808e-19,1.7581052924681012e-16,3.0652553721553516e-22,7.9748702006707e-23,0.0,2.4479653671700304e-26,0.0,2.193021209396191e-22,0.0,6.435735432968003e-29,0.0,7.380088753286358e-29,0.0,4.337167451400125e-56,3.1259611458725204e-22,9.218860016381585e-23,0.0,9.77575092692282e-35,0.0,2.144345031728287e-22,0.0,2.582551173179836e-37,0.0,3.1907818402523106e-37,0.0,1.7528582769928363e-64
5.495284662163079e-06,4.39429894975251e-22,1.3318204275946822e-22,0.0,1.4167677646020361e-34,0.0,2.978241024698462e-22,0.0,3.7490408757293812e-37,0.0,4.578582346353074e-37,0.0,2.7384899810606467e-64,1.1111476484423808e-19,1.7581052924681012e-16,4.306827978996367e-22,1.1517334313110332e-22,0.0,3.547838503333776e-26,0.0,3.0493204365646373e-22,0.0,9.342363230120442e-29,0.0,1.0594234239295128e-28,0.0,6.778672057782523e-56,4.39429894975251e-22,1.3318204275946822e-22,0.0,1.4167677646020361e-34,0.0,2.978241024698462e-22,0.0,3.7490408757293812e-37,0.0,4.578582346353074e-37,0.0,2.7384899810606467e-64
6.073228795169781e-06,6.174149590638798e-22,1.922394259613855e-22,0.0,2.0519916701349284e-34,0.0,4.1329154765050467e-22,0.0,5.4393101196149894e-37,0.0,6.562195125322574e-37,0.0,4.277863118334758e-64,1.1111476484423808e-19,1.7581052924681012e-16,6.048325494673361e-22,1.6619271311486003e-22,0.0,5.138790810484236e-26,0.0,4.236717741196822e-22,0.0,1.3554281114842337e-28,0.0,1.5190854576231064e-28,0.0,1.0593876116026623e-55,6.174149590638798e-22,1.922394259613855e-22,0.0,2.0519916701349284e-34,0.0,4.1329154765050467e-22,0.0,5.4393101196149894e-37,0.0,6.562195125322574e-37,0.0,4.277863118334758e-64
6.711955843241256e-06,8.6704064811414e-22,2.7724145503105416e-22,0.0,2.9701276166264917e-34,0.0,5.730332008881647e-22,0.0,7.887042143744372e-37,0.0,9.393915914471129e-37,0.0,6.681905762943382e-64,1.1111476484423808e-19,1.7581052924681012e-16,8.489728948739538e-22,2.396046640322513e-22,0.0,7.438608267001676e-26,0.0,5.881924710307549e-22,0.0,1.9654070601870353e-28,0.0,2.1756850925694703e-28,0.0,1.6555590218241878e-55,8.6704064811414e-22,2.7724145503105416e-22,0.0,2.9701276166264917e-34,0.0,5.730332008881647e-22,0.0,7.887042143744372e-37,0.0,9.393915914471129e-37,0.0,6.681905762943382e-64
7.4178584013581305e-06,1.2169474183866088e-21,3.994716053513001e-22,0.0,4.296289172129464e-34,0.0,7.938292301902942e-22,0.0,1.1429506587862664e-36,0.0,1.3431492023651888e-36,0.0,1.0436150730720327e-63,1.1111476484423808e-19,1.7581052924681012e-16,1.1910497206358157e-21,3.4514065000844273e-22,0.0,1.0761017403509677e-25,0.0,8.159668242183724e-22,0.0,2.8482751373882945e-28,0.0,3.1125262402248237e-28,0.0,2.587164694524172e-55,1.2169474183866088e-21,3.994716053513001e-22,0.0,4.296289172129464e-34,0.0,7.938292301902942e-22,0.0,1.1429506587862664e-36,0.0,1.3431492023651888e-36,0.0,1.0436150730720327e-63
8.198001379584132e-06,1.707149680889413e-21,5.7507099904963935e-22,0.0,6.21053715117902e-34,0.0,1.0987484762191454e-21,0.0,1.6553203721385754e-36,0.0,1.9181762480245326e-36,0.0,1.629889183142755e-63,1.1111476484423808e-19,1.7581052924681012e-16,1.6700975333173183e-21,4.967198603382619e-22,0.0,1.5557693786884511e-25,0.0,1.1310731803760906e-21,0.0,4.1253792651881085e-28,0.0,4.4477569672842175e-28,0.0,4.043017340889155e-55,1.707149680889413e-21,5.7507099904963935e-22,0.0,6.21053715117902e-34,0.0,1.0987484762191454e-21,0.0,1.6553203721385754e-36,0.0,1.9181762480245326e-36,0.0,1.629889183142755e-63
