Energy,Flux Value,Flux Error,Is Upper Limit
1.3771772225271388e-06,3.23e-16,3.33e-17,0.0
5.541794228787885e-06,7.5e-15,0.0,0.0
5.541794228787885e-06,7.46e-15,2.4e-16,0.0
5.7899342688828654e-06,8.26e-15,2.48e-16,0.0
5.7899342688828654e-06,8.2623e-15,2.4793e-16,0.0
5.7899342688828654e-06,7.84e-15,0.0,0.0
6.865207775961112e-06,1.13e-14,3.66e-16,0.0
6.865207775961112e-06,1.14e-14,0.0,0.0
1.033916833729083e-05,2.4e-14,0.0,0.0
1.1166301804274097e-05,3.16e-14,1.89e-15,0.0
1.1166301804274097e-05,3.16e-14,0.0,0.0
1.1166301804274097e-05,3.159e-14,1.89e-15,0.0
1.1166301804274097e-05,3.159e-14,0.0,0.0
1.1166301804274097e-05,3.159e-14,0.0,0.0
1.877592970052015e-05,5.35e-14,1.81e-15,0.0
1.9851203207598396e-05,7.92e-14,3.84e-15,0.0
1.9851203207598396e-05,5.66e-14,0.0,0.0
2.0057986574344214e-05,5.7521e-14,3.0555e-15,0.0
2.0057986574344214e-05,6.57e-14,8.25e-16,0.0
2.0057986574344214e-05,5.75e-14,3.06e-15,0.0
2.0595623327883336e-05,5.83e-14,1.99e-15,0.0
2.067833667458166e-05,7.64e-14,3.8e-15,0.0
2.067833667458166e-05,6e-14,0.0,0.0
2.067833667458166e-05,6.2e-14,0.0,0.0
2.067833667458166e-05,6.2e-14,0.0,0.0
2.071555768059591e-05,6.4115e-14,4.0072e-15,0.0
2.0719693347930826e-05,6.41e-14,4.01e-15,0.0
3.308533867933066e-05,1.32e-13,6.56e-15,0.0
3.3416192066123964e-05,8e-14,1.13e-14,0.0
3.3416192066123964e-05,8.33e-14,2.43e-15,0.0
3.3436870402798545e-05,8.0042e-14,1.1319e-14,0.0
3.473960561329719e-05,9.07e-14,0.0,0.0
3.473960561329719e-05,9.77e-14,0.0,0.0
3.473960561329719e-05,9.7667e-14,0.0,0.0
3.498774565339217e-05,8.55e-14,2.54e-15,0.0
3.556673908028046e-05,9.55e-14,0.0,0.0
3.573216577367711e-05,1.43e-13,6.91e-15,0.0
4.3424507016621493e-05,1.51e-13,1.05e-15,0.0
4.425164048360476e-05,7.27e-14,1.07e-15,0.0
4.425164048360476e-05,7.2726e-14,1.0695e-15,0.0
6.203501002374499e-05,1.16e-13,4.5e-16,0.0
6.203501002374499e-05,1.84e-13,0.0,0.0
7.650984569595215e-05,1.72e-13,8.88e-15,0.0
8.229977996483502e-05,2.13e-13,9.95e-15,0.0
8.229977996483502e-05,2.14e-13,1.07e-14,0.0
9.098468136815932e-05,1.74e-13,1.74e-14,0.0
9.925601603799198e-05,2.02e-13,0.0,0.0
0.00012985995431637285,2.48e-13,2.51e-14,0.0
0.00012985995431637285,2.4806e-13,2.512e-14,0.0
0.00012985995431637285,2.4806e-13,5.024e-14,0.0
0.00013234135471732264,2.09e-13,1.76e-14,0.0
0.00016956236073156964,2.46e-13,8.2e-14,0.0
0.0001778336954014023,2.15e-13,0.0,0.0
0.0002522757074298963,2.44e-13,1.83e-13,0.0
0.00037221006014246993,2.79e-13,2.7e-14,0.0
0.00037221006014246993,2.65e-13,1.62e-14,0.0
0.0009512034870307565,1.84e-13,1.84e-14,0.0
0.05636914577490961,2.2214e-12,2.0934e-13,0.0
0.10330897002620998,1.6592e-12,5.6247e-14,0.0
0.2695214402164974,9.7318e-13,2.8263e-14,0.0
0.36464178891957305,1.2498e-12,3.4344e-14,0.0
0.5624507575486212,1.86e-12,1.03e-13,0.0
0.5665864248835375,2.02e-12,1.54e-13,0.0
0.5707220922184538,1.8e-12,8.3e-14,0.0
0.5748577595533703,1.9128e-12,1.2176e-13,0.0
0.746487953952398,2.0251e-12,1.2296e-13,0.0
0.7526914549547725,1.97e-12,1.09e-13,0.0
0.7568271222896888,2.46e-12,1.88e-13,0.0
0.9925601603799198,2.37e-12,1.31e-13,0.0
1.004553595651177,2.6953e-12,1.2443e-13,0.0
1.0339168337290832,2.97e-12,3.47e-13,0.0
1.5703128870677314,3.4066e-12,3.2867e-13,0.0
1.9354923127408437,3.86e-12,0.0,0.0
1.9388008466087767,5.781e-12,5.5774e-13,0.0
1.9388008466087767,3.8905e-12,3.7535e-13,0.0
1.9388008466087767,4.2659e-12,4.1156e-13,0.0
2.2787527015388993,4.35e-12,2e-13,0.0
2.2870240362087317,4.004e-12,1.318e-13,0.0
2.2952953708785646,3.9577e-12,8.7406e-14,0.0
2.2952953708785646,3.9928e-12,1.3536e-13,0.0
2.2952953708785646,3.9281e-12,1.3683e-13,0.0
2.2952953708785646,3.8645e-12,8.3585e-14,0.0
2.2952953708785646,3.7833e-12,2.7633e-13,0.0
2.2952953708785646,3.2952e-12,4.2564e-13,0.0
2.650962761681369,3.66e-12,0.0,0.0
2.8196979889459555,5.0211e-12,4.8442e-13,0.0
2.8196979889459555,2.3377e-12,2.2554e-13,0.0
2.8196979889459555,2.1518e-12,2.076e-13,0.0
2.857746128427186,2.008e-12,7.173e-14,0.0
2.8639496294295603,1.9043e-12,2.3039e-13,0.0
2.8639496294295603,2.3256e-12,1.3555e-13,0.0
2.8639496294295603,1.9529e-12,3.8722e-14,0.0
2.8639496294295603,1.9381e-12,4.4308e-14,0.0
2.8639496294295603,2.2882e-12,9.0597e-14,0.0
2.8639496294295603,2.1813e-12,8.6098e-14,0.0
2.944595142460429,2.69e-12,1.24e-13,0.0
3.531859904018548,3.375e-13,4.067e-14,0.0
3.5413719388888554,3.5103e-13,1.9723e-14,0.0
3.5413719388888554,4.4526e-13,4.5318e-14,0.0
3.5413719388888554,3.1892e-13,2.7346e-14,0.0
3.5413719388888554,2.9563e-13,1.3441e-14,0.0
3.5413719388888554,3.8707e-13,1.2129e-13,0.0
4.714660761804619,1.786e-13,4.934e-14,0.0
6.0794309823270085,4.557e-14,1.279e-14,0.0
300.00130847483075,9.7688e-13,1.3952e-14,0.0
316.2131244277028,9.3563e-13,2.0634e-13,0.0
316.2131244277028,1.0019e-12,1.7951e-13,0.0
344.99650973584914,4.29858348247e-13,3.449555182e-14,0.0
394.99600109262855,5.22435966294e-13,3.70714087644e-14,0.0
434.9955882163222,5.9845817479e-13,6.41426674092e-14,0.0
459.9953413486319,6.4570907531e-13,7.50377166377e-14,0.0
489.995039142117,7.01242431286e-13,5.50327567808e-14,0.0
509.51421566169216,2.5925e-12,6.649e-13,0.0
519.9947220347926,7.58234887687e-13,8.68246850552e-14,0.0
539.9945304976557,7.95620612266e-13,1.06646432626e-13,0.0
547.9759218764141,1.1887e-12,3.2365e-14,0.0
559.9943389605187,8.32899369271e-13,1.11945014282e-13,0.0
579.9941176258985,8.70048578023e-13,1.22787408728e-13,0.0
599.9939260887616,9.0704809846e-13,1.23158418114e-13,0.0
619.9937345516246,9.43880162174e-13,1.25502033231e-13,0.0
639.9935132128687,9.80528971734e-13,1.37212467034e-13,0.0
