Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
8.827547502648206e-06,1.9340650192066017e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9340650192066017e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9340650192066017e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4507639407819874e-21,1.4017642522420386e-19
9.755948777858086e-06,3.769842247785556e-18,3.761845058432826e-18,0.0,1.4666120004034378e-33,0.0,1.0386061378480537e-21,0.0,4.847797598195782e-37,0.0,2.800332618923307e-32,0.0,1.3164054219328036e-62,3.7445086409272205e-18,3.732534915125167e-18,0.0,5.323634750831494e-23,0.0,1.4851461235698649e-21,0.0,2.0985318256242615e-26,0.0,7.072399985957988e-22,0.0,3.933070730608376e-52,3.769842247785556e-18,3.761845058432826e-18,0.0,1.4666120004034378e-33,0.0,1.0386061378480537e-21,0.0,4.847797598195782e-37,0.0,2.800332618923307e-32,0.0,1.3164054219328036e-62,1.4507639407819874e-21,1.4017642522420386e-19
1.078199086752443e-05,5.012511575497538e-18,5.002957265503972e-18,0.0,1.927216049980485e-33,0.0,1.2844419319484363e-21,0.0,6.355313016765295e-37,0.0,3.6489029045464604e-32,0.0,1.8600202259760278e-62,4.981999954158672e-18,4.967565138857114e-18,0.0,7.003282401815729e-23,0.0,1.8487260115074225e-21,0.0,2.7566492146580686e-26,0.0,9.2222677347279e-22,0.0,5.563782915309037e-52,5.012511575497538e-18,5.002957265503972e-18,0.0,1.927216049980485e-33,0.0,1.2844419319484363e-21,0.0,6.355313016765295e-37,0.0,3.6489029045464604e-32,0.0,1.8600202259760278e-62,1.4507639407819874e-21,1.4017642522420386e-19
1.1915942745745197e-05,6.644485810090456e-18,6.6331417731181056e-18,0.0,2.521759655614586e-33,0.0,1.5802071988457842e-21,0.0,8.290458454240439e-37,0.0,4.7345520430749753e-32,0.0,2.617550950946241e-62,6.608046444006241e-18,6.590734491862337e-18,0.0,9.173153937858114e-23,0.0,2.289471334548603e-21,0.0,3.603538173463422e-26,0.0,1.197449051733032e-21,0.0,7.83911728302726e-52,6.644485810090456e-18,6.6331417731181056e-18,0.0,2.521759655614586e-33,0.0,1.5802071988457842e-21,0.0,8.290458454240439e-37,0.0,4.7345520430749753e-32,0.0,2.617550950946241e-62,1.4507639407819874e-21,1.4017642522420386e-19
1.3169153384052091e-05,8.777616387988861e-18,8.764300726799146e-18,0.0,3.283784579849847e-33,0.0,1.9326004638281815e-21,0.0,1.0753800787052506e-36,0.0,6.114870066167973e-32,0.0,3.6666261700115025e-62,8.734515604256885e-18,8.713942175170401e-18,0.0,1.1956242814523894e-22,0.0,2.8187063163897294e-21,0.0,4.6844067697767335e-26,0.0,1.5475826067505694e-21,0.0,1.0994412968068197e-51,8.777616387988861e-18,8.764300726799146e-18,0.0,3.283784579849847e-33,0.0,1.9326004638281815e-21,0.0,1.0753800787052506e-36,0.0,6.114870066167973e-32,0.0,3.6666261700115025e-62,1.4507639407819874e-21,1.4017642522420386e-19
1.4554165335731893e-05,1.1550999903939195e-17,1.1535612997300233e-17,0.0,4.253125366942017e-33,0.0,2.3483171501341187e-21,0.0,1.3862988354447847e-36,0.0,7.857812310791432e-32,0.0,5.109651723007155e-62,1.1500579328615388e-17,1.1476420136084379e-17,0.0,1.5498547737343124e-22,0.0,3.448077295946885e-21,0.0,6.052312075128368e-26,0.0,1.989953199577176e-21,0.0,1.5340700879706972e-51,1.1550999903939195e-17,1.1535612997300233e-17,0.0,4.253125366942017e-33,0.0,2.3483171501341187e-21,0.0,1.3862988354447847e-36,0.0,7.857812310791432e-32,0.0,5.109651723007155e-62,1.4507639407819874e-21,1.4017642522420386e-19
1.6084840265915546e-05,1.5135325380260324e-17,1.5117939602487626e-17,0.0,5.475997402724622e-33,0.0,2.8335206150002308e-21,0.0,1.7751948173944663e-36,0.0,1.0042086714073336e-31,0.0,7.079754250014106e-62,1.507708103582384e-17,1.5049164860300815e-17,0.0,1.996930806932308e-22,0.0,4.188783749287315e-21,0.0,7.767881017147324e-26,0.0,2.5446386840931527e-21,0.0,2.1283121184142084e-51,1.5135325380260324e-17,1.5117939602487626e-17,0.0,5.475997402724622e-33,0.0,2.8335206150002308e-21,0.0,1.7751948173944663e-36,0.0,1.0042086714073336e-31,0.0,7.079754250014106e-62,1.4507639407819874e-21,1.4017642522420386e-19
1.7776497683782055e-05,1.973680736146042e-17,1.9717824860700556e-17,0.0,7.004921412856375e-33,0.0,3.3934656425625605e-21,0.0,2.2570365786634384e-36,0.0,1.2756871174667987e-31,0.0,9.747569728874376e-62,1.9670489069179266e-17,1.963896113166018e-17,0.0,2.5560626249966815e-22,0.0,5.0510127455539634e-21,0.0,9.899082711685778e-26,0.0,3.2343990071174038e-21,0.0,2.934195995744652e-51,1.973680736146042e-17,1.9717824860700556e-17,0.0,7.004921412856375e-33,0.0,3.3934656425625605e-21,0.0,2.2570365786634384e-36,0.0,1.2756871174667987e-31,0.0,9.747569728874376e-62,1.4507639407819874e-21,1.4017642522420386e-19
1.9646068265354996e-05,2.5600058777409146e-17,2.5580477751457766e-17,0.0,8.89835294802521e-33,0.0,4.032174239887206e-21,0.0,2.8482832366932788e-36,0.0,1.6100591281417671e-31,0.0,1.3328730000487974e-61,2.5525787170949084e-17,2.5491383517171226e-17,0.0,3.248600972015248e-22,0.0,6.043429051443671e-21,0.0,1.2520812253057163e-25,0.0,4.08436568926917e-21,0.0,4.017584727077662e-51,2.5600058777409146e-17,2.5580477751457766e-17,0.0,8.89835294802521e-33,0.0,4.032174239887206e-21,0.0,2.8482832366932788e-36,0.0,1.6100591281417671e-31,0.0,1.3328730000487974e-61,1.4507639407819874e-21,1.4017642522420386e-19
2.1712263301399257e-05,3.3009198405504136e-17,3.2991028144002353e-17,0.0,1.1220098977359947e-32,0.0,4.7522255258721396e-21,0.0,3.566804327151034e-36,0.0,2.0178570548715267e-31,0.0,1.809209287813387e-61,3.292759149443176e-17,3.289206443075471e-17,0.0,4.0978159718585875e-22,0.0,7.172815688333464e-21,0.0,1.5714460051432565e-25,0.0,5.1214420708733514e-21,0.0,5.460719767976594e-51,3.3009198405504136e-17,3.2991028144002353e-17,0.0,1.1220098977359947e-32,0.0,4.7522255258721396e-21,0.0,3.566804327151034e-36,0.0,2.0178570548715267e-31,0.0,1.809209287813387e-61,1.4507639407819874e-21,1.4017642522420386e-19
