Energy,Flux Value,Flux Error,Is Upper Limit
5.7899342688828654e-06,3.0507e-15,9.1699e-17,0.0
9.512034870307564e-06,4.14e-15,0.0,0.0
2.0057986574344214e-05,1.615e-14,9.7e-16,0.0
2.0057986574344214e-05,1.62e-14,9.7e-16,0.0
3.473960561329719e-05,2.0034e-14,0.0,0.0
3.473960561329719e-05,2e-14,0.0,0.0
3.556673908028046e-05,1.72e-14,0.0,0.0
6.203501002374499e-05,3.17e-14,0.0,0.0
6.203501002374499e-05,3.71e-14,0.0,0.0
6.203501002374499e-05,3.18e-14,3e-16,0.0
8.229977996483502e-05,4.82e-14,2.39e-15,0.0
8.271334669832664e-05,4.84e-14,2.4e-15,0.0
0.05636914577490961,4.3115e-13,1.2363e-13,0.0
0.05636914577490961,4.1825e-13,1.0694e-13,0.0
0.10330897002620998,5.2229e-13,3.692e-14,0.0
0.10330897002620998,4.8833e-13,2.7964e-14,0.0
0.2695214402164974,5.4425e-13,1.6672e-14,0.0
0.2695214402164974,5.962e-13,1.8264e-14,0.0
0.36464178891957305,4.734e-13,1.4502e-14,0.0
0.36464178891957305,4.1882e-13,1.283e-14,0.0
1.56741791993329,5.9815e-13,9.3656e-14,0.0
1.9354923127408437,1.18e-12,0.0,0.0
1.9388008466087767,5.5441e-13,5.3489e-14,0.0
2.8196979889459555,1.6888e-12,1.6293e-13,0.0
2.857746128427186,8.655e-13,1.505e-13,0.0
3.531859904018548,1.003e-12,1.059e-13,0.0
4.714660761804619,7.528e-13,7.835e-14,0.0
5.335010862042068,2.17e-13,6.83e-15,0.0
5.335010862042068,1.82e-13,4.03e-14,0.0
5.335010862042068,3.64e-13,9.61e-15,0.0
5.335010862042068,9.32e-14,2.64e-14,0.0
5.541794228787886,7.735e-13,8.05e-14,0.0
6.0794309823270085,3.693e-13,3.629e-14,0.0
404.9959053244736,8.5764972129e-14,3.07980512853e-14,0.0
547.9759218764141,1.1674e-13,2.9735e-14,0.0
609.9938452210025,9.2182780554e-14,3.64066801354e-14,0.0
829.9916191142917,9.72913270711e-14,3.43297645708e-14,0.0
1000.0043615827692,1.0553e-13,1.8313e-14,0.0
1054.9893078671373,1.01380401284e-13,3.54278763357e-14,0.0
1304.9868093555303,1.05093228727e-13,3.78664365331e-14,0.0
1413.984661807894,1.025e-13,3.2204e-14,0.0
1732.01747986296,1.3089e-13,1.9946e-14,0.0
1794.9819230058301,1.10450272729e-13,3.18584729831e-14,0.0
2000.0087231655384,1.1459e-13,1.8037e-14,0.0
2419.9756022227657,1.16581151443e-13,9.60134334598e-14,0.0
3589.963607590438,1.23700688254e-13,5.38249931529e-14,0.0
4470.656389044555,1.7374e-13,5.165e-14,0.0
4470.656389044555,1.7405e-13,5.0613e-14,0.0
69151244.4332,3.63218585837e-12,1.28090182548e-12,1.0
91854407.4725,3.98323776145e-12,9.40065965626e-13,1.0
122011284.703,3.28311557704e-12,7.62105598051e-13,1.0
162069017.748,2.32655732325e-12,6.25782181192e-13,1.0
200166299.00995046,1.0866e-12,5.4162e-13,0.0
215278173.472,2.07619049856e-12,5.34152340874e-13,1.0
285956517.893,1.29168109106e-12,4.53235667735e-13,1.0
379835017.117,1.06601762852e-12,3.83475457805e-13,1.0
504533490.93600005,1.46122619755e-12,3.38525988127e-13,1.0
600498897.0298514,1.136e-12,2.8806e-13,0.0
600498897.0298514,2.457e-12,6.351e-13,0.0
600498897.0298514,1.9218e-12,4.4897e-13,0.0
670177742.133,8.90372108115e-13,3.04155709124e-13,0.0
890204940.048,7.89836638383e-13,2.48039629513e-13,1.0
1000831495.0497525,2.4843e-12,1.1466e-12,0.0
1000831495.0497525,9.4641e-12,1.3832e-12,0.0
1000831495.0497525,4.0496e-12,1.3832e-12,0.0
1182469642.6999998,7.52607480262e-13,2.2608708425e-13,1.0
1570688268.51,6.09861675096e-13,2.52088903434e-13,0.0
2001662990.099505,3.1745e-12,7.2289e-13,0.0
2001662990.099505,6.2226e-13,2.0191e-13,0.0
2001662990.099505,1.2189e-12,4.0035e-13,0.0
2086363613.7100003,9.7278405868e-13,2.45693351099e-13,1.0
2771341211.29,5.42891442181e-13,1.74214305939e-13,1.0
3681204972.5699997,4.99875740272e-13,2.02454322279e-13,1.0
4889787657.650001,7.22362614702e-13,2.17927640867e-13,1.0
6004988970.298514,2.444e-13,1.6084e-13,0.0
6495087408.139999,6.08998012878e-13,1.8039089932e-13,1.0
8627401309.22,1.03879876907e-12,3.08846903956e-13,1.0
11459878152.3,1.63528545009e-12,4.73075298169e-13,1.0
15222290300.3,4.5894401729e-13,1.69972004524e-13,1.0
20219946399.600002,5.53937048046e-13,2.04741843921e-13,1.0
26858391499.5,9.19547737151e-13,3.47824132146e-13,1.0
35676315836.0,9.42242673002e-13,3.48264032847e-13,1.0
47389267955.700005,1.39686133544e-12,5.19028031262e-13,1.0
60049889702.985146,5.7373e-14,5.7316e-14,0.0
62947719369.4,1.64778798555e-12,6.09041507035e-13,1.0
83614192511.1,2.19325755888e-12,8.10653237784e-13,1.0
111064432025.0,2.94014666833e-12,1.08671953512e-12,1.0
147526486720.0,3.92093587452e-12,1.44922413902e-12,1.0
195961159271.0,5.22912768745e-12,1.93274608244e-12,1.0
260297501802.0,7.01979187881e-12,2.59459587248e-12,1.0
