Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
4.498701977855157e-06,5.383042654077911e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.734520903183746e-22,7.889331496751673e-19,5.383042654077911e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.383042654077911e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.971834595014905e-06,1.725422086722655e-18,1.6926379513794168e-18,0.0,1.716632723021599e-31,0.0,1.7497120205585288e-20,0.0,5.331114269819852e-35,0.0,8.151546895134845e-33,0.0,5.314982810705058e-63,4.734520903183746e-22,7.889331496751673e-19,1.7119893783294258e-18,1.6772775322014995e-18,0.0,4.676387281577695e-23,0.0,1.8558115244571845e-20,0.0,1.4664608771321872e-26,0.0,2.2084823546922e-24,0.0,1.478481043553535e-54,1.725422086722655e-18,1.6926379513794168e-18,0.0,1.716632723021599e-31,0.0,1.7497120205585288e-20,0.0,5.331114269819852e-35,0.0,8.151546895134845e-33,0.0,5.314982810705058e-63
5.494727003892896e-06,2.3573460226387858e-18,2.314538751154863e-18,0.0,2.3475816842716615e-31,0.0,2.2807503110920402e-20,0.0,7.290744014041754e-35,0.0,1.082431407695952e-32,0.0,7.779777622721397e-63,4.734520903183746e-22,7.889331496751673e-19,2.3399175752535e-18,2.294550526493904e-18,0.0,6.398043925221284e-23,0.0,2.4233365296543453e-20,0.0,2.0063998308962068e-26,0.0,2.9339222124863225e-24,0.0,2.1650663189148402e-54,2.3573460226387858e-18,2.314538751154863e-18,0.0,2.3475816842716615e-31,0.0,2.2807503110920402e-20,0.0,7.290744014041754e-35,0.0,1.082431407695952e-32,0.0,7.779777622721397e-63
6.0726124874673515e-06,3.21572413266365e-18,3.1599600664586593e-18,0.0,3.2050991391294065e-31,0.0,2.967043048028518e-20,0.0,9.953878253131116e-35,0.0,1.4342392061009432e-32,0.0,1.137062999737664e-62,4.734520903183746e-22,7.889331496751673e-19,3.193163984640807e-18,3.1340101023667562e-18,0.0,8.738859736964799e-23,0.0,3.158213371720216e-20,0.0,2.7404635534905393e-26,0.0,3.889176118478625e-24,0.0,3.1657106338396824e-54,3.21572413266365e-18,3.1599600664586593e-18,0.0,3.2050991391294065e-31,0.0,2.967043048028518e-20,0.0,9.953878253131116e-35,0.0,1.4342392061009432e-32,0.0,1.137062999737664e-62
6.7112747178919444e-06,4.379906844321077e-18,4.307386223079343e-18,0.0,4.368463374785176e-31,0.0,3.85204342601601e-20,0.0,1.3566453505095086e-34,0.0,1.8964708931120792e-32,0.0,1.659408579200632e-62,4.734520903183746e-22,7.889331496751673e-19,4.350772956538179e-18,4.2737742854591546e-18,0.0,1.1915772677442806e-22,0.0,4.107749796815116e-20,0.0,3.7366033050530816e-26,0.0,5.14474149243547e-24,0.0,4.621842211850806e-54,4.379906844321077e-18,4.307386223079343e-18,0.0,4.368463374785176e-31,0.0,3.85204342601601e-20,0.0,1.3566453505095086e-34,0.0,1.8964708931120792e-32,0.0,1.659408579200632e-62
7.417105641430534e-06,5.9563176131528635e-18,5.862111415112914e-18,0.0,5.943797404109961e-31,0.0,4.990667730479946e-20,0.0,1.8457501412928669e-34,0.0,2.5027185566016725e-32,0.0,2.4180616537857172e-62,4.734520903183746e-22,7.889331496751673e-19,5.918786147675179e-18,5.818677068236485e-18,0.0,1.6219268014323921e-22,0.0,5.3318857281551346e-20,0.0,5.085755018533214e-26,0.0,6.792105465435064e-24,0.0,6.737466580820528e-54,5.9563176131528635e-18,5.862111415112914e-18,0.0,5.943797404109961e-31,0.0,4.990667730479946e-20,0.0,1.8457501412928669e-34,0.0,2.5027185566016725e-32,0.0,2.4180616537857172e-62
8.197169451203831e-06,8.08734562535617e-18,7.965060417864492e-18,0.0,8.072726803097704e-31,0.0,6.452033192464781e-20,0.0,2.506582000751287e-34,0.0,3.2964758278384287e-32,0.0,3.5181454913975e-62,4.734520903183746e-22,7.889331496751673e-19,8.03911928403257e-18,7.909068182547252e-18,0.0,2.2037127216393093e-22,0.0,6.906260156215477e-20,0.0,6.909224479695462e-26,0.0,8.949756507963337e-24,0.0,9.806248320208934e-54,8.08734562535617e-18,7.965060417864492e-18,0.0,8.072726803097704e-31,0.0,6.452033192464781e-20,0.0,2.506582000751287e-34,0.0,3.2964758278384287e-32,0.0,3.5181454913975e-62
9.059273288008604e-06,1.0962989918763051e-17,1.0804343425103088e-17,0.0,1.0943601429646522e-30,0.0,8.322718498450404e-20,0.0,3.397445843587571e-34,0.0,4.333923345863425e-32,0.0,5.110601830267158e-62,4.734520903183746e-22,7.889331496751673e-19,1.0901188478083927e-17,1.0732344024865513e-17,0.0,2.988522006065697e-22,0.0,8.925880761112442e-20,0.0,9.36823862270004e-26,0.0,1.1770790789337573e-23,0.0,1.4249951007330238e-53,1.0962989918763051e-17,1.0804343425103088e-17,0.0,1.0943601429646522e-30,0.0,8.322718498450404e-20,0.0,3.397445843587571e-34,0.0,4.333923345863425e-32,0.0,5.110601830267158e-62
1.0012045376806638e-05,1.483601730984057e-17,1.4630303324143197e-17,0.0,1.4805912172314271e-30,0.0,1.0710580053437333e-19,0.0,4.595488305444863e-34,0.0,5.687426119500963e-32,0.0,7.4116110306715295e-62,4.734520903183746e-22,7.889331496751673e-19,1.475704931383354e-17,1.453796865608194e-17,0.0,4.0447078153309124e-22,0.0,1.1509442145987976e-19,0.0,1.267618183633429e-25,0.0,1.5452466325809262e-23,0.0,2.0672768141185465e-53,1.483601730984057e-17,1.4630303324143197e-17,0.0,1.4805912172314271e-30,0.0,1.0710580053437333e-19,0.0,4.595488305444863e-34,0.0,5.687426119500963e-32,0.0,7.4116110306715295e-62
1.1065021380900451e-05,2.0041556957053852e-17,1.9774974715664762e-17,0.0,1.9988613305514917e-30,0.0,1.37491182676493e-19,0.0,6.2022888353070475e-34,0.0,7.449887097470003e-32,0.0,1.0729899996188478e-61,4.734520903183746e-22,7.889331496751673e-19,1.994097310734052e-17,1.965690560181299e-17,0.0,5.462420916112638e-22,0.0,1.4804297800513574e-19,0.0,1.711409103105675e-25,0.0,2.0248101363959964e-23,0.0,2.9937732969479586e-53,2.0041556957053852e-17,1.9774974715664762e-17,0.0,1.9988613305514917e-30,0.0,1.37491182676493e-19,0.0,6.2022888353070475e-34,0.0,7.449887097470003e-32,0.0,1.0729899996188478e-61
