Energy,Flux Value,Flux Error,Is Upper Limit
5.7899342688828654e-06,1.5604e-15,2.156e-18,0.0
5.7899342688828654e-06,2.142e-15,0.0,0.0
5.7899342688828654e-06,9.8256e-16,3.005e-17,0.0
5.7899342688828654e-06,2.14e-15,0.0,0.0
5.7899342688828654e-06,9.81e-16,3.08e-17,0.0
5.9140042889303555e-06,2.53e-15,8.58e-17,0.0
6.617067735866132e-06,2.77e-15,3.2e-16,0.0
6.865207775961112e-06,2.82e-15,4.98e-16,0.0
6.906564449310275e-06,1.43e-15,7.35e-17,0.0
6.906564449310275e-06,2.89e-15,1.45e-16,0.0
9.387964850260075e-06,5.57e-15,2.79e-16,0.0
1.9768489860900068e-05,8.31e-15,0.0,0.0
2.0057986574344214e-05,1.1427e-14,1.455e-17,0.0
2.0057986574344214e-05,1.36e-14,1.89e-15,0.0
2.0057986574344214e-05,9.46e-15,7.27e-16,0.0
2.0057986574344214e-05,1.46e-14,1.94e-16,0.0
2.0057986574344214e-05,1.33e-14,2e-15,0.0
2.0057986574344214e-05,1.4307e-14,1.261e-15,0.0
2.0057986574344214e-05,9.4575e-15,7.275e-16,0.0
2.0099343247693376e-05,1.48e-14,4.71e-16,0.0
2.0223413267740866e-05,6.21e-15,0.0,0.0
2.067833667458166e-05,1.375e-14,0.0,0.0
3.473960561329719e-05,1.9051e-14,0.0,0.0
3.473960561329719e-05,1.91e-14,0.0,0.0
3.473960561329719e-05,1.34e-14,0.0,0.0
3.498774565339217e-05,1.9187e-14,3.384e-17,0.0
3.498774565339217e-05,3.04e-14,9.14e-16,0.0
4.3424507016621493e-05,4.14e-14,5.25e-16,0.0
6.162144329025335e-05,4.98e-14,1.5e-15,0.0
6.203501002374499e-05,4.03e-14,0.0,0.0
6.203501002374499e-05,4.84e-14,1.95e-15,0.0
6.203501002374499e-05,3.6e-14,0.0,0.0
6.203501002374499e-05,6.6e-14,3.3e-15,0.0
6.203501002374499e-05,6.44e-14,0.0,0.0
6.368927695771152e-05,6.73e-14,3.36e-15,0.0
9.181181483514258e-05,9.88e-14,2e-14,0.0
9.181181483514258e-05,9.1e-14,2.22e-14,0.0
9.181181483514258e-05,1.48e-13,2.89e-14,0.0
9.181181483514258e-05,7.66e-14,1.55e-14,0.0
0.00011745295231162385,1.4612e-13,3.1229e-14,0.0
0.00013234135471732264,1.23e-13,1.06e-14,0.0
0.00018196936273631864,4.9735e-13,7.2205e-14,0.0
0.00018238292946981026,4.2689e-13,9.8163e-14,0.0
0.00028949671344414326,5.0321e-13,9.4569e-14,0.0
0.0002911509803781098,5.3097e-13,1.0466e-13,0.0
0.00041356673349163324,6.4197e-13,7.7535e-14,0.0
0.00041356673349163324,5.4073e-13,6.4129e-14,0.0
0.0005914004288930355,7.847e-13,8.72e-14,0.0
0.0005914004288930355,7.798e-13,5.7767e-14,0.0
0.0008974398116768441,1.1455e-12,1.3155e-13,0.0
0.0008974398116768441,9.7178e-13,7.6069e-14,0.0
0.0014598905692254653,1.6231e-12,4.6317e-13,0.0
0.05636914577490961,2.3979e-12,2.117e-13,0.0
0.05636914577490961,2.191e-12,1.7872e-13,0.0
0.10330897002620998,1.5875e-12,5.778e-14,0.0
0.10330897002620998,1.6684e-12,5.5185e-14,0.0
0.2695214402164974,1.5798e-12,4.2202e-14,0.0
0.2695214402164974,1.4608e-12,3.7918e-14,0.0
0.36464178891957305,1.3971e-12,3.9477e-14,0.0
0.36464178891957305,1.3159e-12,3.5152e-14,0.0
0.5624507575486212,3.01e-12,4.16e-13,0.0
0.5748577595533703,9.825e-13,1.3316e-13,0.0
0.746487953952398,7.1293e-13,1.6014e-13,0.0
0.7609627896246052,1.53e-12,2.12e-13,0.0
0.9925601603799198,1.74e-12,2.41e-13,0.0
1.004553595651177,1.0042e-12,1.4984e-13,0.0
1.0095163964530767,9.0029e-13,1.7413e-13,0.0
1.2034791944606527,1.68e-12,2.32e-13,0.0
1.344091883847808,6.2e-13,1.66e-14,0.0
1.344091883847808,7.1e-13,0.0,0.0
1.344091883847808,5.63e-13,1.56e-14,0.0
1.344091883847808,5.63e-13,1.57e-14,0.0
1.344091883847808,6.88e-13,3.24e-14,0.0
1.3589802862535068,6.8704e-13,1.674e-14,0.0
1.3589802862535068,6.8488e-13,1.8562e-14,0.0
1.56741791993329,6.7797e-13,9.3665e-14,0.0
1.56741791993329,1.2145e-12,1.2305e-13,0.0
1.6087745932824533,7.5e-13,0.0,0.0
1.6087745932824533,7.46e-13,6.25e-15,0.0
1.6087745932824533,8.91e-13,1.05e-14,0.0
1.6087745932824533,6.86e-13,1.2e-14,0.0
1.6087745932824533,6.86e-13,1.17e-14,0.0
1.62821222975656,8.2274e-13,6.9256e-15,0.0
1.62821222975656,8.229e-13,6.6594e-15,0.0
1.9230853107360946,1.31e-12,0.0,0.0
1.9354923127408437,7.78e-13,0.0,0.0
1.9388008466087767,2.3265e-12,2.2446e-13,0.0
1.9727133187550905,7.32e-13,5.76e-15,0.0
1.9727133187550905,7.32e-13,0.0,0.0
1.9727133187550905,6.83e-13,1.13e-14,0.0
1.9727133187550905,6.83e-13,1.16e-14,0.0
1.9727133187550905,7.42e-13,7.21e-15,0.0
1.991323821762214,8.37e-13,6.6202e-15,0.0
1.991323821762214,8.3243e-13,6.2029e-15,0.0
2.2870240362087317,2.326e-12,5.996e-14,0.0
2.2952953708785646,1.2554e-12,8.8476e-14,0.0
2.2952953708785646,1.7812e-12,9.7056e-14,0.0
2.2952953708785646,1.6774e-12,9.1979e-14,0.0
2.2952953708785646,2.405e-12,9.1628e-14,0.0
2.2952953708785646,1.5971e-12,8.8783e-14,0.0
2.2952953708785646,1.8614e-12,8.3482e-14,0.0
2.2952953708785646,2.2399e-12,7.7611e-14,0.0
2.2952953708785646,3.0149e-12,2.0368e-13,0.0
2.2952953708785646,1.2801e-12,8.2896e-14,0.0
2.2952953708785646,2.9307e-12,1.2087e-13,0.0
2.2952953708785646,1.1933e-12,1.2539e-13,0.0
2.2952953708785646,3.0338e-12,1.0253e-13,0.0
2.551706745643377,8.04e-13,0.0,0.0
2.551706745643377,7.69e-13,8.5e-15,0.0
2.551706745643377,7.69e-13,8.82e-15,0.0
2.551706745643377,7.95e-13,6.71e-15,0.0
2.551706745643377,8.11e-13,5.83e-15,0.0
2.6009211869288813,9.9793e-13,7.1997e-15,0.0
2.6009211869288813,9.9523e-13,6.9427e-15,0.0
2.8196979889459555,4.2597e-12,4.1097e-13,0.0
2.857746128427186,2.335e-12,4.183e-14,0.0
2.8639496294295603,1.611e-12,5.597e-14,0.0
2.8639496294295603,1.9299e-12,9.9993e-14,0.0
2.8639496294295603,1.648e-12,1.0057e-13,0.0
2.8639496294295603,1.6411e-12,6.3023e-14,0.0
2.8639496294295603,2.4752e-12,6.2421e-14,0.0
2.8639496294295603,1.5378e-12,6.0038e-14,0.0
2.8639496294295603,2.1315e-12,5.8217e-14,0.0
2.8639496294295603,2.2825e-12,5.8202e-14,0.0
2.8639496294295603,2.9888e-12,6.7869e-14,0.0
2.8639496294295603,1.5535e-12,6.8654e-14,0.0
2.8639496294295603,2.5656e-12,8.5419e-14,0.0
2.8639496294295603,1.8473e-12,6.1245e-14,0.0
3.060393827838086,1.43e-12,0.0,0.0
3.457417891990054,8.08e-13,1.93e-14,0.0
3.457417891990054,7.9e-13,1.88e-14,0.0
3.457417891990054,7.8e-13,0.0,0.0
3.457417891990054,8.23e-13,1.55e-14,0.0
3.457417891990054,7.9e-13,1.89e-14,0.0
3.4950524647377925,1.0731e-12,2.0432e-14,0.0
3.4950524647377925,1.0824e-12,1.8892e-14,0.0
3.531859904018548,2.183e-12,2.065e-14,0.0
3.5413719388888554,2.2348e-12,5.5071e-14,0.0
3.5413719388888554,1.9618e-12,5.192e-14,0.0
3.5413719388888554,2.5093e-12,5.4198e-14,0.0
3.5413719388888554,1.4058e-12,4.4923e-14,0.0
3.5413719388888554,1.7782e-12,5.5068e-14,0.0
3.5413719388888554,2.4028e-12,9.5073e-14,0.0
3.5413719388888554,2.1386e-12,4.1328e-14,0.0
3.5413719388888554,3.2723e-12,6.3347e-14,0.0
3.5413719388888554,1.5794e-12,8.646e-14,0.0
3.5413719388888554,1.4176e-12,4.4302e-14,0.0
3.5413719388888554,2.6134e-12,6.5365e-14,0.0
3.5413719388888554,2.1589e-12,5.1921e-14,0.0
4.714660761804619,2.356e-12,3.575e-14,0.0
4.784967106498197,2.2712e-12,3.7994e-14,0.0
4.784967106498197,1.8758e-12,4.5543e-14,0.0
4.784967106498197,2.9034e-12,5.3972e-14,0.0
4.784967106498197,2.2813e-12,4.7097e-14,0.0
4.784967106498197,1.8485e-12,4.9763e-14,0.0
4.784967106498197,1.7444e-12,4.5293e-14,0.0
4.784967106498197,2.4787e-12,4.9946e-14,0.0
4.784967106498197,2.0348e-12,4.4634e-14,0.0
4.784967106498197,2.3649e-12,4.9158e-14,0.0
4.784967106498197,1.8314e-12,6.823e-14,0.0
4.784967106498197,2.5576e-12,5.7224e-14,0.0
4.784967106498197,2.4323e-12,8.7687e-14,0.0
5.335010862042068,9.87e-13,4.62e-14,0.0
5.335010862042068,6.64e-13,3.6e-14,0.0
5.335010862042068,1.15e-12,2.43e-14,0.0
5.335010862042068,6.7e-13,1.62e-14,0.0
5.459080882089559,1.15e-12,2.12e-14,0.0
5.541794228787886,2.763e-12,4.968e-14,0.0
5.562472565462467,2.2519e-12,4.8116e-14,0.0
