Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
4803797468.35443,2.7509801855930055e-28,2.7509801855930055e-28,2.0821976774101903e-20
5309017258.350738,3.3598112108400606e-28,3.3598112108400606e-28,2.5430180013623863e-20
5867371477.490942,4.103344563245393e-28,4.103344563245393e-28,3.105793805761547e-20
6484448322.469534,5.011366114036567e-28,5.011366114036567e-28,3.793069918514471e-20
7166423705.757748,6.120241075559442e-28,6.120241075559442e-28,4.6323710735859733e-20
7920123066.211375,7.474364277011874e-28,7.474364277011874e-28,5.657299635641181e-20
8753089680.35694,9.127928797688863e-28,9.127928797688863e-28,6.908874296360416e-20
9673660158.038555,1.1147082253284493e-27,1.1147082253284493e-27,8.43716219569446e-20
10691047878.011286,1.3612554850344675e-27,1.3612554850344675e-27,1.0303268139873046e-19
11815435198.532436,1.662286119432348e-27,1.662286119432348e-27,1.2581758116423725e-19
13058075365.825413,2.0298199332643737e-27,2.0298199332643737e-27,1.5363610580182375e-19
14431405140.350271,2.478519629469717e-27,2.478519629469717e-27,1.8759808502550955e-19
15949169268.082531,3.0262680200156447e-27,3.0262680200156447e-27,2.290570850313459e-19
17626558042.550674,3.694869566978908e-27,3.694869566978908e-27,2.7966351143385478e-19
19480359334.39942,4.510902267913917e-27,4.510902267913917e-27,3.414290933099551e-19
21529126610.041714,5.506751007221311e-27,5.506751007221311e-27,4.168051046527632e-19
23793364620.98666,6.721858089620469e-27,6.721858089620469e-27,5.087770278432122e-19
26295734622.284462,8.204220381070089e-27,8.204220381070089e-27,6.209778904324488e-19
29061281173.98371,1.0012239980099722e-26,1.0012239980099722e-26,7.578283603081482e-19
32117682795.506115,1.2216911755301908e-26,1.2216911755301908e-26,9.247023548629487e-19
35495528981.57192,1.4904490808369858e-26,1.4904490808369858e-26,1.1281289836336514e-18
39228626352.14461,1.817964880325605e-26,1.817964880325605e-26,1.3760315196541211e-18
43354337000.44619,2.2169300449287083e-26,2.2169300449287083e-26,1.6780171143562578e-18
