Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
4.613745637535991e-06,3.9348210503996994e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9348210503996994e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9348210503996994e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0473113649209377e-22,2.0558417295018637e-18
5.098977502003154e-06,4.435693657949407e-22,2.245449185732582e-22,0.0,8.329129603784459e-35,0.0,2.0722165837211842e-22,0.0,9.825021559880889e-38,0.0,7.74976708629244e-37,0.0,2.8713811782501193e-65,4.415405321999911e-22,2.2118212307084846e-22,0.0,6.228972882423579e-27,0.0,2.0854010066582163e-22,0.0,7.377714404260444e-30,0.0,5.69429526192249e-29,0.0,2.1320587785400836e-57,4.435693657949407e-22,2.245449185732582e-22,0.0,8.329129603784459e-35,0.0,2.0722165837211842e-22,0.0,9.825021559880889e-38,0.0,7.74976708629244e-37,0.0,2.8713811782501193e-65,3.0473113649209377e-22,2.0558417295018637e-18
5.635241647135907e-06,6.274879634556775e-22,3.251868939698328e-22,0.0,1.2081285995925178e-34,0.0,2.870780453627901e-22,0.0,1.426009580164416e-37,0.0,1.0891466524286577e-36,0.0,4.46139392852464e-65,6.245044486971605e-22,3.202896346884929e-22,0.0,9.034425314380482e-27,0.0,2.8896523754886298e-22,0.0,1.0707303893589472e-29,0.0,8.002286872630574e-29,0.0,3.312495681142531e-57,6.274879634556775e-22,3.251868939698328e-22,0.0,1.2081285995925178e-34,0.0,2.870780453627901e-22,0.0,1.426009580164416e-37,0.0,1.0891466524286577e-36,0.0,4.46139392852464e-65,3.0473113649209377e-22,2.0558417295018637e-18
6.227905184743301e-06,8.892459458844432e-22,4.712765318038285e-22,0.0,1.7538533177570182e-34,0.0,3.978339841482084e-22,0.0,2.0715389895809525e-37,0.0,1.532164866922339e-36,0.0,6.938677677023769e-65,8.848559622059433e-22,4.641387453153662e-22,0.0,1.311447130395109e-26,0.0,4.005372069406186e-22,0.0,1.555319837517534e-29,0.0,1.1256664783769472e-28,0.0,5.151550272509874e-57,8.892459458844432e-22,4.712765318038285e-22,0.0,1.7538533177570182e-34,0.0,3.978339841482084e-22,0.0,2.0715389895809525e-37,0.0,1.532164866922339e-36,0.0,6.938677677023769e-65,3.0473113649209377e-22,2.0558417295018637e-18
6.88289969071085e-06,1.2619699726550581e-21,6.833608478604153e-22,0.0,2.547784015444714e-34,0.0,5.514202469272265e-22,0.0,3.011403828390672e-37,0.0,2.157111274029753e-36,0.0,1.0800302451555456e-64,1.2555085242077539e-21,6.729512221433112e-22,0.0,1.9049787678748473e-26,0.0,5.552946828325967e-22,0.0,2.2608113248359968e-29,0.0,1.5847238897228966e-28,0.0,8.018146195870805e-57,1.2619699726550581e-21,6.833608478604153e-22,0.0,2.547784015444714e-34,0.0,5.514202469272265e-22,0.0,3.011403828390672e-37,0.0,2.157111274029753e-36,0.0,1.0800302451555456e-64,3.0473113649209377e-22,2.0558417295018637e-18
7.606780570205512e-06,1.7928554592671845e-21,9.912182607014206e-22,0.0,3.7028750588837313e-34,0.0,7.643261550819939e-22,0.0,4.379946703321514e-37,0.0,3.038851336389826e-36,0.0,1.682171598187942e-64,1.7833450339567387e-21,9.760315687035286e-22,0.0,2.768450534826765e-26,0.0,7.698819278159293e-22,0.0,3.2880088811260587e-29,0.0,2.232379466501338e-28,0.0,1.2487797825221616e-56,1.7928554592671845e-21,9.912182607014206e-22,0.0,3.7028750588837313e-34,0.0,7.643261550819939e-22,0.0,4.379946703321514e-37,0.0,3.038851336389826e-36,0.0,1.682171598187942e-64,3.0473113649209377e-22,2.0558417295018637e-18
8.406792666374007e-06,2.5500963782213937e-21,1.4379442967220136e-21,0.0,5.383144319040271e-34,0.0,1.0593040480087138e-21,0.0,6.3724568254927375e-37,0.0,4.282861032063819e-36,0.0,2.6211856746983217e-64,2.536102578134568e-21,1.415786048335904e-21,0.0,4.0244305553509255e-26,0.0,1.0672736500439597e-21,0.0,4.783440337243714e-29,0.0,3.1460899840830714e-28,0.0,1.94577197008586e-56,2.5500963782213937e-21,1.4379442967220136e-21,0.0,5.383144319040271e-34,0.0,1.0593040480087138e-21,0.0,6.3724568254927375e-37,0.0,4.282861032063819e-36,0.0,2.6211856746983217e-64,3.0473113649209377e-22,2.0558417295018637e-18
9.290942769168196e-06,3.6288626855767705e-21,2.0858012482436826e-21,0.0,7.826419292138205e-34,0.0,1.4676890224030997e-21,0.0,9.272434864377408e-37,0.0,6.03754542355442e-36,0.0,4.085383594826459e-64,3.6082851999813724e-21,2.0534767072957488e-21,0.0,5.850637267354227e-26,0.0,1.4791238711619168e-21,0.0,6.959810870002587e-29,0.0,4.434837410963178e-28,0.0,3.0325441573849097e-56,3.6288626855767705e-21,2.0858012482436826e-21,0.0,7.826419292138205e-34,0.0,1.4676890224030997e-21,0.0,9.272434864377408e-37,0.0,6.03754542355442e-36,0.0,4.085383594826459e-64,3.0473113649209377e-22,2.0558417295018637e-18
1.0268079749989892e-05,5.164567409092543e-21,3.0245680658347698e-21,0.0,1.1376986180626797e-33,0.0,2.0325458637161994e-21,0.0,1.3490791121038863e-36,0.0,8.511393029773241e-36,0.0,6.367772638464526e-64,5.134338713406277e-21,2.9774346836116247e-21,0.0,8.504334921266209e-26,0.0,2.0489544134297297e-21,0.0,1.0125409688613679e-28,0.0,6.25172876996215e-28,0.0,4.726547583498053e-56,5.164567409092543e-21,3.0245680658347698e-21,0.0,1.1376986180626797e-33,0.0,2.0325458637161994e-21,0.0,1.3490791121038863e-36,0.0,8.511393029773241e-36,0.0,6.367772638464526e-64,3.0473113649209377e-22,2.0558417295018637e-18
1.1347983124170313e-05,7.349434470749831e-21,4.383422599525531e-21,0.0,1.6532331895660123e-33,0.0,2.8129247490017145e-21,0.0,1.9622059700429955e-36,0.0,1.1996809617099904e-35,0.0,9.923689761121954e-64,7.305087570432655e-21,4.314748232526417e-21,0.0,1.235726163015918e-25,0.0,2.8364697928977905e-21,0.0,1.47262846596266e-28,0.0,8.811504511776791e-28,0.0,7.365707775880999e-56,7.349434470749831e-21,4.383422599525531e-21,0.0,1.6532331895660123e-33,0.0,2.8129247490017145e-21,0.0,1.9622059700429955e-36,0.0,1.1996809617099904e-35,0.0,9.923689761121954e-64,3.0473113649209377e-22,2.0558417295018637e-18
