Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
5776000000.0,3.167929273672511e-23,3.2579685122224027e-24,5.058781534837041e-23
6383467222.804941,3.869156016955369e-23,3.9791045286351375e-24,6.178563077383823e-23
7054822331.1331415,4.7255731722090856e-23,4.8598286070448414e-24,7.546171117494923e-23
7796784472.558994,5.771515039716963e-23,5.935444441877051e-24,9.216436647964297e-23
8616779453.575977,7.048907240190262e-23,7.249059873425056e-24,1.1256314614006328e-22
9523014059.56394,8.60894308189568e-23,8.853309596413592e-24,1.374756155926556e-22
10524558191.05558,1.0514129201121304e-22,1.0812457059518691e-23,1.6790003264746347e-22
11631435638.349474,1.2840781413682676e-22,1.3204958536992892e-23,2.050552176584899e-22
12854724402.972494,1.5682069273443225e-22,1.612659029621892e-23,2.504291923257176e-22
14206667570.042542,1.9151729120081844e-22,1.9694261510561088e-23,3.0583850278345896e-22
15700795841.179445,2.3388591168354727e-22,2.4050661830024058e-23,3.7350055542874667e-22
17352062954.314598,2.856209733836044e-22,2.936992420961074e-23,4.561217931784619e-22
19176995345.726303,3.4879024100598418e-22,3.586452174055278e-23,5.570051425250095e-22
21193857552.168755,4.259166983532698e-22,4.379366302682235e-23,6.801808877897227e-22
23422835008.494846,5.2007820498928e-22,5.347350546298824e-23,8.305660014562898e-22
25886236070.27266,6.350287237257834e-22,6.528957113915399e-23,1.0141580049923338e-21
28608715283.306183,7.753455703091557e-22,7.971181383120837e-23,1.238270518533584e-21
31617520134.61631,9.466069851829766e-22,9.731274353471172e-23,1.5118175577079786e-21
34942763754.44918,1.1556110810935693e-21,1.1878982981044053e-22,1.8456637755489653e-21
38617726298.605064,1.4106378561892465e-21,1.4499220615887016e-22,2.253044161237147e-21
42679188027.42344,1.7217690198722196e-21,1.769532708451853e-22,2.7500763222407586e-21
47167797414.99075,2.101271701428578e-21,2.1592968134586337e-22,3.356375725088052e-21
52128477972.73149,2.5640650188328336e-21,2.634487350598866e-22,4.095803979372606e-21
57610877859.00984,3.1282783420091834e-21,3.2136487553476354e-22,4.997365180874936e-21
63669866774.58591,3.815883601392768e-21,3.919225548860382e-22,6.096227253299038e-21
70366085117.02325,4.653232999119438e-21,4.778039154223079e-22,7.43462149980857e-21
77766550890.16977,5.6719184923151315e-21,5.822124919135578e-22,9.063240259180892e-21
85945330442.86551,6.909837248549245e-21,7.089782985977833e-22,1.1042962385748533e-20
94984279749.8566,8.412424680730663e-21,8.62677400043697e-22,1.3446861098011356e-20
104973863653.90315,1.0234368652088177e-20,1.0488053429560867e-21,1.636295669558648e-20
116014061268.33197,1.2441426470658439e-20,1.2739542090596449e-21,1.9897170727715646e-20
128215366601.60689,1.5112985804408922e-20,1.5460732144139724e-21,2.4177430309733122e-20
141699894418.50363,1.8344802462854714e-20,1.8747386567576982e-21,2.9358102332959257e-20
156602602405.72,2.2252491490374852e-20,2.271503802473768e-21,3.562561736445977e-20
173072641873.76523,2.697581961137182e-20,2.750331354094387e-21,4.320537229102756e-20
191274850513.4068,3.268406094611561e-20,3.3281381175391845e-21,5.237031555849257e-20
211391402146.68405,3.9578912362544585e-20,4.025010439067428e-21,6.344605557930681e-20
233623629983.7493,4.788881640716644e-20,4.863318175945824e-21,7.680341739067377e-20
258194041633.30563,5.792971528971763e-20,5.875089883622486e-21,9.294940796329403e-20
285348546033.54236,7.003822758554149e-20,7.093458274084331e-21,1.1242953909177256e-19
315358914591.4411,8.467454994740862e-20,8.565069156250075e-21,1.3598234389708533e-19
348525501162.3629,1.0233610304277622e-19,1.0339215663449023e-20,1.644121356496634e-19
385180248092.38367,1.2369091596042007e-19,1.2483600563563663e-20,1.987910291003781e-19
425690008408.8653,1.4947241107616757e-19,1.5071416240146253e-20,2.403021942389845e-19
470460217408.85596,1.8066357198392698e-19,1.8202671562852332e-20,2.90521138300034e-19
519938950391.81396,2.1834082577196577e-19,2.1985516823977186e-20,3.5118046469249216e-19
574621407147.8099,2.63944512195416e-19,2.656701438897345e-20,4.245859178871063e-19
635054868083.4655,3.190645167318982e-19,3.210837672775493e-20,5.132886399023341e-19
701844171588.2131,3.857659596252262e-19,3.882035602980162e-20,6.205950883210855e-19
775657767460.1876,4.6638779990488025e-19,4.69422646121006e-20,7.502468554713017e-19
857234406976.4824,5.639692772976501e-19,5.678628383817151e-20,9.070992248784554e-19
947390536564.233,6.819455036973823e-19,6.870721057908195e-20,1.096629396545896e-18
1047028469070.8734,8.247147148445827e-19,8.315845550178913e-20,1.325854895472011e-18
1157145414414.3977,9.972906123517325e-19,1.0066254517423171e-19,1.6027447835172994e-18
1278843459995.385,1.2060842762409354e-18,1.218845283462932e-19,1.9375059289162073e-18
1413340600758.137,1.458427501866196e-18,1.475964742754698e-19,2.3417491979384095e-18
1561982929293.4583,1.7636724927896357e-18,1.7877566322228298e-19,2.8303255948902546e-18
1726258107985.7402,2.132542873969942e-18,2.165641073417378e-19,3.420148821429169e-18
1907810258038.132,2.5786726162164595e-18,2.623981224130547e-19,4.13280687723953e-18
2108456414390.1396,3.1177512034116845e-18,3.1796885990392308e-19,4.9929367820333e-18
2330204711214.038,3.7696975513350415e-18,3.853945016308234e-19,6.031971990920304e-18
2575274479996.619,4.557482334873858e-18,4.671830835519508e-19,7.285810961969003e-18
2846118461354.6484,5.510177570596263e-18,5.664570950163505e-19,8.800165088304787e-18
3145447352887.3687,6.6611947501162186e-18,6.869107628460275e-19,1.062700147358892e-17
3476256938749.147,8.052776028474001e-18,8.331268600515758e-19,1.2832493918142891e-17
3841858072464.234,9.733654223226892e-18,1.0105678100103662e-18,1.549204156597096e-17
4245909813061.637,1.1765419519116438e-17,1.2259916824300218e-18,1.8701717993880233e-17
4692456046167.73,1.421911356763534e-17,1.48747496524129e-18,2.2570829012657325e-17
5185965956572.816,1.7184573709241207e-17,1.8049944571769473e-18,2.723886996766186e-17
5731378757334.632,2.076540822577096e-17,2.1905026164849226e-18,3.286432205675757e-17
6334153123082.776,2.5092789037623307e-17,2.6587520730249087e-18,3.964986710677153e-17
7000321822269.128,3.0317950861703087e-17,3.2274528799474117e-18,4.7825422595953204e-17
7736552095142.158,3.663257614242635e-17,3.918447235725067e-18,5.76856433256548e-17
8550212381728.34,4.425752529113106e-17,4.757992598760956e-18,6.956418065973118e-17
