Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
6947791164.658634,1.7820409782486932e-31,1.7820409782486932e-31,1.4841966689025373e-23
7678496740.043656,2.1762890762313856e-31,2.1762890762313856e-31,1.8125581841061004e-23
8486051291.634914,2.65770650697589e-31,2.65770650697589e-31,2.213523989025865e-23
9378537096.813194,3.2455450843889964e-31,3.2455450843889964e-31,2.7031302123098386e-23
10364886453.491556,3.963299283148446e-31,3.963299283148446e-31,3.30094743187279e-23
11454971077.555107,4.839637210480665e-31,4.839637210480665e-31,4.030856436770833e-23
12659700902.31157,5.9095340818706145e-31,5.9095340818706145e-31,4.9219928168941405e-23
13991133268.77078,7.215651449544145e-31,7.215651449544145e-31,6.009896475202904e-23
15462593599.566141,8.810014306767638e-31,8.810014306767638e-31,7.337909581003708e-23
17088808764.263145,1.0756048720240513e-30,1.0756048720240513e-30,8.958875299420495e-23
18886054470.81987,1.3131055058376007e-30,1.3131055058376007e-30,1.0937200040719848e-22
20872318158.34269,1.6029206410237694e-30,1.6029206410237694e-30,1.3351354170128928e-22
23067479021.422604,1.9565178623127792e-30,1.9565178623127792e-30,1.6296900279448336e-22
25493506967.796356,2.387853765302226e-30,2.387853765302226e-30,1.9890154370060753e-22
28174682500.56742,2.913903162366376e-30,2.913903162366376e-30,2.4272603660912465e-22
31137839725.64197,3.55529589248923e-30,3.55529589248923e-30,2.961622508271419e-22
34412634916.48012,4.3370785532084704e-30,4.3370785532084704e-30,3.612985124411868e-22
38031843324.04842,5.28959821687748e-30,5.28959821687748e-30,4.406656850556837e-22
42031687202.547775,6.44962879996218e-30,6.44962879996218e-30,5.373313216565087e-22
46452198333.90818,7.86163668910001e-30,7.86163668910001e-30,6.550057563635757e-22
51337618679.31737,9.5793248748233e-30,9.5793248748233e-30,7.981715426051343e-22
56736843167.6387,1.16673852881964e-29,1.16673852881964e-29,9.722307274070327e-22
62703909052.2933,1.4203597398812117e-29,1.4203597398812117e-29,1.1836813553727071e-21
69298536734.2549,1.7281173757676607e-29,1.7281173757676607e-29,1.440315417021348e-21
76586727463.89548,2.1010570386864786e-29,2.1010570386864786e-29,1.7513754219059486e-21
84641423903.68275,2.5516737561837634e-29,2.5516737561837634e-29,2.1273448056254407e-21
93543240162.86316,3.0940160033492743e-29,3.0940160033492743e-29,2.580047141929868e-21
103381268610.56227,3.743879467507346e-29,3.743879467507346e-29,3.122820696539322e-21
114253971542.16026,4.518887491454298e-29,4.518887491454298e-29,3.7706055748392576e-21
126270166623.03818,5.439090538902601e-29,5.439090538902601e-29,4.540454255308078e-21
139550115972.34805,6.527091485439235e-29,6.527091485439235e-29,5.451665021770504e-21
154226729786.723,7.808993393920278e-29,7.808993393920278e-29,6.52658600625236e-21
170446896550.1975,9.314727303276852e-29,9.314727303276852e-29,7.790926681309093e-21
188372953143.52673,1.1078814376080141e-28,1.1078814376080141e-28,9.274429625451335e-21
208184309566.2524,1.3141416449032367e-28,1.3141416449032367e-28,1.1011786766374828e-20
230079244532.2799,1.5549886814801312e-28,1.5549886814801312e-28,1.3043973516298108e-20
254276889909.89124,1.8353012601104244e-28,1.8353012601104244e-28,1.5413695191274272e-20
281019423867.13495,2.157421388866275e-28,2.157421388866275e-28,1.8143853393428062e-20
310574494672.3311,2.532419485067095e-28,2.532419485067095e-28,2.1328689276150758e-20
343237899407.9005,2.9637675312818632e-28,2.9637675312818632e-28,2.5002033518537096e-20
379336544406.986,3.466283705694549e-28,3.466283705694549e-28,2.929062969990489e-20
419231717041.91266,4.045510345205388e-28,4.045510345205388e-28,3.424762291685912e-20
463322701609.6406,4.720620528634029e-28,4.720620528634029e-28,4.0038167982748247e-20
512050775503.2157,5.500111174250194e-28,5.500111174250194e-28,4.6742991186302594e-20
565903625664.2365,6.411314458441362e-28,6.411314458441362e-28,5.459782857007954e-20
625420229517.6816,7.466187832475338e-28,7.466187832475338e-28,6.371666616849299e-20
691196249239.1388,8.702473034949136e-28,8.702473034949136e-28,7.44260722646535e-20
763889993342.063,1.0139152240900882e-27,1.0139152240900882e-27,8.690432350002217e-20
844229005250.6486,1.1818676055572529e-27,1.1818676055572529e-27,1.0152571818163137e-19
933017344798.9496,1.3769021734987613e-27,1.3769021734987613e-27,1.1855188820301192e-19
1031143635531.9579,1.6051461130519866e-27,1.6051461130519866e-27,1.385229980683966e-19
1139589958348.7156,1.8706084893160132e-27,1.8706084893160132e-27,1.6181360802946253e-19
1259441680498.0386,2.1805942519435307e-27,2.1805942519435307e-27,1.890787321054061e-19
1391898318298.7544,2.5402082095731324e-27,2.5402082095731324e-27,2.208025802640563e-19
1538285542302.1838,2.958846116514668e-27,2.958846116514668e-27,2.5783695686846266e-19
1700068445048.5994,3.443253397663247e-27,3.443253397663247e-27,3.008280165708786e-19
1878866204205.8003,4.0055862170485684e-27,4.0055862170485684e-27,3.50889864493335e-19
2076468287843.431,4.654832441595966e-27,4.654832441595966e-27,4.0889046123924957e-19
2294852364030.894,5.4064442084088616e-27,5.4064442084088616e-27,4.762652769079262e-19
2536204094004.0923,6.272580874243753e-27,6.272580874243753e-27,5.54194233655807e-19
2802939006997.718,7.273585407821249e-27,7.273585407821249e-27,6.445846955737877e-19
3097726675673.7134,8.426387696363653e-27,8.426387696363653e-27,7.490777750797511e-19
3423517434101.7407,9.757071216262225e-27,9.757071216262225e-27,8.701509686554898e-19
3783571905694.2085,1.1284790311748232e-26,1.1284790311748232e-26,1.0097271530644597e-18
4181493636621.294,1.303867893982025e-26,1.303867893982025e-26,1.1706766049081909e-18
4621265161312.232,1.5042002892700495e-26,1.5042002892700495e-26,1.3553899017638034e-18
5107287860998.448,1.7329350905792033e-26,1.7329350905792033e-26,1.5673775079158223e-18
5644426014216.265,1.9927587211130347e-26,1.9927587211130347e-26,1.8094983170041123e-18
6238055480141.461,2.2877034766332397e-26,2.2877034766332397e-26,2.0859958637158842e-18
6894117501994.761,2.620812303518236e-26,2.620812303518236e-26,2.4002458340484742e-18
7619178169000.937,2.9968354883779415e-26,2.9968354883779415e-26,2.7574332668127255e-18
8420494132016.702,3.4192560668129044e-26,3.4192560668129044e-26,3.1615780392014876e-18
9306085230531.498,3.893736580124392e-26,3.893736580124392e-26,3.6190814623096296e-18
10284814757916.727,4.42418140571638e-26,4.42418140571638e-26,4.1346588334499125e-18
11366478168244.793,5.017326596581488e-26,5.017326596581488e-26,4.716207109538373e-18
12561901112485.9,5.67706158407176e-26,5.67706158407176e-26,5.368851796820997e-18
13883047785261.549,6.410719217876613e-26,6.410719217876613e-26,6.10178558187914e-18
15343140666525.588,7.222027127603096e-26,7.222027127603096e-26,6.9204826671648755e-18
16956792856587.896,8.119886163326553e-26,8.119886163326553e-26,7.836441002198171e-18
18740154328933.824,9.108024233247438e-26,9.108024233247438e-26,8.855642941643622e-18
20711073564587.105,1.0197650850821193e-25,1.0197650850821193e-25,9.992757780691382e-18
22889276185707.004,1.1392619711281132e-25,1.1392619711281132e-25,1.1254347645426338e-17
25296562376244.9,1.2707788904512403e-25,1.2707788904512403e-25,1.2659645840431266e-17
27957025065512.453,1.4147402699608157e-25,1.4147402699608157e-25,1.421587469819381e-17
30897291058316.28,1.57317450899927e-25,1.57317450899927e-25,1.5948616661102047e-17
34146787524969.887,1.7465542227158691e-25,1.7465542227158691e-25,1.7865525072526343e-17
37738036518305.02,1.937832684820577e-25,1.937832684820577e-25,2.000200104863452e-17
41706980465307.55,2.1476650899506627e-25,2.1476650899506627e-25,2.2366650517592174e-17
46093341891007.02,2.3800197027339454e-25,2.3800197027339454e-25,2.500582543990037e-17
50941020974858.92,2.635383101132002e-25,2.635383101132002e-25,2.79253012079862e-17
56298534918495.64,2.9189284661460736e-25,2.9189284661460736e-25,3.118433099898364e-17
