Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
6.67291687204199e-06,5.710104766491853e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2259824206575177e-22,6.208673058782023e-20,5.710104766491853e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.710104766491853e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.374713665717109e-06,2.2539371037920648e-17,2.256051279122223e-17,0.0,9.760402674306479e-31,0.0,2.9502835914525785e-21,0.0,2.5179040240652283e-36,0.0,4.6328424446065376e-32,0.0,1.283896828019807e-63,1.2259824206575177e-22,6.208673058782023e-20,2.2532209831762608e-17,2.2552792479388137e-17,0.0,7.873883054744078e-23,0.0,3.172690655183099e-21,0.0,2.584230833466237e-28,0.0,3.7351901364790175e-24,0.0,1.070570714854213e-55,2.2539371037920648e-17,2.256051279122223e-17,0.0,9.760402674306479e-31,0.0,2.9502835914525785e-21,0.0,2.5179040240652283e-36,0.0,4.6328424446065376e-32,0.0,1.283896828019807e-63
8.150319072485614e-06,3.022808581104029e-17,3.025932590928323e-17,0.0,1.3072785295311895e-30,0.0,3.566196568622813e-21,0.0,3.366613983353373e-36,0.0,6.02383056921724e-32,0.0,1.8411500435423404e-63,1.2259824206575177e-22,6.208673058782023e-20,3.0218947684310645e-17,3.0249463511985784e-17,0.0,1.0546208587032051e-22,0.0,3.8530277463846655e-21,0.0,3.455184514295912e-28,0.0,4.856744677467465e-24,0.0,1.5352433438214725e-55,3.022808581104029e-17,3.025932590928323e-17,0.0,1.3072785295311895e-30,0.0,3.566196568622813e-21,0.0,3.366613983353373e-36,0.0,6.02383056921724e-32,0.0,1.8411500435423404e-63
9.007495611948368e-06,4.04908559012781e-17,4.0535943560512404e-17,0.0,1.7481591084189273e-30,0.0,4.302488240879074e-21,0.0,4.4928846629852225e-36,0.0,7.820718219716952e-32,0.0,2.636675774284089e-63,1.2259824206575177e-22,6.208673058782023e-20,4.04792100509183e-17,4.052336003637598e-17,0.0,1.4103140844523882e-22,0.0,4.671794009505167e-21,0.0,4.610896485577255e-28,0.0,6.3055967856686405e-24,0.0,2.198601444061181e-55,4.04908559012781e-17,4.0535943560512404e-17,0.0,1.7481591084189273e-30,0.0,4.302488240879074e-21,0.0,4.4928846629852225e-36,0.0,7.820718219716952e-32,0.0,2.636675774284089e-63
9.95482219501936e-06,5.4164051556982096e-17,5.4227921345899824e-17,0.0,2.3334919591351578e-30,0.0,5.179803894071096e-21,0.0,5.98292797515393e-36,0.0,1.0137720451578694e-31,0.0,3.77004273650774e-63,1.2259824206575177e-22,6.208673058782023e-20,5.414923625651852e-17,5.421189330013182e-17,0.0,1.8825545218984822e-22,0.0,5.6544021833592385e-21,0.0,6.1397715943649075e-28,0.0,8.173849835041706e-24,0.0,3.1436680570987468e-55,5.4164051556982096e-17,5.4227921345899824e-17,0.0,2.3334919591351578e-30,0.0,5.179803894071096e-21,0.0,5.98292797515393e-36,0.0,1.0137720451578694e-31,0.0,3.77004273650774e-63
1.1001779984549395e-05,7.234215420865686e-17,7.243123883869593e-17,0.0,3.1083265133635765e-30,0.0,6.221205811279824e-21,0.0,7.947261359840463e-36,0.0,1.3119247491136613e-31,0.0,5.380903529865387e-63,1.2259824206575177e-22,6.208673058782023e-20,7.232335179888257e-17,7.241087024254435e-17,0.0,2.5076910043105014e-22,0.0,6.829797289400527e-21,0.0,8.155117945610807e-28,0.0,1.0577958758583831e-23,0.0,4.486886508425456e-55,7.234215420865686e-17,7.243123883869593e-17,0.0,3.1083265133635765e-30,0.0,6.221205811279824e-21,0.0,7.947261359840463e-36,0.0,1.3119247491136613e-31,0.0,5.380903529865387e-63
1.2158847285990713e-05,9.645008759051685e-17,9.657267707728672e-17,0.0,4.130519613422422e-30,0.0,7.451986585999966e-21,0.0,1.0526238269527498e-35,0.0,1.6946875592630275e-31,0.0,7.664126096400437e-63,1.2259824206575177e-22,6.208673058782023e-20,9.642629896383704e-17,9.654686995052639e-17,0.0,3.332406963422887e-22,0.0,8.23045941784883e-21,0.0,1.0800805164933174e-27,0.0,1.3664352698225256e-23,0.0,6.390734559859081e-55,9.645008759051685e-17,9.657267707728672e-17,0.0,4.130519613422422e-30,0.0,7.451986585999966e-21,0.0,1.0526238269527498e-35,0.0,1.6946875592630275e-31,0.0,7.664126096400437e-63
1.3437604417799973e-05,1.2833191828434744e-16,1.284985517160844e-16,0.0,5.4737046171485644e-30,0.0,8.899236114099782e-21,0.0,1.3896140474122785e-35,0.0,2.1847410934584304e-31,0.0,1.0889976644844076e-62,1.2259824206575177e-22,6.208673058782023e-20,1.283019397148048e-16,1.284659786928849e-16,0.0,4.41611658244237e-22,0.0,9.892156373850952e-21,0.0,1.4257495112394592e-27,0.0,1.761593967774956e-23,0.0,9.080548620968871e-55,1.2833191828434744e-16,1.284985517160844e-16,0.0,5.4737046171485644e-30,0.0,8.899236114099782e-21,0.0,1.3896140474122785e-35,0.0,2.1847410934584304e-31,0.0,1.0889976644844076e-62
1.4850849611157342e-05,1.7035751979243585e-16,1.7058446315655238e-16,0.0,7.230175640681375e-30,0.0,1.0590245968277508e-20,0.0,1.8273499446083153e-35,0.0,2.810254238582574e-31,0.0,1.5430207378304369e-62,1.2259824206575177e-22,6.208673058782023e-20,1.7031992677753462e-16,1.7054355109480055e-16,0.0,5.8332925858460655e-22,0.0,1.1852397997082907e-20,0.0,1.8747029823162138e-27,0.0,2.265989413143634e-23,0.0,1.2866265038532256e-54,1.7035751979243585e-16,1.7058446315655238e-16,0.0,7.230175640681375e-30,0.0,1.0590245968277508e-20,0.0,1.8273499446083153e-35,0.0,2.810254238582574e-31,0.0,1.5430207378304369e-62
1.6412727098966157e-05,2.255476028144042e-16,2.258480519560854e-16,0.0,9.515933710050009e-30,0.0,1.2554667050674539e-20,0.0,2.3928985512795002e-35,0.0,3.605629353548446e-31,0.0,2.1793626143683867e-62,1.2259824206575177e-22,6.208673058782023e-20,2.2550074808367215e-16,2.257969631809793e-16,0.0,7.677539077189848e-22,0.0,1.415313416170016e-20,0.0,2.4546751463093613e-27,0.0,2.907366680034909e-23,0.0,1.817208102214002e-54,2.255476028144042e-16,2.258480519560854e-16,0.0,9.515933710050009e-30,0.0,1.2554667050674539e-20,0.0,2.3928985512795002e-35,0.0,3.605629353548446e-31,0.0,2.1793626143683867e-62
