Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
5813953488.372093,5.41328105075246e-31,5.41328105075246e-31,2.196343616744924e-22
6425412314.393301,6.61138770481755e-31,6.61138770481755e-31,2.6824569680762893e-22
7101178826.512615,8.0745993092961e-31,8.0745993092961e-31,3.2761336203895833e-22
7848016323.116298,9.861547307497794e-31,9.861547307497794e-31,4.001163034627732e-22
8673399404.891108,1.2043818304440173e-30,1.2043818304440173e-30,4.886591350293941e-22
9585588783.14028,1.4708811471199734e-30,1.4708811471199734e-30,5.967880879302454e-22
10593713955.758774,1.796322391535085e-30,1.796322391535085e-30,7.288324452246697e-22
11707864578.316725,2.1937301016794078e-30,2.1937301016794078e-30,8.900770231105843e-22
12939191444.72365,2.6790018165722858e-30,2.6790018165722858e-30,1.086972455888626e-21
14300018088.121801,3.2715395900441374e-30,3.2715395900441374e-30,1.3273914863302432e-21
15803964118.947937,3.99501933110717e-30,3.99501933110717e-30,1.6209412051134215e-21
17466081534.57229,4.878327612367853e-30,4.878327612367853e-30,1.979343278287396e-21
19303005364.74737,5.956701768204627e-30,5.956701768204627e-30,2.4168967147373806e-21
21333120160.577003,7.273116488086698e-30,7.273116488086698e-30,2.951040729260758e-21
23576743993.282997,8.879968895124247e-30,8.879968895124247e-30,3.60303883235157e-21
26056331804.291073,1.0841124500455033e-29,1.0841124500455033e-29,4.398809513661767e-21
28796700141.832066,1.323439594510513e-29,1.323439594510513e-29,5.369932795596224e-21
31825275533.29768,1.615451457153436e-29,1.615451457153436e-29,6.554857377780817e-21
35172368979.14504,1.97168099117959e-29,1.97168099117959e-29,8.000394838315984e-21
38871479315.577156,2.4061572236032872e-29,2.4061572236032872e-29,9.763492296257823e-21
42959628482.154945,2.9359372010446723e-29,2.9359372010446723e-29,1.1913393946116276e-20
47477732049.81193,3.5817390277645066e-29,3.5817390277645066e-29,1.4534214634198167e-20
52471008717.64024,4.368709341110131e-29,4.368709341110131e-29,1.7728060460832957e-20
57989432876.82979,5.327332412564774e-29,5.327332412564774e-29,2.161872736016152e-20
64088234771.17212,6.494418581955538e-29,6.494418581955538e-29,2.6355734244364275e-20
70828453259.90392,7.913736771987437e-29,7.913736771987437e-29,3.2116965974558623e-20
78277546715.12611,9.63728678434574e-29,9.63728678434574e-29,3.9113884198880024e-20
86510068167.86533,1.1726909469878563e-28,1.1726909469878563e-28,4.75981076396476e-20
95608411459.86661,1.4256067624586825e-28,1.4256067624586825e-28,5.78687145785069e-20
105663635868.85504,1.7312529199010255e-28,1.7312529199010255e-28,7.028316912889482e-20
116776377460.39342,2.1000959010524326e-28,2.1000959010524326e-28,8.526794699981496e-20
129057856287.45137,2.544686664449354e-28,2.544686664449354e-28,1.0333461080311724e-19
142630989518.07764,3.080049873322143e-28,3.080049873322143e-28,1.2509574975212385e-19
157631621631.73193,3.724182390754486e-28,3.724182390754486e-28,1.5128535965998285e-19
174209883996.49432,4.4986752250026645e-28,4.4986752250026645e-28,1.8278424012633167e-19
192531697434.25763,5.429482321209375e-28,5.429482321209375e-28,2.206513721353129e-19
212780432812.08133,6.546975159557897e-28,6.546975159557897e-28,2.6612710928956214e-19
235158746279.46164,7.883725634468717e-28,7.883725634468717e-28,3.205463933666558e-19
259890607519.19092,9.488395647936507e-28,9.488395647936507e-28,3.858916190034707e-19
287223541311.22205,1.1408247264362501e-27,1.1408247264362501e-27,4.640997036353017e-19
317431104843.8619,1.371231162755571e-27,1.371231162755571e-27,5.579852476575919e-19
350815625566.05817,1.6469124078538727e-27,1.6469124078538727e-27,6.70356791520261e-19
387711226982.123,1.977592997707908e-27,1.977592997707908e-27,8.051832301102409e-19
428487172672.06854,2.373122389952127e-27,2.373122389952127e-27,9.665014540931892e-19
473551562005.6287,2.8475036503063117e-27,2.8475036503063117e-27,1.1600283661509318e-18
523355414537.91754,3.414709418027375e-27,3.414709418027375e-27,1.3914936512020108e-18
578397183964.7318,4.09473161816475e-27,4.09473161816475e-27,1.6690632854772468e-18
639227746814.6716,4.907559294567621e-27,4.907559294567621e-27,2.0009352455380818e-18
