Energy,Flux Value,Flux Error,Is Upper Limit
3.060393827838086e-07,2.9674e-15,3.7e-16,0.0
3.308533867933066e-07,7.2e-15,0.0,0.0
3.308533867933066e-07,6.4e-15,0.0,0.0
6.244857675723662e-07,6.33e-15,0.0,0.0
6.617067735866132e-07,5.76e-15,0.0,0.0
7.361487856151071e-07,8.54e-15,1.07e-15,0.0
7.361487856151071e-07,8.54e-15,0.0,0.0
1.5095185772444614e-06,1.14e-14,5.47e-16,0.0
1.5095185772444614e-06,9.13e-15,2.3e-16,0.0
1.5095185772444614e-06,1.1352e-14,5.475e-16,0.0
1.5880962566078716e-06,9.431e-15,0.0,0.0
1.6873522726458637e-06,9.38e-15,4.49e-16,0.0
1.6873522726458637e-06,9.38e-15,0.0,0.0
1.6873522726458637e-06,1.5096e-14,0.0,0.0
1.9354923127408434e-06,1.2917e-14,2.0592e-15,0.0
1.9354923127408434e-06,1.29e-14,2.06e-15,0.0
2.2952953708785644e-06,1.22e-14,0.0,0.0
2.626148757671871e-06,1.84e-14,1.71e-15,0.0
2.626148757671871e-06,1.65e-14,0.0,0.0
2.626148757671871e-06,1.8352e-14,1.7145e-15,0.0
3.1017505011872493e-06,1.93e-14,1.2e-15,0.0
3.1017505011872493e-06,1.9275e-14,1.2e-15,0.0
3.978511976189512e-06,1.3276e-14,6.734e-16,0.0
5.7899342688828654e-06,1.9811e-15,7.0716e-17,0.0
5.7899342688828654e-06,3.12e-14,1.12e-15,0.0
5.7899342688828654e-06,3.17e-14,9.51e-16,0.0
5.7899342688828654e-06,2.8e-14,0.0,0.0
5.7899342688828654e-06,2.23e-14,0.0,0.0
5.7899342688828654e-06,2.44e-15,0.0,0.0
5.7899342688828654e-06,2.9e-14,1.4e-15,0.0
5.7899342688828654e-06,3.1709e-14,9.5129e-16,0.0
5.7899342688828654e-06,3.122e-14,1.12e-15,0.0
5.7899342688828654e-06,2.898e-14,1.4e-15,0.0
5.7899342688828654e-06,1.44e-14,0.0,0.0
5.7899342688828654e-06,2.7986e-14,0.0,0.0
5.8312909422320285e-06,3.2289e-14,1.551e-15,0.0
5.8312909422320285e-06,3.102e-14,0.0,0.0
5.8312909422320285e-06,3.1e-14,0.0,0.0
5.8312909422320285e-06,3.23e-14,1.55e-15,0.0
6.120787655676172e-06,2.516e-14,1.332e-15,0.0
1.033916833729083e-05,3.62e-14,0.0,0.0
1.095951843752828e-05,5.035e-14,0.0,0.0
1.1145623467599516e-05,4.0156e-14,1.8865e-15,0.0
1.1145623467599516e-05,5.5517e-14,1.078e-15,0.0
1.1145623467599516e-05,5.8212e-14,2.156e-15,0.0
1.1145623467599516e-05,4.0964e-14,2.9645e-15,0.0
1.1166301804274097e-05,5.292e-14,2.43e-15,0.0
1.1166301804274097e-05,4.914e-14,0.0,0.0
1.1166301804274097e-05,5.103e-14,0.0,0.0
1.1166301804274097e-05,5.373e-14,1.35e-15,0.0
1.1166301804274097e-05,4.32e-14,1.08e-15,0.0
1.1166301804274097e-05,4.1e-14,2.96e-15,0.0
1.1166301804274097e-05,5.1e-14,0.0,0.0
1.1166301804274097e-05,5.37e-14,1.35e-15,0.0
1.1166301804274097e-05,4.32e-14,1.08e-15,0.0
1.1166301804274097e-05,5.29e-14,2.43e-15,0.0
1.1166301804274097e-05,5.55e-14,1.08e-15,0.0
1.9851203207598396e-05,6.58e-14,0.0,0.0
2.0057986574344214e-05,1.6087e-13,4.8015e-15,0.0
2.0057986574344214e-05,1.61e-13,4.8e-15,0.0
2.0057986574344214e-05,1.5878e-13,1.746e-16,0.0
2.067833667458166e-05,8.7e-14,1e-15,0.0
2.067833667458166e-05,1.65e-13,0.0,0.0
2.067833667458166e-05,1.1e-13,0.0,0.0
2.067833667458166e-05,8.7e-14,1e-15,0.0
2.067833667458166e-05,8.7e-14,0.0,0.0
2.071555768059591e-05,9.0663e-14,4.0072e-15,0.0
2.071555768059591e-05,8.5153e-14,4.0072e-15,0.0
2.071555768059591e-05,9.4169e-14,5.009e-15,0.0
2.0719693347930826e-05,9.42e-14,5.01e-15,0.0
2.0719693347930826e-05,8.52e-14,4.01e-15,0.0
2.0719693347930826e-05,9.07e-14,4.01e-15,0.0
2.7295404410447793e-05,1.8546e-13,7.92e-15,0.0
2.7295404410447793e-05,9.57e-14,6.6e-15,0.0
3.2175491865649064e-05,1.2837e-13,7.002e-15,0.0
3.256838026246612e-05,2.268e-13,7.875e-15,0.0
3.3436870402798545e-05,2.3042e-13,8.8935e-15,0.0
3.3436870402798545e-05,1.1562e-13,4.0425e-15,0.0
3.354026208617146e-05,6.96e-14,0.0,0.0
3.473960561329719e-05,1.6448e-13,0.0,0.0
3.473960561329719e-05,1.64e-13,0.0,0.0
3.473960561329719e-05,3.62e-13,0.0,0.0
3.498774565339217e-05,2.7966e-13,3.384e-17,0.0
3.556673908028046e-05,1.1e-13,0.0,0.0
3.668336926070787e-05,1.8538e-13,6.209e-15,0.0
3.668336926070787e-05,1.85e-13,6.21e-15,0.0
4.3424507016621493e-05,3.339e-13,8.4e-15,0.0
4.3424507016621493e-05,1.5435e-13,7.35e-15,0.0
4.425164048360476e-05,2.4e-13,8.56e-15,0.0
4.425164048360476e-05,3.25e-13,1.28e-14,0.0
4.425164048360476e-05,3.2513e-13,1.2834e-14,0.0
6.203501002374499e-05,1.43e-13,0.0,0.0
6.203501002374499e-05,1.66e-13,0.0,0.0
6.203501002374499e-05,1.49e-13,1.5e-15,0.0
6.203501002374499e-05,3.49e-13,0.0,0.0
6.203501002374499e-05,3.5e-13,0.0,0.0
6.203501002374499e-05,3.62e-13,0.0,0.0
6.244857675723662e-05,1.59e-13,0.0,0.0
6.368927695771152e-05,1.76e-13,0.0,0.0
6.658424409215296e-05,1.48e-13,0.0,0.0
7.650984569595215e-05,2.9e-13,1.46e-14,0.0
8.229977996483502e-05,2.18e-13,1.05e-14,0.0
