Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
6.101257391252829e-06,7.032338955998436e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3570690082422163e-22,1.3946200218497202e-19,7.032338955998436e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.032338955998436e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.742932232506704e-06,7.237434848662498e-18,7.219159247031738e-18,0.0,6.264816194318798e-31,0.0,2.296687289294544e-20,0.0,2.2750796777570697e-35,0.0,2.9493057052963685e-32,0.0,4.665515451198155e-63,1.3570690082422163e-22,1.3946200218497202e-19,7.222190438450434e-18,7.202869819737397e-18,0.0,4.367513204681036e-23,0.0,2.353222455727712e-20,0.0,1.6605483114772392e-27,0.0,2.052739121028068e-24,0.0,3.315575653639509e-55,7.237434848662498e-18,7.219159247031738e-18,0.0,6.264816194318798e-31,0.0,2.296687289294544e-20,0.0,2.2750796777570697e-35,0.0,2.9493057052963685e-32,0.0,4.665515451198155e-63
7.452092605921322e-06,9.858289863646905e-18,9.838048036834727e-18,0.0,8.533416133108077e-31,0.0,2.933118884198113e-20,0.0,3.097326801476658e-35,0.0,3.9351327372939723e-32,0.0,6.801083223631476e-63,1.3570690082422163e-22,1.3946200218497202e-19,9.838648445707227e-18,9.817036741290493e-18,0.0,5.949789974485136e-23,0.0,3.007757503192108e-20,0.0,2.2609549013510865e-27,0.0,2.7392164629242526e-24,0.0,4.833792383026842e-55,9.858289863646905e-18,9.838048036834727e-18,0.0,8.533416133108077e-31,0.0,2.933118884198113e-20,0.0,3.097326801476658e-35,0.0,3.9351327372939723e-32,0.0,6.801083223631476e-63
8.235836026870794e-06,1.3403286285438594e-17,1.3381530850053579e-17,0.0,1.1599594901627227e-30,0.0,3.739686205643943e-20,0.0,4.207579680766229e-35,0.0,5.23502824424501e-32,0.0,9.895366252646852e-63,1.3570690082422163e-22,1.3946200218497202e-19,1.3378048813761975e-17,1.3354503224569979e-17,0.0,8.088580199864626e-23,0.0,3.8379511511233544e-20,0.0,3.071739964185971e-27,0.0,3.644491718796863e-24,0.0,7.033797304749175e-55,1.3403286285438594e-17,1.3381530850053579e-17,0.0,1.1599594901627227e-30,0.0,3.739686205643943e-20,0.0,4.207579680766229e-35,0.0,5.23502824424501e-32,0.0,9.895366252646852e-63
9.102006462937302e-06,1.8190104908016685e-17,1.8167614931257816e-17,0.0,1.5735306620831787e-30,0.0,4.76018173134205e-20,0.0,5.703363960794519e-35,0.0,6.944235733882813e-32,0.0,1.4370709793690416e-62,1.3570690082422163e-22,1.3946200218497202e-19,1.8157762790745384e-17,1.813293931214355e-17,0.0,1.0973707045788637e-22,0.0,4.889198287882976e-20,0.0,4.1641613469012134e-27,0.0,4.8349424775907224e-24,0.0,1.0216017742350773e-54,1.8190104908016685e-17,1.8167614931257816e-17,0.0,1.5735306620831787e-30,0.0,4.76018173134205e-20,0.0,5.703363960794519e-35,0.0,6.944235733882813e-32,0.0,1.4370709793690416e-62
1.0059272838974913e-05,2.4642433115670744e-17,2.4620449378503284e-17,0.0,2.130171381597231e-30,0.0,6.049038200086501e-20,0.0,7.713784645180791e-35,0.0,9.185368436543059e-32,0.0,2.083163156890423e-62,1.3570690082422163e-22,1.3946200218497202e-19,2.460109449643472e-17,2.457607541040008e-17,0.0,1.485728007507983e-22,0.0,6.217970166527414e-20,0.0,5.632554057915761e-27,0.0,6.3960274955798746e-24,0.0,1.4810490725212474e-54,2.4642433115670744e-17,2.4620449378503284e-17,0.0,2.130171381597231e-30,0.0,6.049038200086501e-20,0.0,7.713784645180791e-35,0.0,9.185368436543059e-32,0.0,2.083163156890423e-62
1.1117215798623307e-05,3.332383594848694e-17,3.3304249120229506e-17,0.0,2.8776707202877806e-30,0.0,7.673615764686333e-20,0.0,1.0409022975655106e-34,0.0,1.2115767359328605e-31,0.0,3.014122577399946e-62,1.3570690082422163e-22,1.3946200218497202e-19,3.327113761440481e-17,3.324761003698011e-17,0.0,2.0072916048268197e-22,0.0,7.89420774098086e-20,0.0,7.601270467350565e-27,0.0,8.437418317556461e-24,0.0,2.1431228712129602e-54,3.332383594848694e-17,3.3304249120229506e-17,0.0,2.8776707202877806e-30,0.0,7.673615764686333e-20,0.0,1.0409022975655106e-34,0.0,1.2115767359328605e-31,0.0,3.014122577399946e-62
1.228642359060963e-05,4.498167236853691e-17,4.4967277122717316e-17,0.0,3.878996609068005e-30,0.0,9.716830882940369e-20,0.0,1.401229084368549e-34,0.0,1.593664448508825e-31,0.0,4.352825884335455e-62,1.3570690082422163e-22,1.3946200218497202e-19,4.4914676463939165e-17,4.489517462736291e-17,0.0,2.7060228693289006e-22,0.0,1.0004076401606336e-19,0.0,1.0233416180673053e-26,0.0,1.1099376534680603e-23,0.0,3.0952425397766273e-54,4.498167236853691e-17,4.4967277122717316e-17,0.0,3.878996609068005e-30,0.0,9.716830882940369e-20,0.0,1.401229084368549e-34,0.0,1.593664448508825e-31,0.0,4.352825884335455e-62
1.3578598039500311e-05,6.0603609904461e-17,6.059843933823649e-17,0.0,5.21670852463599e-30,0.0,1.2280097468334882e-19,0.0,1.881465189354819e-34,0.0,2.090435490784594e-31,0.0,6.2736397674499316e-62,1.3570690082422163e-22,1.3946200218497202e-19,6.051868590848996e-17,6.050691119232656e-17,0.0,3.639565470077119e-22,0.0,1.2653052963858627e-19,0.0,1.374168036011767e-26,0.0,1.4560616846084337e-23,0.0,4.46146424082733e-54,6.0603609904461e-17,6.059843933823649e-17,0.0,5.21670852463599e-30,0.0,1.2280097468334882e-19,0.0,1.881465189354819e-34,0.0,2.090435490784594e-31,0.0,6.2736397674499316e-62
1.500667166149477e-05,8.148970166231488e-17,8.149945630709101e-17,0.0,6.998427561256994e-30,0.0,1.5486494545344969e-19,0.0,2.519304773168209e-34,0.0,2.7344157866765057e-31,0.0,9.023067542861322e-62,1.3570690082422163e-22,1.3946200218497202e-19,8.138239632057072e-17,8.138362903674156e-17,0.0,4.883067099926451e-22,0.0,1.5969257340916422e-19,0.0,1.840150748635778e-26,0.0,1.9047907542429928e-23,0.0,6.417172460275818e-54,8.148970166231488e-17,8.149945630709101e-17,0.0,6.998427561256994e-30,0.0,1.5486494545344969e-19,0.0,2.519304773168209e-34,0.0,2.7344157866765057e-31,0.0,9.023067542861322e-62
