Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
3.7246221892149225e-06,2.0733546749750192e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0495247159896937e-21,6.741956517209773e-19,2.0733546749750192e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0733546749750192e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.116344124339576e-06,1.4626624481961058e-20,1.3613221180823353e-20,0.0,2.115071518142524e-34,0.0,8.05295289121558e-22,0.0,3.920405805063586e-37,0.0,5.818359427050952e-35,0.0,2.0212654795949272e-63,2.0495247159896937e-21,6.741956517209773e-19,1.439539740726463e-20,1.332965825394286e-20,0.0,2.266678850697866e-25,0.0,8.254749921635298e-22,0.0,4.183554671170611e-28,0.0,6.124104780789724e-26,0.0,2.1397153106207306e-54,1.4626624481961058e-20,1.3613221180823353e-20,0.0,2.115071518142524e-34,0.0,8.05295289121558e-22,0.0,3.920405805063586e-37,0.0,5.818359427050952e-35,0.0,2.0212654795949272e-63
4.549263815011673e-06,2.1063776536908968e-20,1.9666678144971194e-20,0.0,3.0440847822673066e-34,0.0,1.1002579183776404e-21,0.0,5.668182194466902e-37,0.0,8.139270221721155e-35,0.0,3.124170986899674e-63,2.0495247159896937e-21,6.741956517209773e-19,2.0732357429319917e-20,1.926028812490213e-20,0.0,3.2630218792484046e-25,0.0,1.1290412780261507e-21,0.0,6.049684023846618e-28,0.0,8.568451091701e-26,0.0,3.307822667512063e-54,2.1063776536908968e-20,1.9666678144971194e-20,0.0,3.0440847822673066e-34,0.0,1.1002579183776404e-21,0.0,5.668182194466902e-37,0.0,8.139270221721155e-35,0.0,3.124170986899674e-63
5.027714067004763e-06,3.027226339510824e-20,2.835064494742835e-20,0.0,4.371448148757719e-34,0.0,1.499664492076141e-21,0.0,8.177912741197835e-37,0.0,1.1358786214045582e-34,0.0,4.8187587258420274e-63,2.0495247159896937e-21,6.741956517209773e-19,2.979933269315206e-20,2.7770667919577576e-20,0.0,4.687113551601923e-25,0.0,1.540644198060788e-21,0.0,8.730192960630922e-28,0.0,1.1960287161182727e-25,0.0,5.103115906260954e-54,3.027226339510824e-20,2.835064494742835e-20,0.0,4.371448148757719e-34,0.0,1.499664492076141e-21,0.0,8.177912741197835e-37,0.0,1.1358786214045582e-34,0.0,4.8187587258420274e-63
5.55648337125351e-06,4.341308318405154e-20,4.0776474396794535e-20,0.0,6.2630431468121985e-34,0.0,2.0389561694255397e-21,0.0,1.1772852935797942e-36,0.0,1.581339162517997e-34,0.0,7.416165499406396e-63,2.0495247159896937e-21,6.741956517209773e-19,4.2741322611329216e-20,3.995239842253339e-20,0.0,6.7174010571636055e-25,0.0,2.0971806219617897e-21,0.0,1.2571115563521281e-27,0.0,1.6655044902714462e-25,0.0,7.855806255054143e-54,4.341308318405154e-20,4.0776474396794535e-20,0.0,6.2630431468121985e-34,0.0,2.0389561694255397e-21,0.0,1.1772852935797942e-36,0.0,1.581339162517997e-34,0.0,7.416165499406396e-63
6.14086382868032e-06,6.211804964613251e-20,5.850969498227747e-20,0.0,8.951490120421942e-34,0.0,2.7649890337718167e-21,0.0,1.6909080463802942e-36,0.0,2.1960822774455554e-34,0.0,1.1387441956492737e-62,2.0495247159896937e-21,6.741956517209773e-19,6.116842438857707e-20,5.734413521517238e-20,0.0,9.604301402080462e-25,0.0,2.8475281488658734e-21,0.0,1.80609703543253e-27,0.0,2.3136559112058406e-25,0.0,1.2066099738475743e-53,6.211804964613251e-20,5.850969498227747e-20,0.0,8.951490120421942e-34,0.0,2.7649890337718167e-21,0.0,1.6909080463802942e-36,0.0,2.1960822774455554e-34,0.0,1.1387441956492737e-62
6.786704115320152e-06,8.86736816326268e-20,8.374866499693786e-20,0.0,1.2761960242881558e-33,0.0,3.7394868568822705e-21,0.0,2.422811086247731e-36,0.0,3.0421822656715757e-34,0.0,1.7443680068593662e-62,2.0495247159896937e-21,6.741956517209773e-19,8.733787755147102e-20,8.210791177408424e-20,0.0,1.3698121734932794e-24,0.0,3.8562059793994744e-21,0.0,2.5887355227086576e-27,0.0,3.206142525040426e-25,0.0,1.848954762372588e-53,8.86736816326268e-20,8.374866499693786e-20,0.0,1.2761960242881558e-33,0.0,3.7394868568822705e-21,0.0,2.422811086247731e-36,0.0,3.0421822656715757e-34,0.0,1.7443680068593662e-62
7.500468017836159e-06,1.2627399231958668e-19,1.1957065028575677e-19,0.0,1.8147538653700325e-33,0.0,5.043463342881787e-21,0.0,3.4629509811704815e-36,0.0,4.203556440640171e-34,0.0,2.66552125970165e-62,2.0495247159896937e-21,6.741956517209773e-19,1.244044855716088e-19,1.1727220683777287e-19,0.0,1.9487348728565036e-24,0.0,5.208076626457824e-21,0.0,3.701512242437115e-27,0.0,4.431792979778391e-25,0.0,2.826411215392192e-53,1.2627399231958668e-19,1.1957065028575677e-19,0.0,1.8147538653700325e-33,0.0,5.043463342881787e-21,0.0,3.4629509811704815e-36,0.0,4.203556440640171e-34,0.0,2.66552125970165e-62
8.289299125269003e-06,1.7936689313136608e-19,1.702698027702941e-19,0.0,2.5737491015646077e-33,0.0,6.782860043305515e-21,0.0,4.937070530757235e-36,0.0,5.793303507175769e-34,0.0,4.0628420326583225e-62,2.0495247159896937e-21,6.741956517209773e-19,1.7676400367876787e-19,1.6706606292324893e-19,0.0,2.7650962662226243e-24,0.0,7.014356777281359e-21,0.0,5.2793940926091576e-27,0.0,6.110414496744163e-25,0.0,4.309878767057551e-53,1.7936689313136608e-19,1.702698027702941e-19,0.0,2.5737491015646077e-33,0.0,6.782860043305515e-21,0.0,4.937070530757235e-36,0.0,5.793303507175769e-34,0.0,4.0628420326583225e-62
9.16109232447722e-06,2.5412741118796474e-19,2.4182004771503537e-19,0.0,3.640289273231439e-33,0.0,9.095700369634379e-21,0.0,7.020363809994192e-36,0.0,7.963396259731125e-34,0.0,6.176723533860466e-62,2.0495247159896937e-21,6.741956517209773e-19,2.5052254067236705e-19,2.3737707627822763e-19,0.0,3.912964215190089e-24,0.0,9.420265167752267e-21,0.0,7.510569689344524e-27,0.0,8.403117186121584e-25,0.0,6.555279773185893e-53,2.5412741118796474e-19,2.4182004771503537e-19,0.0,3.640289273231439e-33,0.0,9.095700369634379e-21,0.0,7.020363809994192e-36,0.0,7.963396259731125e-34,0.0,6.176723533860466e-62
1.0124572814818273e-05,3.591021845023445e-19,3.425070348740626e-19,0.0,5.134556866777813e-33,0.0,1.2161131920844061e-20,0.0,9.956122921789037e-36,0.0,1.0917445550853194e-33,0.0,9.36587935419739e-62,2.0495247159896937e-21,6.741956517209773e-19,3.54136258723347e-19,3.3637720597737763e-19,0.0,5.5222350136854465e-24,0.0,1.2614714065862325e-20,0.0,1.0656579957639427e-26,0.0,1.152592248436818e-24,0.0,9.944766992562177e-53,3.591021845023445e-19,3.425070348740626e-19,0.0,5.134556866777813e-33,0.0,1.2161131920844061e-20,0.0,9.956122921789037e-36,0.0,1.0917445550853194e-33,0.0,9.36587935419739e-62
