Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
7210682492.581602,3.282239523459103e-28,3.282239523459103e-28,4.703659484222067e-22
7969036590.278409,4.008932164440098e-28,4.008932164440098e-28,5.745056578732657e-22
8807147484.656418,4.896514943709424e-28,4.896514943709424e-28,7.017019541894836e-22
9733403271.245363,5.980608751768422e-28,5.980608751768422e-28,8.57059538892885e-22
10757074229.282751,7.304720791163112e-28,7.304720791163112e-28,1.0468132724243057e-21
11888405601.784307,8.921990524929375e-28,8.921990524929375e-28,1.2785783796908581e-21
13138720133.379635,1.0897322139824678e-27,1.0897322139824678e-27,1.5616560456374613e-21
14520531392.146166,1.3309989081433176e-27,1.3309989081433176e-27,1.9074066617121247e-21
16047669009.60444,1.6256815152866703e-27,1.6256815152866703e-27,2.3297056975453918e-21
17735417092.318657,1.9856059792144895e-27,1.9856059792144895e-27,2.84550048588453e-21
19600667190.37234,2.4252163381322126e-27,2.4252163381322126e-27,3.475490255499126e-21
21662087353.679028,2.9621542923293918e-27,2.9621542923293918e-27,4.244956688378726e-21
23940308968.10033,3.6179670529566015e-27,3.6179670529566015e-27,5.184778311779849e-21
26458133241.2901,4.4189718577905086e-27,4.4189718577905086e-27,6.332669403845977e-21
29240759404.844395,5.3973118177577534e-27,5.3973118177577534e-27,7.734693088092946e-21
32316036916.681,6.592245422927019e-27,6.592245422927019e-27,9.447109276352017e-21
35714744187.774864,8.051721376392464e-27,8.051721376392464e-27,1.1538631504053911e-20
39470896622.84005,9.834301673328497e-27,9.834301673328497e-27,1.4093182821505312e-20
43622087057.93311,1.2011510710807914e-26,1.2011510710807914e-26,1.7213262214374988e-20
48209862002.19177,1.467070345940814e-26,1.467070345940814e-26,2.1024054869414758e-20
53280137449.26255,1.7918568580507975e-26,1.7918568580507975e-26,2.567845235606708e-20
58883658419.9982,2.1885405618069148e-26,2.1885405618069148e-26,3.136318210058656e-20
65076506835.68224,2.673034876364892e-26,2.673034876364892e-26,3.830629335566128e-20
71920662804.74712,3.2647744516305875e-26,3.2647744516305875e-26,4.678629676453472e-20
79484624940.53145,3.98749330744406e-26,3.98749330744406e-26,5.714331553405381e-20
87844095918.42563,4.870171270723818e-26,4.870171270723818e-26,6.979264830723857e-20
97082740133.69171,5.948193082962406e-26,5.948193082962406e-26,8.524137978456202e-20
107293021042.85161,7.264763417028572e-26,7.264763417028572e-26,1.041086586533256e-19
118577126569.0381,8.872634475310978e-26,8.872634475310978e-26,1.271504549453066e-19
131047991833.07613,1.0836218223928196e-25,1.0836218223928196e-25,1.5528982949356186e-19
144830429446.13065,1.323416209480654e-25,1.323416209480654e-25,1.8965384501728404e-19
160062378676.27054,1.6162499668818814e-25,1.6162499668818814e-25,2.3161871709377627e-19
176896285991.02588,1.9738491983078516e-25,1.9738491983078516e-25,2.828648619679275e-19
195500630792.87442,2.410532188949112e-25,2.410532188949112e-25,3.4544416904265423e-19
216061611617.72928,2.943782601009694e-25,2.943782601009694e-25,4.2186214263505323e-19
238785009672.4698,3.5949498487662525e-25,3.5949498487662525e-25,5.151782692074324e-19
