Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
8.83942172583761e-06,2.990494632740886e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.990494632740886e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.990494632740886e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8600799761501774e-20,3.906670977120837e-18
9.769071824001754e-06,1.5701429027201476e-17,1.570078405842738e-17,0.0,2.9356505863410437e-34,0.0,2.831535216308982e-23,0.0,4.012946587264223e-38,0.0,1.5213778691041207e-33,0.0,4.918223953552898e-65,1.5701368299791712e-17,1.570072007572239e-17,0.0,3.652722715340005e-26,0.0,2.859134468736446e-23,0.0,5.055367155297955e-30,0.0,1.8878150306273052e-25,0.0,6.140987741518491e-57,1.5701429027201476e-17,1.570078405842738e-17,0.0,2.9356505863410437e-34,0.0,2.831535216308982e-23,0.0,4.012946587264223e-38,0.0,1.5213778691041207e-33,0.0,4.918223953552898e-65,1.8600799761501774e-20,3.906670977120837e-18
1.0796494076478977e-05,2.0784411916986332e-17,2.0783581429973988e-17,0.0,4.070465075768465e-34,0.0,3.736698936626054e-23,0.0,5.567079860427683e-38,0.0,2.0399684034520575e-33,0.0,7.293559677706633e-65,2.0784332557849058e-17,2.0783497801970704e-17,0.0,5.0647129170225473e-26,0.0,3.773743914247205e-23,0.0,7.013210914695156e-30,0.0,2.53131320055122e-25,0.0,9.106879048932376e-57,2.0784411916986332e-17,2.0783581429973988e-17,0.0,4.070465075768465e-34,0.0,3.736698936626054e-23,0.0,5.567079860427683e-38,0.0,2.0399684034520575e-33,0.0,7.293559677706633e-65,1.8600799761501774e-20,3.906670977120837e-18
1.1931971270500535e-05,2.7537357613348442e-17,2.7536289188221064e-17,0.0,5.6662187431934616e-34,0.0,4.9496081042831697e-23,0.0,7.753634756204404e-38,0.0,2.7460865890742375e-33,0.0,1.0858889532634202e-64,2.753725422437071e-17,2.7536180211975733e-17,0.0,7.050217901610713e-26,0.0,4.9995146008335175e-23,0.0,9.767758713763984e-30,0.0,3.407507163171713e-25,0.0,1.3558621899735662e-56,2.7537357613348442e-17,2.7536289188221064e-17,0.0,5.6662187431934616e-34,0.0,4.9496081042831697e-23,0.0,7.753634756204404e-38,0.0,2.7460865890742375e-33,0.0,1.0858889532634202e-64,1.8600799761501774e-20,3.906670977120837e-18
1.3186867643471347e-05,3.652857862048719e-17,3.652720633107882e-17,0.0,7.921969507503307e-34,0.0,6.583404968509446e-23,0.0,1.0846207366240943e-37,0.0,3.712701597107616e-33,0.0,1.6237786904466902e-64,3.652844435124374e-17,3.6527064762422247e-17,0.0,9.856908323035666e-26,0.0,6.650913797905232e-23,0.0,1.3663678411451365e-29,0.0,4.606941646730404e-25,0.0,2.0274823810436751e-56,3.652857862048719e-17,3.652720633107882e-17,0.0,7.921969507503307e-34,0.0,6.583404968509446e-23,0.0,1.0846207366240943e-37,0.0,3.712701597107616e-33,0.0,1.6237786904466902e-64,1.8600799761501774e-20,3.906670977120837e-18
1.4573742620077302e-05,4.853153595611673e-17,4.8529777312222243e-17,0.0,1.1128831967716643e-33,0.0,8.796563335562241e-23,0.0,1.5245131417705508e-37,0.0,5.0435536715365146e-33,0.0,2.4397756617837468e-64,4.8531362145201165e-17,4.852959398116572e-17,0.0,1.3846991501893153e-25,0.0,8.888296216194794e-23,0.0,1.9205298218008613e-29,0.0,6.2583441040601425e-25,0.0,3.0463533128575904e-56,4.853153595611673e-17,4.8529777312222243e-17,0.0,1.1128831967716643e-33,0.0,8.796563335562241e-23,0.0,1.5245131417705508e-37,0.0,5.0435536715365146e-33,0.0,2.4397756617837468e-64,1.8600799761501774e-20,3.906670977120837e-18
1.6106476511228992e-05,6.460475880717978e-17,6.460251110163074e-17,0.0,1.571557873838985e-33,0.0,1.1812602337931804e-22,0.0,2.1540357120440378e-37,0.0,6.887181110754427e-33,0.0,3.685041642964525e-64,6.460453453892266e-17,6.460227443491089e-17,0.0,1.9553947717965913e-25,0.0,1.193786954837554e-22,0.0,2.7135819714890116e-29,0.0,8.546030310032456e-25,0.0,4.601219056212409e-56,6.460475880717978e-17,6.460251110163074e-17,0.0,1.571557873838985e-33,0.0,1.1812602337931804e-22,0.0,2.1540357120440378e-37,0.0,6.887181110754427e-33,0.0,3.685041642964525e-64,1.8600799761501774e-20,3.906670977120837e-18
1.7800409432878825e-05,8.620537389048875e-17,8.620250683002845e-17,0.0,2.23182739376861e-33,0.0,1.5948978546799377e-22,0.0,3.0607517465029514e-37,0.0,9.457783089936109e-33,0.0,5.597439928417915e-64,8.620508544216932e-17,8.620220225260849e-17,0.0,2.776916642657198e-25,0.0,1.612096013423978e-22,0.0,3.8558339540847983e-29,0.0,1.1735792323943031e-24,0.0,6.989081298981274e-56,8.620537389048875e-17,8.620250683002845e-17,0.0,2.23182739376861e-33,0.0,1.5948978546799377e-22,0.0,3.0607517465029514e-37,0.0,9.457783089936109e-33,0.0,5.597439928417915e-64,1.8600799761501774e-20,3.906670977120837e-18
1.9672494835057066e-05,1.15351197776124e-16,1.1534754562283333e-16,0.0,3.188724568098155e-33,0.0,2.165964087814125e-22,0.0,4.3755586206265346e-37,0.0,1.3066419678876615e-32,0.0,8.553971577227696e-64,1.1535082791696672e-16,1.153471547946215e-16,0.0,3.9675038053471314e-25,0.0,2.1897125032519825e-22,0.0,5.512186492401733e-29,0.0,1.621361353164398e-24,0.0,1.0680672569347852e-55,1.15351197776124e-16,1.1534754562283333e-16,0.0,3.188724568098155e-33,0.0,2.165964087814125e-22,0.0,4.3755586206265346e-37,0.0,1.3066419678876615e-32,0.0,8.553971577227696e-64,1.8600799761501774e-20,3.906670977120837e-18
2.1741469177698483e-05,1.5485315164501156e-16,1.5484851661637613e-16,0.0,4.585231400264349e-33,0.0,2.9597974366231843e-22,0.0,6.2955073367245024e-37,0.0,1.816789439565839e-32,0.0,1.3156464321397106e-63,1.54852678723265e-16,1.5484801643259165e-16,0.0,5.705052427464388e-25,0.0,2.9927930621092324e-22,0.0,7.930878828152646e-29,0.0,2.2543843622940976e-24,0.0,1.6427449601767707e-55,1.5485315164501156e-16,1.5484851661637613e-16,0.0,4.585231400264349e-33,0.0,2.9597974366231843e-22,0.0,6.2955073367245024e-37,0.0,1.816789439565839e-32,0.0,1.3156464321397106e-63,1.8600799761501774e-20,3.906670977120837e-18
