Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
4424050632.911392,2.675311580824544e-30,2.675311580824544e-30,2.1763447152981227e-21
4889332099.587833,3.26736716442032e-30,3.26736716442032e-30,2.6579785742020446e-21
5403547645.278219,3.9904021112981314e-30,3.9904021112981314e-30,3.2461639305029194e-21
5971843711.997634,4.8733744112223474e-30,4.8733744112223474e-30,3.9644582742038064e-21
6599907997.792708,5.951636589628771e-30,5.951636589628771e-30,4.8416211745456314e-21
7294026381.135377,7.268344420050375e-30,7.268344420050375e-30,5.912760332272509e-21
8061145832.107379,8.876174509552211e-30,8.876174509552211e-30,7.220728930448507e-21
8908943940.011791,1.0839417828061319e-29,1.0839417828061319e-29,8.817828859738915e-21
9845905753.26731,1.3236530524018913e-29,1.3236530524018913e-29,1.0767886010117566e-20
10881408700.624733,1.6163240545226938e-29,1.6163240545226938e-29,1.3148777802883986e-20
12025816443.625774,1.9736329196853783e-29,1.9736329196853783e-29,1.6055509918450398e-20
13290582599.61112,2.4098231420206263e-29,2.4098231420206263e-29,1.960395924796515e-20
14688365373.37245,2.9422627934313443e-29,2.9422627934313443e-29,2.39354240065661e-20
16233154244.720581,3.592123717042247e-29,3.592123717042247e-29,2.922215028443637e-20
17940409979.901443,4.3852055901069545e-29,4.3852055901069545e-29,3.567403769714315e-20
19827219368.141182,5.352934536552174e-29,5.352934536552174e-29,4.35467658421041e-20
21912466231.975857,6.533569938821783e-29,6.533569938821783e-29,5.3151615765999534e-20
24217020422.894386,7.973644253073484e-29,7.973644253073484e-29,6.486718975371154e-20
26763946693.826897,9.729748033942856e-29,9.729748033942856e-29,7.91539392106074e-20
29578735538.944366,1.1870628081681594e-28,1.1870628081681594e-28,9.65712459308517e-20
32689558311.091927,1.447974579241278e-28,1.447974579241278e-28,1.1779825006114767e-19
36127549170.15689,1.7658289603387262e-28,1.7658289603387262e-28,1.436583817188947e-19
39927116684.20538,2.1528822519060993e-28,2.1528822519060993e-28,1.7514906625160037e-19
44126288201.99678,2.6239544175148765e-28,2.6239544175148765e-28,2.134764462328072e-19
48767090443.471405,3.196878712151341e-28,3.196878712151341e-28,2.600920616847943e-19
53895970117.28941,3.892712014745746e-28,3.892712014745746e-28,3.1671028565203915e-19
59564258775.10242,4.73627333591177e-28,4.73627333591177e-28,3.8535235854615777e-19
65828686554.975395,5.756788200725863e-28,5.756788200725863e-28,4.683990809870449e-19
72751949955.67621,6.988593320896074e-28,6.988593320896074e-28,5.686485233911675e-19
80403339324.30826,8.472243231020502e-28,8.472243231020502e-28,6.894063527734875e-19
88859432337.39354,1.0255482411365018e-27,1.0255482411365018e-27,8.345655127663559e-19
98204860415.99812,1.239487196790824e-27,1.239487196790824e-27,1.0087389940257631e-18
108533155745.43947,1.4957209419331163e-27,1.4957209419331163e-27,1.2173762046858342e-18
119947687376.8346,1.8021450540585787e-27,1.8021450540585787e-27,1.4669202296459188e-18
132562695779.30708,2.168103158989912e-27,2.168103158989912e-27,1.7649978574252448e-18
146504436196.9995,2.6046864411976e-27,2.6046864411976e-27,2.1206644491949474e-18
161912442253.99313,3.124574603250925e-27,3.124574603250925e-27,2.5442791346899868e-18
178940922453.71588,3.740531762285242e-27,3.740531762285242e-27,3.0462945428088248e-18
197760303549.47647,4.473133392752171e-27,4.473133392752171e-27,3.6435017903324145e-18
218558936232.69366,5.340055191203324e-27,5.340055191203324e-27,4.35038659810348e-18
241544980209.9229,6.3699449259681856e-27,6.3699449259681856e-27,5.190340642704469e-18
266948487535.1648,7.587390139925231e-27,7.587390139925231e-27,6.183527786210092e-18
295023705048.14355,9.031794165613835e-27,9.031794165613835e-27,7.362144286816852e-18
326051618962.1358,1.0737076655095637e-26,1.0737076655095637e-26,8.754029112911365e-18
360342767068.435,1.2759021958316333e-26,1.2759021958316333e-26,1.0404779306819788e-17
398240346702.9414,1.5143629161695788e-26,1.5143629161695788e-26,1.2352187878719153e-17
440123649580.4542,1.79689887440023e-26,1.79689887440023e-26,1.46601143437601e-17
486411857873.6351,2.1298644863596913e-26,2.1298644863596913e-26,1.7380804639149287e-17
537568239529.087,2.5235295300271136e-26,2.5235295300271136e-26,2.0598348973022182e-17
594104784808.6704,2.9865521415913897e-26,2.9865521415913897e-26,2.438400117391629e-17
656587330460.1332,3.5333546469054164e-26,3.5333546469054164e-26,2.8855899341631616e-17
725641222801.4645,4.175648149046639e-26,4.175648149046639e-26,3.4110522925925483e-17
801957576397.0298,4.932627557602449e-26,4.932627557602449e-26,4.030528575207398e-17
886300190964.4271,5.81967911644212e-26,5.81967911644212e-26,4.756714904936661e-17
979513195738.7773,6.862732731158547e-26,6.862732731158547e-26,5.61089586897543e-17
1082529497801.8357,8.082056228625558e-26,8.082056228625558e-26,6.609821826601523e-17
1196380118929.6252,9.512555974834841e-26,9.512555974834841e-26,7.782173902386498e-17
1322204514404.906,1.1180824058453733e-25,1.1180824058453733e-25,9.149965054470122e-17
1461261977068.6365,1.3133425730420413e-25,1.3133425730420413e-25,1.075149920665905e-16
1614944240745.9802,1.5405148351139096e-25,1.5405148351139096e-25,1.2615621279727607e-16
1784789409186.214,1.8058230166788182e-25,1.8058230166788182e-25,1.4793582421794342e-16
1972497349922.022,2.113819437732523e-25,2.113819437732523e-25,1.7323189060780178e-16
2179946707115.1023,2.472729535093275e-25,2.472729535093275e-25,2.027226034047197e-16
2409213703658.384,2.8881822407970633e-25,2.8881822407970633e-25,2.368769122074905e-16
2662592920712.5664,3.370694521716163e-25,3.370694521716163e-25,2.7656364071593465e-16
2942620262645.626,3.92725133335521e-25,3.92725133335521e-25,3.2236650882947097e-16
3252098337216.0713,4.571359151212632e-25,4.571359151212632e-25,3.7540340140019737e-16
3594124505013.3716,5.311462127755746e-25,5.311462127755746e-25,4.3638281415870587e-16
3972121878883.8125,6.164712292788238e-25,6.164712292788238e-25,5.067274153848301e-16
4389873583594.388,7.141077174717603e-25,7.141077174717603e-25,5.872777218918506e-16
4851560618617.041,8.262166697936594e-25,8.262166697936594e-25,6.79830384442733e-16
5361803702976.656,9.539462896156759e-25,9.539462896156759e-25,7.853596799370758e-16
5925709520960.115,1.0999944193535187e-24,1.0999944193535187e-24,9.06114433907542e-16
6548921831529.101,1.2656318316651184e-24,1.2656318316651184e-24,1.0431821466019885e-15
7237677952956.664,1.4541855740497462e-24,1.4541855740497462e-24,1.1993443310459265e-15
7998871188004.988,1.666958774242951e-24,1.666958774242951e-24,1.3757317921052901e-15
8840119814416.324,1.907955924798597e-24,1.907955924798597e-24,1.5757051037938668e-15
9769843331197.209,2.1783897525345402e-24,2.1783897525345402e-24,1.800341942000281e-15
10797346723794.469,2.4830742387865055e-24,2.4830742387865055e-24,2.053697651266676e-15
11932913591517.016,2.8229616324307044e-24,2.8229616324307044e-24,2.3366612170771715e-15
13187909069254.229,3.2037833318871546e-24,3.2037833318871546e-24,2.6540807821386344e-15
14574893573565.85,3.625974903039265e-24,3.625974903039265e-24,3.0064494970884543e-15
16107748511552.648,4.096321534497926e-24,4.096321534497926e-24,3.3995310988311366e-15
17801815210644.28,4.614395489513704e-24,4.614395489513704e-24,3.833138963497963e-15
19674048459760.76,5.188197273539988e-24,5.188197273539988e-24,4.314097207080226e-15
21743186198538.574,5.8159670558691726e-24,5.8159670558691726e-24,4.841150468827167e-15
24029937052928.617,6.507227721419649e-24,6.507227721419649e-24,5.422446930187706e-15
26557187594085.184,7.25838367787498e-24,7.25838367787498e-24,6.055235347044917e-15
29350231394862.31,8.080635824558279e-24,8.080635824558279e-24,6.749130342603539e-15
32437022176392.66,8.96761785932946e-24,8.96761785932946e-24,7.499094417578252e-15
35848453578324.01,9.932477665582429e-24,9.932477665582429e-24,8.316443045705316e-15
39618668352748.56,1.0964969449035383e-23,1.0964969449035383e-23,9.19290037908241e-15
43785400076341.805,1.2080501082662595e-23,1.2080501082662595e-23,1.0141753048109419e-14
48390350800680.18,1.3263491289878435e-23,1.3263491289878435e-23,1.1150225360348802e-14
53479608420390.34,1.4531916626963094e-23,1.4531916626963094e-23,1.223384296814234e-14
59104107936288.914,1.586300922623354e-23,1.586300922623354e-23,1.3373712105689569e-14
65320141229990.68,1.7277751697861948e-23,1.7277751697861948e-23,1.4587972727510202e-14
72189920451979.73,1.8744074827115994e-23,1.8744074827115994e-23,1.584973577149158e-14
79782200661722.39,2.0286678619439205e-23,2.0286678619439205e-23,1.7180361070243716e-14
88172967951411.25,2.186177899827101e-23,2.186177899827101e-23,1.85427933822943e-14
97446199940315.8,2.349879396140543e-23,2.349879396140543e-23,1.9962471316518985e-14
107694706251022.06,2.5139658722114076e-23,2.5139658722114076e-23,2.1389825949573086e-14
119021057379329.22,2.682000686102516e-23,2.682000686102516e-23,2.285567211700367e-14
131538611254247.55,2.846504092669788e-23,2.846504092669788e-23,2.4295626343745975e-14
145372647762252.44,3.011878914610734e-23,3.011878914610734e-23,2.5747790372117337e-14
160661622590496.2,3.168774894484977e-23,3.168774894484977e-23,2.7131029673471117e-14
177558552937862.12,3.322738924731482e-23,3.322738924731482e-23,2.849343825037646e-14
196232548962520.53,3.4624467082888005e-23,3.4624467082888005e-23,2.973596707306566e-14
216870506293233.2,3.5949794892887424e-23,3.5949794892887424e-23,3.092022366031594e-14
239678976543622.94,3.7070585660181515e-23,3.7070585660181515e-23,3.192914618166297e-14
264886234550147.28,3.8077290746575896e-23,3.8077290746575896e-23,3.284182832202012e-14
292744563023388.0,3.881898775149022e-23,3.881898775149022e-23,3.3524208418727664e-14
323532777478211.94,3.940955279871688e-23,3.940955279871688e-23,3.407653027010475e-14
357559016713159.56,3.968235316531513e-23,3.968235316531513e-23,3.434975807943915e-14
395163826767108.25,3.9777018823884854e-23,3.9777018823884854e-23,3.446778230086892e-14
436723569218491.0,3.9514649093469515e-23,3.9514649093469515e-23,3.4269679224025456e-14
482654187938474.06,3.90610552729162e-23,3.90610552729162e-23,3.390379318314688e-14
533415371997019.4,3.822993062068321e-23,3.822993062068321e-23,3.3201809699828614e-14
589515156385608.8,3.7211970455116734e-23,3.7211970455116734e-23,3.2335572718893506e-14
651515006602192.0,3.582009540671496e-23,3.582009540671496e-23,3.11355604782326e-14
720035437986605.9,3.426719747614676e-23,3.426719747614676e-23,2.979445488947047e-14
795762226046659.4,3.237346137994547e-23,3.237346137994547e-23,2.8149039097592492e-14
879453269929907.4,3.036918201295582e-23,3.036918201295582e-23,2.6407759687228018e-14
971946177733065.8,2.8089352522139196e-23,2.8089352522139196e-23,2.442088961629568e-14
1074166649565368.5,2.5772990341779864e-23,2.5772990341779864e-23,2.240379648909173e-14
1187137742266400.2,2.3274898058136898e-23,2.3274898058136898e-23,2.022525710218979e-14
1311990108502810.8,2.0828781121201256e-23,2.0828781121201256e-23,1.8094118199955327e-14
1449973312720219.8,1.8311297033335783e-23,1.8311297033335783e-23,1.589995076589167e-14
1602468337204192.8,1.5932557188529e-23,1.5932557188529e-23,1.3828509825446754e-14
1771001403415113.5,1.3591707687869484e-23,1.3591707687869484e-23,1.1790781566838644e-14
1957259246925540.5,1.1457074763932124e-23,1.1457074763932124e-23,9.933788255071675e-15
2163105998836753.5,9.45040230163085e-24,9.45040230163085e-24,8.189533676869976e-15
2390601842629354.5,7.68594884030727e-24,7.68594884030727e-24,6.656529999417496e-15
2642023633172018.0,6.1060653183442074e-24,6.1060653183442074e-24,5.285276300628151e-15
2919887684250276.0,4.769426269286913e-24,4.769426269286913e-24,4.125568994100803e-15
3226974952680653.0,3.633625865240791e-24,3.633625865240791e-24,3.1411095378796783e-15
3566358871061202.0,2.7123137091052467e-24,2.7123137091052467e-24,2.3428886175474586e-15
3941436107717937.5,1.9718460863098985e-24,1.9718460863098985e-24,1.7019482406293346e-15
4355960561703138.5,1.398940917896623e-24,1.398940917896623e-24,1.2063422071665666e-15
4814080933078770.0,9.64821161867138e-25,9.64821161867138e-25,8.311391645723698e-16
5320382244501133.0,6.466303953660208e-25,6.466303953660208e-25,5.563661042684995e-16
5879931729668699.0,4.202174077133421e-25,4.202174077133421e-25,3.610509636970549e-16
6498329547900085.0,2.642470085036158e-25,2.642470085036158e-25,2.2666377067963816e-16
7181764832410843.0,1.6057086065595682e-25,1.6057086065595682e-25,1.3746005352721938e-16
7937077633238887.0,9.396938019718108e-26,9.396938019718108e-26,8.025671485775881e-17
8771827374764307.0,5.289024460246956e-26,5.289024460246956e-26,4.50487130279961e-17
9694368512969382.0,2.8503797355336205e-26,2.8503797355336205e-26,2.4202367523388786e-17
1.0713934149642018e+16,1.4678397584645267e-26,1.4678397584645267e-26,1.2420262620727978e-17
1.1840728440361898e+16,7.184075001966517e-27,7.184075001966517e-27,6.0563105801685e-18
1.3086028721119184e+16,3.3309572672345066e-27,3.3309572672345066e-27,2.7972716234044725e-18
1.4462298375683578e+16,1.4537367527786146e-27,1.4537367527786146e-27,1.2161346105559912e-18
