Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
4.249022662236703e-06,5.350983515369057e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.350983515369057e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.350983515369057e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2794879350363726e-23,2.3066923596251413e-19
4.69589627654836e-06,1.3351637930003122e-18,1.3332570513897386e-18,0.0,9.228948336841807e-34,0.0,1.2778225092983802e-21,0.0,4.761777189246999e-37,0.0,1.3999326757249295e-33,0.0,8.102104864842466e-64,1.3348440820400237e-18,1.3329018503369131e-18,0.0,7.595354031659076e-25,0.0,1.302614390425084e-21,0.0,3.996090116377671e-28,0.0,1.1266626382560206e-24,0.0,6.573664916314952e-55,1.3351637930003122e-18,1.3332570513897386e-18,0.0,9.228948336841807e-34,0.0,1.2778225092983802e-21,0.0,4.761777189246999e-37,0.0,1.3999326757249295e-33,0.0,8.102104864842466e-64,4.2794879350363726e-23,2.3066923596251413e-19
5.189767999140974e-06,1.7872713817853043e-18,1.7848489133535815e-18,0.0,1.2436233022814294e-33,0.0,1.6285071980934707e-21,0.0,6.432731106393733e-37,0.0,1.827721216295397e-33,0.0,1.170082336261549e-63,1.7868491372156587e-18,1.7843805139793172e-18,0.0,1.0235107453860376e-24,0.0,1.660807324297686e-21,0.0,5.398388981643808e-28,0.0,1.4709548933682895e-24,0.0,9.493553399283414e-55,1.7872713817853043e-18,1.7848489133535815e-18,0.0,1.2436233022814294e-33,0.0,1.6285071980934707e-21,0.0,6.432731106393733e-37,0.0,1.827721216295397e-33,0.0,1.170082336261549e-63,4.2794879350363726e-23,2.3066923596251413e-19
5.735580664210234e-06,2.3909738877843935e-18,2.3878946538389535e-18,0.0,1.6758188183292775e-33,0.0,2.0748380410804406e-21,0.0,8.690264770184929e-37,0.0,2.3862745035458936e-33,0.0,1.6898690554819e-63,2.3904157712433532e-18,2.387276507976667e-18,0.0,1.3792339277699522e-24,0.0,2.1169074232686946e-21,0.0,7.292968568916786e-28,0.0,1.9204913244614395e-24,0.0,1.3710964286117635e-54,2.3909738877843935e-18,2.3878946538389535e-18,0.0,1.6758188183292775e-33,0.0,2.0748380410804406e-21,0.0,8.690264770184929e-37,0.0,2.3862745035458936e-33,0.0,1.6898690554819e-63,4.2794879350363726e-23,2.3066923596251413e-19
6.3387969483621664e-06,3.196519323212614e-18,3.1926036779598944e-18,0.0,2.2582765917056063e-33,0.0,2.6427841443415896e-21,0.0,1.1740555599632575e-36,0.0,3.11566020580718e-33,0.0,2.440721063324065e-63,3.1957810974394365e-18,3.191787374056115e-18,0.0,1.8586382360563056e-24,0.0,2.697562016163285e-21,0.0,9.852867187162736e-28,0.0,2.5075204883868837e-24,0.0,1.9803210249020253e-54,3.196519323212614e-18,3.1926036779598944e-18,0.0,2.2582765917056063e-33,0.0,2.6427841443415896e-21,0.0,1.1740555599632575e-36,0.0,3.11566020580718e-33,0.0,2.440721063324065e-63,4.2794879350363726e-23,2.3066923596251413e-19
7.005454042916539e-06,4.270588822177633e-18,4.26560823484398e-18,0.0,3.043339071448966e-33,0.0,3.365350305939611e-21,0.0,1.5862409858996874e-36,0.0,4.0682918368148495e-33,0.0,3.5255199625525833e-63,4.2696118127706645e-18,4.264529673189912e-18,0.0,2.5048082015399456e-24,0.0,3.436657255897768e-21,0.0,1.331208276498706e-27,0.0,3.274227758476425e-24,0.0,2.8605075266715805e-54,4.270588822177633e-18,4.26560823484398e-18,0.0,3.043339071448966e-33,0.0,3.365350305939611e-21,0.0,1.5862409858996874e-36,0.0,4.0682918368148495e-33,0.0,3.5255199625525833e-63,4.2794879350363726e-23,2.3066923596251413e-19
7.742224076146813e-06,5.701590146573233e-18,5.695254378039596e-18,0.0,4.1016578851070376e-33,0.0,4.28449095833101e-21,0.0,2.1432967260612803e-36,0.0,5.3127732423555095e-33,0.0,5.093087115953847e-63,5.700296583820765e-18,5.693828742771486e-18,0.0,3.375899303613119e-24,0.0,4.377293112890453e-21,0.0,1.798715031031362e-27,0.0,4.275829739203646e-24,0.0,4.1324108091758494e-54,5.701590146573233e-18,5.695254378039596e-18,0.0,4.1016578851070376e-33,0.0,4.28449095833101e-21,0.0,2.1432967260612803e-36,0.0,5.3127732423555095e-33,0.0,5.093087115953847e-63,4.2794879350363726e-23,2.3066923596251413e-19
8.556480890182568e-06,7.606629328107352e-18,7.598570465879153e-18,0.0,5.5286497288236514e-33,0.0,5.453553664752902e-21,0.0,2.8962593956952743e-36,0.0,6.938961899636072e-33,0.0,7.358796930760391e-63,7.604916233325513e-18,7.59668563450373e-18,0.0,4.550451976691401e-24,0.0,5.574306513174305e-21,0.0,2.4306433906799037e-27,0.0,5.584649743209168e-24,0.0,5.970788765110698e-54,7.606629328107352e-18,7.598570465879153e-18,0.0,5.5286497288236514e-33,0.0,5.453553664752902e-21,0.0,2.8962593956952743e-36,0.0,6.938961899636072e-33,0.0,7.358796930760391e-63,4.2794879350363726e-23,2.3066923596251413e-19
9.456373840899783e-06,1.0140684380260141e-17,1.013043718315882e-17,0.0,7.453259089669503e-33,0.0,6.94040149517954e-21,0.0,3.914228859773672e-36,0.0,9.064647983405079e-33,0.0,1.063450986670343e-62,1.0138415571280973e-17,1.0127945118249984e-17,0.0,6.1346043602947335e-24,0.0,7.097497713663832e-21,0.0,3.284992552774176e-27,0.0,7.295493872475812e-24,0.0,8.628691587626715e-54,1.0140684380260141e-17,1.013043718315882e-17,0.0,7.453259089669503e-33,0.0,6.94040149517954e-21,0.0,3.914228859773672e-36,0.0,9.064647983405079e-33,0.0,1.063450986670343e-62,4.2794879350363726e-23,2.3066923596251413e-19
1.0450909359413765e-05,1.3508666789682594e-17,1.3495644888167515e-17,0.0,1.0049867123839421e-32,0.0,8.831406442698522e-21,0.0,5.2908142184801157e-36,0.0,1.184438008452234e-32,0.0,1.537208376681301e-62,1.3505662472675539e-17,1.3492350440117149e-17,0.0,8.271894585301739e-24,0.0,9.035759666500329e-21,0.0,4.4403364872201146e-27,0.0,9.532755067456034e-24,0.0,1.247276974870787e-53,1.3508666789682594e-17,1.3495644888167515e-17,0.0,1.0049867123839421e-32,0.0,8.831406442698522e-21,0.0,5.2908142184801157e-36,0.0,1.184438008452234e-32,0.0,1.537208376681301e-62,4.2794879350363726e-23,2.3066923596251413e-19
