Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
4.017603365937648e-06,1.049036113462327e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.364931079265731e-21,1.9276625233319918e-19,1.049036113462327e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.049036113462327e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.440138400397113e-06,8.903040915506914e-20,7.354505177161255e-20,0.0,4.063192730350226e-33,0.0,1.4788752585267614e-20,0.0,4.212686217714933e-36,0.0,1.0531868534952087e-33,0.0,3.032341173059074e-63,1.364931079265731e-21,1.9276625233319918e-19,8.781041371244189e-20,7.207223910303348e-20,0.0,6.046749977776803e-24,0.0,1.5042786328253944e-20,0.0,6.415544458602633e-27,0.0,1.4733152297671117e-24,0.0,4.3126386544572764e-54,8.903040915506914e-20,7.354505177161255e-20,0.0,4.063192730350226e-33,0.0,1.4788752585267614e-20,0.0,4.212686217714933e-36,0.0,1.0531868534952087e-33,0.0,3.032341173059074e-63
4.907111832349823e-06,1.3097725653283117e-19,1.09333892499418e-19,0.0,6.028902742521538e-33,0.0,2.064102296454647e-20,0.0,6.264712239972586e-36,0.0,1.5409727952859382e-33,0.0,4.821610774213741e-63,1.364931079265731e-21,1.9276625233319918e-19,1.291022793065439e-19,1.0709475104000805e-19,0.0,8.968608948744015e-24,0.0,2.100649015683194e-20,0.0,9.536207576213197e-27,0.0,2.1546983315289865e-24,0.0,6.854230382436065e-54,1.3097725653283117e-19,1.09333892499418e-19,0.0,6.028902742521538e-33,0.0,2.064102296454647e-20,0.0,6.264712239972586e-36,0.0,1.5409727952859382e-33,0.0,4.821610774213741e-63
5.423197288857915e-06,1.9264827809116704e-19,1.624348500861318e-19,0.0,8.939591066668465e-33,0.0,2.8778526698316333e-20,0.0,9.310145221507149e-36,0.0,2.2510438096487986e-33,0.0,7.662012146214445e-63,1.364931079265731e-21,1.9276625233319918e-19,1.8977411127127057e-19,1.5903560425640652e-19,0.0,1.3293523383388627e-23,0.0,2.930433782312884e-20,0.0,1.416564112780394e-26,0.0,3.146152913825427e-24,0.0,1.0887157130392672e-53,1.9264827809116704e-19,1.624348500861318e-19,0.0,8.939591066668465e-33,0.0,2.8778526698316333e-20,0.0,9.310145221507149e-36,0.0,2.2510438096487986e-33,0.0,7.662012146214445e-63
5.993559926632474e-06,2.83257951277101e-19,2.411450877515701e-19,0.0,1.3244960506098646e-32,0.0,4.007597543684355e-20,0.0,1.3824739353185376e-35,0.0,3.282543687184752e-33,0.0,1.2166856862296504e-62,1.364931079265731e-21,1.9276625233319918e-19,2.788643001752503e-19,2.359933077288212e-19,0.0,1.9688535820886517e-23,0.0,4.0832500675266354e-20,0.0,2.1025656482113348e-26,0.0,4.5858020170055316e-24,0.0,1.728066090765936e-53,2.83257951277101e-19,2.411450877515701e-19,0.0,1.3244960506098646e-32,0.0,4.007597543684355e-20,0.0,1.3824739353185376e-35,0.0,3.282543687184752e-33,0.0,1.2166856862296504e-62
6.623908126657832e-06,4.1627030154490233e-19,3.576828884590058e-19,0.0,1.960537560235657e-32,0.0,5.573273124565162e-20,0.0,2.05080720147599e-35,0.0,4.777590608272414e-33,0.0,1.930368884294631e-62,1.364931079265731e-21,1.9276625233319918e-19,4.0957394570603816e-19,3.498901797401041e-19,0.0,2.9132944584826393e-23,0.0,5.682118667984117e-20,0.0,3.1177455879274227e-26,0.0,6.671585552205768e-24,0.0,2.7405628909786814e-53,4.1627030154490233e-19,3.576828884590058e-19,0.0,1.960537560235657e-32,0.0,5.573273124565162e-20,0.0,2.05080720147599e-35,0.0,4.777590608272414e-33,0.0,1.930368884294631e-62
7.320550625587164e-06,6.113147408136309e-19,5.299988183204033e-19,0.0,2.8988097594182043e-32,0.0,7.738738025308285e-20,0.0,3.0385947701911815e-35,0.0,6.939157970482403e-33,0.0,3.059572484879623e-62,1.364931079265731e-21,1.9276625233319918e-19,6.011420588977154e-19,5.182380356678968e-19,0.0,4.3060927109352296e-23,0.0,7.895328775371822e-20,0.0,4.617695085288531e-26,0.0,9.686145508234697e-24,0.0,4.341975238017917e-53,6.113147408136309e-19,5.299988183204033e-19,0.0,2.8988097594182043e-32,0.0,7.738738025308285e-20,0.0,3.0385947701911815e-35,0.0,6.939157970482403e-33,0.0,3.059572484879623e-62
8.090459655699434e-06,8.969358048798825e-19,7.843936053643153e-19,0.0,4.2805721886675496e-32,0.0,1.0726921942131583e-19,0.0,4.4957505570224897e-35,0.0,1.0055964554249732e-32,0.0,4.843516980963486e-62,1.364931079265731e-21,1.9276625233319918e-19,8.815366987332735e-19,7.666908047386549e-19,0.0,6.356675886357494e-23,0.0,1.0952167834004295e-19,0.0,6.82980237428346e-26,0.0,1.4031476880543214e-23,0.0,6.871109906152938e-53,8.969358048798825e-19,7.843936053643153e-19,0.0,4.2805721886675496e-32,0.0,1.0726921942131583e-19,0.0,4.4957505570224897e-35,0.0,1.0055964554249732e-32,0.0,4.843516980963486e-62
8.941340725343311e-06,1.3145309027296117e-18,1.1592820225556695e-18,0.0,6.311407063255289e-32,0.0,1.4839636083122265e-19,0.0,6.640486406024469e-35,0.0,1.4536886247993695e-32,0.0,7.656832505409034e-62,1.364931079265731e-21,1.9276625233319918e-19,1.291308327408926e-18,1.1327159376799687e-18,0.0,9.369828608821144e-23,0.0,1.5163557905335015e-19,0.0,1.0085099977277994e-25,0.0,2.0276860283728877e-23,0.0,1.0858507031828776e-52,1.3145309027296117e-18,1.1592820225556695e-18,0.0,6.311407063255289e-32,0.0,1.4839636083122265e-19,0.0,6.640486406024469e-35,0.0,1.4536886247993695e-32,0.0,7.656832505409034e-62
9.881709738254859e-06,1.9239680084762046e-18,1.7105696203567543e-18,0.0,9.28929154018747e-32,0.0,2.0483127726788247e-19,0.0,9.788901343887728e-35,0.0,2.0958149406789192e-32,0.0,1.2084261186777709e-61,1.364931079265731e-21,1.9276625233319918e-19,1.8890884757820323e-18,1.6708421359691885e-18,0.0,1.3787348365507737e-22,0.0,2.0948778141497814e-19,0.0,1.4863274006650285e-25,0.0,2.922465305356901e-23,0.0,1.7132271087229013e-52,1.9239680084762046e-18,1.7105696203567543e-18,0.0,9.28929154018747e-32,0.0,2.0483127726788247e-19,0.0,9.788901343887728e-35,0.0,2.0958149406789192e-32,0.0,1.2084261186777709e-61
