Energy,Flux Value,Flux Error,Is Upper Limit
1.5095185772444614e-06,9.53e-16,1.86e-16,0.0
5.7899342688828654e-06,7.1175e-15,2.136e-16,0.0
5.7899342688828654e-06,7.12e-15,2.14e-16,0.0
6.203501002374499e-06,7.395e-15,0.0,0.0
6.203501002374499e-06,7.35e-15,0.0,0.0
9.512034870307564e-06,8.625e-15,0.0,0.0
9.512034870307564e-06,1.61e-15,0.0,0.0
9.512034870307564e-06,4.6e-15,0.0,0.0
9.512034870307564e-06,4.6e-15,0.0,0.0
9.512034870307564e-06,1.265e-14,0.0,0.0
1.2407002004748997e-05,5.4e-15,0.0,0.0
1.2407002004748997e-05,5.55e-15,0.0,0.0
2.0057986574344214e-05,2.5074e-14,1.4065e-15,0.0
2.0057986574344214e-05,2.51e-14,1.41e-15,0.0
2.4814004009497995e-05,3.12e-14,0.0,0.0
2.4814004009497995e-05,3.102e-14,0.0,0.0
3.473960561329719e-05,3.88e-14,0.0,0.0
3.473960561329719e-05,3.8825e-14,0.0,0.0
3.473960561329719e-05,2.52e-14,0.0,0.0
3.473960561329719e-05,2.016e-14,0.0,0.0
3.473960561329719e-05,1.76e-14,5.04e-16,0.0
3.556673908028046e-05,2.3048e-14,0.0,0.0
3.556673908028046e-05,3.6464e-14,0.0,0.0
3.556673908028046e-05,2.58e-14,0.0,0.0
4.962800801899599e-05,3.552e-14,0.0,0.0
6.203501002374499e-05,5.14e-14,1.2e-15,0.0
6.203501002374499e-05,5.325e-14,9e-16,0.0
8.229977996483502e-05,1.08e-13,5.37e-15,0.0
8.271334669832664e-05,1.088e-13,5.4e-15,0.0
0.00041356673349163324,3.5876e-13,0.0,0.0
0.0005914004288930355,3.3381e-13,6.7712e-14,0.0
0.05636914577490961,3.537e-13,1.3381e-13,0.0
0.10330897002620998,2.4339e-13,3.427e-14,0.0
0.10330897002620998,3.854e-13,2.8633e-14,0.0
0.2695214402164974,5.1404e-13,1.7423e-14,0.0
0.2695214402164974,2.1707e-13,1.1085e-14,0.0
0.36464178891957305,1.7492e-13,9.2409e-15,0.0
0.36464178891957305,4.3055e-13,1.4593e-14,0.0
1.9354923127408437,3.65e-14,0.0,0.0
2.2415316955246523,2.16e-13,7.77e-14,0.0
1000.0043615827692,6.2156e-14,2.0719e-14,0.0
1000.0043615827692,5.594e-14,1.7265e-14,0.0
1129.988597057414,5.13477393261e-14,1.01818282908e-14,0.0
1413.984661807894,7.4997e-14,2.0466e-14,0.0
1434.9854898642286,5.96736612933e-14,2.9092440275e-14,0.0
1732.01747986296,7.2165e-14,1.2756e-14,0.0
1769.982080468664,6.70795749008e-14,2.03678615721e-14,0.0
2000.0087231655384,6.5376e-14,1.7472e-14,0.0
2000.0087231655384,7.7315e-14,2.184e-14,0.0
2000.0087231655384,3.9313e-14,1.456e-14,0.0
2244.977300515657,7.71890517524e-14,3.98744231765e-14,0.0
2729.9724098932725,8.66421716302e-14,6.41006126355e-14,0.0
3369.965923106141,9.76588696225e-14,5.21941516949e-14,0.0
4459.954933022906,1.14446267708e-13,5.26792273577e-14,0.0
4470.656389044555,1.0744e-13,2.735e-14,0.0
6379.935591880394,1.40105888776e-13,6.15606221522e-14,0.0
69151244.4332,4.94316282944e-12,1.73200619015e-12,1.0
91854407.4725,3.98216173695e-12,1.3586851595e-12,1.0
100083149.50497523,5.217e-11,2.2473e-11,0.0
100083149.50497523,3.9864e-11,2.1938e-11,0.0
100083149.50497523,8.5345e-11,2.8627e-11,0.0
100083149.50497523,5.4846e-11,1.3645e-11,0.0
100083149.50497523,2.9162e-11,9.0964e-12,0.0
100083149.50497523,6.5547e-11,1.8728e-11,0.0
100083149.50497523,1.2815e-10,4.3609e-11,0.0
100083149.50497523,4.3074e-11,2.0066e-11,0.0
122011284.703,6.51924787677e-12,1.18227935956e-12,0.0
162069017.748,3.50037200491e-12,1.03761492206e-12,0.0
200166299.00995046,3.4863e-12,9.5268e-13,0.0
215278173.472,3.80469779035e-12,9.12465683109e-13,1.0
285956517.893,2.79204768846e-12,8.56965254414e-13,0.0
379835017.117,1.85440693247e-12,7.26546977529e-13,1.0
504533490.93600005,2.11408264226e-12,6.5364195622e-13,1.0
600498897.0298514,1.6054e-12,5.1843e-13,0.0
670177742.133,2.36679566394e-12,5.89042054912e-13,1.0
890204940.048,2.04944882456e-12,5.15046383613e-13,1.0
1182469642.6999998,8.92814499837e-13,4.40829692176e-13,1.0
1570688268.51,1.65403079941e-12,4.39729135703e-13,1.0
2001662990.099505,1.0984e-12,3.5533e-13,0.0
2086363613.7100003,1.01711172196e-12,3.92072802291e-13,1.0
2771341211.29,1.15534378907e-12,3.63780469959e-13,1.0
3681204972.5699997,1.36169287862e-12,3.81158210144e-13,1.0
4889787657.650001,5.19119248572e-13,2.50466996226e-13,1.0
6004988970.298514,5.0025e-13,2.7713e-13,0.0
6495087408.139999,2.77991437265e-13,1.05410269916e-13,1.0
8627401309.22,1.01875802046e-12,3.26995032427e-13,1.0
11459878152.3,4.76143242994e-13,1.82021830765e-13,1.0
15222290300.3,4.66244923585e-13,1.7270542915e-13,1.0
20219946399.600002,1.45709300458e-12,4.15540685305e-13,1.0
26858391499.5,2.37199030977e-12,6.78129029789e-13,1.0
35676315836.0,9.38113823802e-13,3.46780683669e-13,1.0
47389267955.700005,1.21965416653e-12,4.50801812429e-13,1.0
60049889702.985146,1.3633e-13,9.5965e-14,0.0
62947719369.4,1.66410181591e-12,6.15165712454e-13,1.0
83614192511.1,2.15520997795e-12,7.96592261653e-13,1.0
111064432025.0,2.87003263212e-12,1.0607972283e-12,1.0
147526486720.0,8.82122522555e-12,3.5439363618e-12,1.0
195961159271.0,5.1370834352e-12,1.89872900679e-12,1.0
260297501802.0,9.17691758735e-12,3.5128809302e-12,1.0
