Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
2970930232.55814,5.0143058136569495e-30,5.0143058136569495e-30,6.030707702068245e-21
3283385692.654977,6.1240535591644046e-30,6.1240535591644046e-30,7.365411630860702e-21
3628702380.3479466,7.479334342673202e-30,7.479334342673202e-30,8.995424289846233e-21
4010336341.112428,9.134442997904117e-30,9.134442997904117e-30,1.0986048988348186e-20
4432107095.899356,1.1155668124910641e-29,1.1155668124910641e-29,1.341701522337618e-20
4898235868.184684,1.3623936152748903e-29,1.3623936152748903e-29,1.638565924859442e-20
5413387831.392734,1.663803594053331e-29,1.663803594053331e-29,2.0010803096190768e-20
5982718799.519847,2.0318550336139478e-29,2.0318550336139478e-29,2.443748420013536e-20
6611926828.253786,2.4812648172972357e-29,2.4812648172972357e-29,2.984272036136051e-20
7307309243.030241,3.029992282879099e-29,3.029992282879099e-29,3.6442534121474103e-20
8075825664.782396,3.699950275372231e-29,3.699950275372231e-29,4.4500507951979086e-20
8925167664.16644,4.517870651206998e-29,4.517870651206998e-29,5.433819849422592e-20
9863835741.385908,5.516357125043019e-29,5.516357125043019e-29,6.634780607453042e-20
10901224402.05485,6.735165063339714e-29,6.735165063339714e-29,8.100757673535199e-20
12047716180.567612,8.222755783911748e-29,8.222755783911748e-29,9.890051010158245e-20
13314785551.992739,1.0038182292538193e-28,1.0038182292538193e-28,1.2073705969104338e-19
14715113772.476185,1.2253371921491255e-28,1.2253371921491255e-28,1.473826163979005e-19
16262715797.515116,1.4955860678907275e-28,1.4955860678907275e-28,1.7989044527341138e-19
17973080548.343117,1.8252171937979943e-28,1.8252171937979943e-28,2.195423712096485e-19
19863325930.259926,2.227181393315917e-28,2.227181393315917e-28,2.6789695150953656e-19
21952370154.38118,2.7172154361328564e-28,2.7172154361328564e-28,3.2684821911498946e-19
24261121077.4539,3.3144193643858534e-28,3.3144193643858534e-28,3.9869530432467985e-19
26812685454.71417,4.041956538104725e-28,4.041956538104725e-28,4.862268689257341e-19
29632600200.060024,4.927877378165628e-28,4.927877378165628e-28,5.928205457072842e-19
32749087968.06896,6.006016025746562e-28,6.006016025746562e-28,7.2255152420242215e-19
36193339615.810905,7.316561543369278e-28,7.316561543369278e-28,8.802635701720567e-19
39999826371.42945,8.907184788193843e-28,8.907184788193843e-28,1.0717061956927579e-18
44206644833.77919,1.08343752447828e-27,1.08343752447828e-27,1.3036974525556527e-18
48855898255.99184,1.316495394661687e-27,1.316495394661687e-27,1.5843086962111377e-18
53994117928.98493,1.5978271223325073e-27,1.5978271223325073e-27,1.9231312018114347e-18
59672728882.26104,1.93683140522332e-27,1.93683140522332e-27,2.331534016128395e-18
65948564562.88766,2.3446925076814648e-27,2.3446925076814648e-27,2.8230544699331266e-18
72884435643.73767,2.834685581883316e-27,2.834685581883316e-27,3.4137718649247047e-18
80549758653.81503,3.42257601260684e-27,3.42257601260684e-27,4.122794633262158e-18
89021250722.20862,4.127099869334176e-27,4.127099869334176e-27,4.9728466010526604e-18
98383697388.90565,4.970572569644212e-27,4.970572569644212e-27,5.991008262146781e-18
108730801166.97357,5.978820408035097e-27,5.978820408035097e-27,7.208667611533106e-18
120166119348.8049,7.179080872778452e-27,7.179080872778452e-27,8.659089860227259e-18
132804100442.30656,8.612108464531335e-27,8.612108464531335e-27,1.0391690450701333e-17
146771229610.03445,1.031593181534095e-26,1.031593181534095e-26,1.2452994669827563e-17
162207294575.2134,1.2347808982554581e-26,1.2347808982554581e-26,1.4912520513189925e-17
179266784664.25574,1.4760950653964102e-26,1.4760950653964102e-26,1.7835470568289214e-17
198120436987.86487,1.763500568127138e-26,1.763500568127138e-26,2.1318704672379625e-17
218956945235.42703,2.1043916352749897e-26,2.1043916352749897e-26,2.5452991059534215e-17
241984848184.8763,2.5100839670963856e-26,2.5100839670963856e-26,3.0376057391900086e-17
267434616828.87585,2.990718913500562e-26,2.990718913500562e-26,3.621267752213757e-17
295560961005.97797,3.562226752619498e-26,3.562226752619498e-26,4.315696100677001e-17
326645378622.29724,4.238678067588373e-26,4.238678067588373e-26,5.138231174993972e-17
360998972977.17194,5.041466122757773e-26,5.041466122757773e-26,6.115013639389048e-17
398965566389.5469,5.989904141429755e-26,5.989904141429755e-26,7.269893205592743e-17
440925141287.3061,7.11411416207287e-26,7.11411416207287e-26,8.63971179661026e-17
487297643199.127,8.440435696741185e-26,8.440435696741185e-26,1.0257067809401211e-16
538547183710.4784,1.0009619951164581e-25,1.0009619951164581e-25,1.2171927252420668e-16
595186685448.3641,1.1856834646062016e-25,1.1856834646062016e-25,1.442795291159958e-16
657783015583.3701,1.4037747744991268e-25,1.4037747744991268e-25,1.7093539117904836e-16
726962659226.8408,1.6599315740167705e-25,1.6599315740167705e-25,2.022716372678249e-16
803417989504.4423,1.9617310141728761e-25,1.9617310141728761e-25,2.3922115970658793e-16
887914197059.1152,2.3154141238208292e-25,2.3154141238208292e-25,2.8256365031974725e-16
981296948336.2245,2.7312162573128457e-25,2.7312162573128457e-25,3.3356223582145184e-16
1084500849297.576,3.2173981186036685e-25,3.2173981186036685e-25,3.9325222927985773e-16
1198558799272.0212,3.7877854037440485e-25,3.7877854037440485e-25,4.633436338706888e-16
1324612328559.1064,4.4532865248830785e-25,4.4532865248830785e-25,5.452078045354444e-16
1463923023247.9883,5.23240544315653e-25,5.23240544315653e-25,6.411391857266926e-16
1617885151595.0579,6.13900078711399e-25,6.13900078711399e-25,7.528894084065121e-16
1788039618329.2678,7.197252570554235e-25,7.197252570554235e-25,8.834677831297046e-16
1976089386544.5867,8.424751772539736e-25,8.424751772539736e-25,1.0351093148525504e-15
2183916521527.0254,9.853133945852222e-25,9.853133945852222e-25,1.211764950967946e-15
2413601027096.5967,1.1504295367659006e-24,1.1504295367659006e-24,1.4162345428854336e-15
2667441662984.6733,1.3419241915987658e-24,1.3419241915987658e-24,1.653659139917954e-15
2947978951594.0024,1.5624731390598571e-24,1.5624731390598571e-24,1.927486212173452e-15
3258020604400.8276,1.8173527345258973e-24,1.8173527345258973e-24,2.244358211310042e-15
3600669622475.0415,2.109770411208089e-24,2.109770411208089e-24,2.60844440783533e-15
3979355352357.8354,2.4464591907247146e-24,2.4464591907247146e-24,3.028258537281814e-15
4397867808114.5537,2.8311557057969034e-24,2.8311557057969034e-24,3.508712283212133e-15
4860395603069.295,3.272362833533345e-24,3.272362833533345e-24,4.0606093900648014e-15
5371567870854.933,3.774233927353699e-24,3.774233927353699e-24,4.689496530984855e-15
5936500595338.4,4.347319426730692e-24,4.347319426730692e-24,5.4088572071196825e-15
6560847813106.767,4.995993392405617e-24,4.995993392405617e-24,6.224665606271361e-15
7250858200965.813,5.7332918048583975e-24,5.7332918048583975e-24,7.153677377436824e-15
8013437614797.725,6.563482814645656e-24,6.563482814645656e-24,8.201925778367032e-15
8856218205687.926,7.502522192713933e-24,7.502522192713933e-24,9.390042069118276e-15
9787634805058.387,8.554020979444727e-24,8.554020979444727e-24,1.0723469460876539e-14
10817009343295.555,9.737363092578172e-24,9.737363092578172e-24,1.2227421022700753e-14
11954644146762.803,1.1054672971889462e-23,1.1054672971889462e-23,1.390574255463533e-14
13211925046945.51,1.2529337918783781e-23,1.2529337918783781e-23,1.5789028359328086e-14
14601435333679.406,1.4160778564162597e-23,1.4160778564162597e-23,1.7878011165427013e-14
16137081692944.662,1.59772108834534e-23,1.59772108834534e-23,2.020977199099012e-14
17834233389653.406,1.7973804739038264e-23,1.7973804739038264e-23,2.2779944280238664e-14
19709876088418.617,2.0184229193186473e-23,2.0184229193186473e-23,2.563297367745839e-14
21782781851794.848,2.2596829619921414e-23,2.2596829619921414e-23,2.875607707051515e-14
24073697017389.66,2.525155969986006e-23,2.525155969986006e-23,3.220219027650256e-14
26605549834183.5,2.8126621046642596e-23,2.8126621046642596e-23,3.594574180357556e-14
29403679936152.02,3.1269205058780984e-23,3.1269205058780984e-23,4.0049428189060114e-14
32496091949839.613,3.464292323191502e-23,3.464292323191502e-23,4.446894877359642e-14
35913735774074.89,3.83032424532182e-23,3.83032424532182e-23,4.927813733221274e-14
39690816336960.57,4.219341712897897e-23,4.219341712897897e-23,5.440615178247203e-14
43865135930290.69,4.6378578897159816e-23,4.6378578897159816e-23,5.993977820933887e-14
48478472547592.414,5.077463343509311e-23,5.077463343509311e-23,6.577198579824895e-14
53576998012327.77,5.545844536725744e-23,5.545844536725744e-23,7.200519662665636e-14
59211740081021.41,6.03102397999458e-23,6.03102397999458e-23,7.848451179899589e-14
65439093146199.03,6.542154777504987e-23,6.542154777504987e-23,8.533184989907216e-14
72321382650422.7,7.062748653090359e-23,7.062748653090359e-23,9.233099898625501e-14
79927488860267.84,7.60386170392613e-23,7.60386170392613e-23,9.962922592774858e-14
88333536243183.28,8.143500516306487e-23,8.143500516306487e-23,1.0693453386299818e-13
97623655346747.33,8.695268900055445e-23,8.695268900055445e-23,1.1442837565261144e-13
107890824805465.31,9.230717316478305e-23,9.230717316478305e-23,1.2172876333016568e-13
119237801902195.12,9.766928677043401e-23,9.766928677043401e-23,1.2906436914161825e-13
131778150997571.16,1.0268221351418531e-22,1.0268221351418531e-22,1.3595114546827147e-13
145637380120296.97,1.0756427705416194e-22,1.0756427705416194e-22,1.426831104421993e-13
160954197093680.6,1.1188153670458922e-22,1.1188153670458922e-22,1.4866610407210068e-13
177881897770151.66,1.1591558310215147e-22,1.1591558310215147e-22,1.5428246488154208e-13
196589900267677.28,1.191542457566515e-22,1.191542457566515e-22,1.5882529603383626e-13
217265440563228.84,1.2195988079682683e-22,1.2195988079682683e-22,1.6279127333046653e-13
240115446413373.6,1.2374515506049542e-22,1.2374515506049542e-22,1.653646637427876e-13
265368608356811.97,1.2497048311064167e-22,1.2497048311064167e-22,1.67182483759373e-13
293277668526154.75,1.2498149332695581e-22,1.2498149332695581e-22,1.673320831583973e-13
324121950176136.4,1.2435172880727234e-22,1.2435172880727234e-22,1.6661300073396813e-13
358210153244629.8,1.2237451169962533e-22,1.2237451169962533e-22,1.6403771764261758e-13
395883443925385.8,1.197466444999065e-22,1.197466444999065e-22,1.6058148256643452e-13
437518869173967.7,1.1573155789559777e-22,1.1573155789559777e-22,1.5521534555829084e-13
483533130320412.8,1.111494606106691e-22,1.111494606106691e-22,1.4908646414093035e-13
534386753556203.2,1.0526302595315365e-22,1.0526302595315365e-22,1.4116770551806457e-13
590588699035173.8,9.899720111259635e-23,9.899720111259635e-23,1.3274567857865875e-13
652701454717805.1,9.164570596836101e-23,9.164570596836101e-23,1.2284233268507674e-13
721346665939787.1,8.419156156838546e-23,8.419156156838546e-23,1.1281241782351747e-13
797211357047481.8,7.598981940195387e-23,7.598981940195387e-23,1.0177167601040738e-13
881054807368499.5,6.800544122143526e-23,6.800544122143526e-23,9.103432625764895e-14
973716150334407.2,5.968166075983864e-23,5.968166075983864e-23,7.984772781882036e-14
1076122771810161.8,5.187343687609996e-23,5.187343687609996e-23,6.936089584400747e-14
