Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
3.26500972842365e-06,6.215271158462232e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.215271158462232e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.215271158462232e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.129018828936983e-22,2.6426792634887194e-19
3.6083937990878785e-06,1.4445903925025254e-19,1.436997560555395e-19,0.0,8.127944054196755e-33,0.0,5.108195480267451e-23,0.0,5.068410213970617e-36,0.0,1.1793823896108334e-35,0.0,5.274647881742501e-65,1.4441081653674608e-19,1.436451827417568e-19,0.0,3.95796845201446e-26,0.0,5.340486404537784e-23,0.0,2.469807903842856e-29,0.0,5.738822985115913e-29,0.0,2.5751948947502364e-58,1.4445903925025254e-19,1.436997560555395e-19,0.0,8.127944054196755e-33,0.0,5.108195480267451e-23,0.0,5.068410213970617e-36,0.0,1.1793823896108334e-35,0.0,5.274647881742501e-65,5.129018828936983e-22,2.6426792634887194e-19
3.987891887716431e-06,1.9237521122164103e-19,1.9143605966881114e-19,0.0,1.1189678720073431e-32,0.0,6.561131607567675e-23,0.0,6.982061586012626e-36,0.0,1.5934722204570878e-35,0.0,7.882419798073126e-65,1.92312940554396e-19,1.9136557179445395e-19,0.0,5.448996479374042e-26,0.0,6.873721278465947e-23,0.0,3.402383721341869e-29,0.0,7.753976771468819e-29,0.0,3.8484690592749406e-58,1.9237521122164103e-19,1.9143605966881114e-19,0.0,1.1189678720073431e-32,0.0,6.561131607567675e-23,0.0,6.982061586012626e-36,0.0,1.5934722204570878e-35,0.0,7.882419798073126e-65,5.129018828936983e-22,2.6426792634887194e-19
4.4073021387339854e-06,2.5630648634394186e-19,2.551527457086559e-19,0.0,1.5442673263170057e-32,0.0,8.451776264692397e-23,0.0,9.642213516240133e-36,0.0,2.1602661150999195e-35,0.0,1.1819789270538678e-64,2.5622631122575635e-19,2.5506194217518405e-19,0.0,7.52019155045749e-26,0.0,8.873713203047543e-23,0.0,4.698776927833617e-29,0.0,1.0512342237401015e-28,0.0,5.77099119199227e-58,2.5630648634394186e-19,2.551527457086559e-19,0.0,1.5442673263170057e-32,0.0,8.451776264692397e-23,0.0,9.642213516240133e-36,0.0,2.1602661150999195e-35,0.0,1.1819789270538678e-64,5.129018828936983e-22,2.6426792634887194e-19
4.870822150901411e-06,3.416649758279459e-19,3.402576310513016e-19,0.0,2.1367496558160774e-32,0.0,1.0920708131690235e-22,0.0,1.335086144845268e-35,0.0,2.939131573093488e-35,0.0,1.7787727389592458e-64,3.4156206063336983e-19,3.401409685255595e-19,0.0,1.0405614673990968e-25,0.0,1.1492066677615392e-22,0.0,6.506179678140468e-29,0.0,1.4302892543271157e-28,0.0,8.685078595435881e-58,3.416649758279459e-19,3.402576310513016e-19,0.0,2.1367496558160774e-32,0.0,1.0920708131690235e-22,0.0,1.335086144845268e-35,0.0,2.939131573093488e-35,0.0,1.7787727389592458e-64,5.129018828936983e-22,2.6426792634887194e-19
5.383090988294921e-06,4.557148261472607e-19,4.54010675264124e-19,0.0,2.964607175720744e-32,0.0,1.4156626356474632e-22,0.0,1.853690609722097e-35,0.0,4.0137761887204933e-35,0.0,2.686986289975709e-64,4.555831327713972e-19,4.538611918659284e-19,0.0,1.4437401524961856e-25,0.0,1.49328961743915e-22,0.0,9.033641407813104e-29,0.0,1.9533088368814716e-28,0.0,1.3119934102997917e-57,4.557148261472607e-19,4.54010675264124e-19,0.0,2.964607175720744e-32,0.0,1.4156626356474632e-22,0.0,1.853690609722097e-35,0.0,4.0137761887204933e-35,0.0,2.686986289975709e-64,5.129018828936983e-22,2.6426792634887194e-19
5.94923560961863e-06,6.082138635577284e-19,6.061657677853422e-19,0.0,4.1249336105004726e-32,0.0,1.8413847295092426e-22,0.0,2.581156530004353e-35,0.0,5.502754360628791e-35,0.0,4.0748869733208844e-64,6.080458848767895e-19,6.059747440436028e-19,0.0,2.008846097045733e-25,0.0,1.9472152582920898e-22,0.0,1.25790794631716e-28,0.0,2.678002859201181e-28,0.0,1.989733526320642e-57,6.082138635577284e-19,6.061657677853422e-19,0.0,4.1249336105004726e-32,0.0,1.8413847295092426e-22,0.0,2.581156530004353e-35,0.0,5.502754360628791e-35,0.0,4.0748869733208844e-64,5.129018828936983e-22,2.6426792634887194e-19
6.574922180530566e-06,8.122803713155826e-19,8.098376092917326e-19,0.0,5.756457296179444e-32,0.0,2.4036543991445875e-22,0.0,3.6048935736637857e-35,0.0,7.574741161969789e-35,0.0,6.20496087927619e-64,8.1206681560816755e-19,8.095941523514541e-19,0.0,2.8034498108931436e-25,0.0,2.5484489970889076e-22,0.0,1.7568549497676469e-28,0.0,3.6864810757033236e-28,0.0,3.0299237598213044e-57,8.122803713155826e-19,8.098376092917326e-19,0.0,5.756457296179444e-32,0.0,2.4036543991445875e-22,0.0,3.6048935736637857e-35,0.0,7.574741161969789e-35,0.0,6.20496087927619e-64,5.129018828936983e-22,2.6426792634887194e-19
7.266412782532889e-06,1.0855653971285614e-18,1.0826740303879359e-18,0.0,8.058111173909382e-32,0.0,3.149248378763506e-22,0.0,5.050358840469174e-35,0.0,1.047084557785929e-34,0.0,9.488594407438765e-64,1.0852948178285519e-18,1.0823645639797975e-18,0.0,3.924446867875824e-25,0.0,3.3480791785681875e-22,0.0,2.4613568774283404e-28,0.0,5.096116449327864e-28,0.0,4.6334866191721966e-57,1.0855653971285614e-18,1.0826740303879359e-18,0.0,8.058111173909382e-32,0.0,3.149248378763506e-22,0.0,5.050358840469174e-35,0.0,1.047084557785929e-34,0.0,9.488594407438765e-64,5.129018828936983e-22,2.6426792634887194e-19
8.030628085988505e-06,1.4518406200545276e-18,1.4484437000499851e-18,0.0,1.131622921267332e-31,0.0,4.1420215499417043e-22,0.0,7.09829443748784e-35,0.0,1.4537373490840869e-34,0.0,1.4573653282051495e-63,1.4514989861049638e-18,1.4480513381964075e-18,0.0,5.511305343521932e-25,0.0,4.4160845543791305e-22,0.0,3.4595143453171776e-28,0.0,7.0754962895351825e-28,0.0,7.116850357836358e-57,1.4518406200545276e-18,1.4484437000499851e-18,0.0,1.131622921267332e-31,0.0,4.1420215499417043e-22,0.0,7.09829443748784e-35,0.0,1.4537373490840869e-34,0.0,1.4573653282051495e-63,5.129018828936983e-22,2.6426792634887194e-19
