Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
14771573604.060913,1.0919577326922096e-23,1.0917052345742784e-31,1.9421554413824972e-23
16325113561.422003,1.3337195662987222e-23,1.3334111720017283e-31,2.372152899461749e-23
18042040742.36596,1.6290079042154267e-23,1.6286312410613353e-31,2.897352563368294e-23
19939538731.19883,1.9896735733000525e-23,1.9892135303891006e-31,3.5388323045338377e-23
22036598325.563942,2.4301911714705818e-23,2.429629293878656e-31,4.322336630949259e-23
24354207602.72778,2.968239963988189e-23,2.9675537130203417e-31,5.2793098684588795e-23
26915561975.31158,3.6254133861090644e-23,3.624575236029903e-31,6.44815808105394e-23
29746296338.777092,4.42808562354368e-23,4.427061958688954e-31,7.875790369357715e-23
32874741634.076553,5.408470044814325e-23,5.407219813042982e-31,9.619501396349005e-23
36332208393.2321,6.605911957250403e-23,6.604385026012482e-31,1.174927068034751e-22
40153300105.66406,8.068467559679728e-23,8.066602709176663e-31,1.4350570916383613e-22
44376259541.54376,9.854832446801543e-23,9.852554920346031e-31,1.7527798008708224e-22
49043351498.29114,1.203669704305072e-22,1.2033915557242378e-30,2.1408460438017645e-22
54201285800.8731,1.470162346953094e-22,1.4698226565586446e-30,2.6148296046611105e-22
59901684789.431496,1.7956559262591807e-22,1.7952410854302274e-30,3.19375215237578e-22
66201599973.014046,2.1932128904804316e-22,2.1927062847175176e-30,3.9008465302366703e-22
73164083020.25272,2.6787875296156193e-22,2.678168876091358e-30,4.76448900107388e-22
80858816801.65561,3.2718661140880014e-22,3.2711106541503156e-30,5.819337793459899e-22
89362812799.19632,3.9962488033733264e-22,3.99532631766118e-30,7.107723799250109e-22
98761181863.11003,4.88100453996483e-22,4.879878148518219e-30,8.681348939454852e-22
109147986029.8893,5.961637345308301e-22,5.960262045365237e-30,1.060336052736152e-21
120627179926.76074,7.281510663605864e-22,7.279831549650952e-30,1.2950884589598346e-21
133313651184.53448,8.893586993784661e-22,8.89153709039163e-30,1.5818119953788625e-21
147334370271.62866,1.0862552387574936e-21,1.0860050014166409e-29,1.932011684762721e-21
162829661257.19324,1.3267410139821524e-21,1.326435571593814e-29,2.359738997936739e-21
179954606221.5589,1.6204643253889596e-21,1.620091547953112e-29,2.882154314992931e-21
198880597369.82193,1.9792081711070207e-21,1.978753294177874e-29,3.520214745304666e-21
219797052382.63934,2.417362619199025e-21,2.4168076850389298e-29,4.299514270546831e-21
242913310172.0428,2.9525015992303883e-21,2.9518247811947375e-29,5.251309602891951e-21
268460726015.63107,3.6060878561859084e-21,3.605262639433219e-29,6.413773988912768e-21
296694987037.9498,4.404333326898781e-21,4.4033275193912106e-29,7.8335274341712e-21
327898671213.1734,5.379250766073735e-21,5.378025298981197e-29,9.567507079620928e-21
362384075500.44775,6.569937265956969e-21,6.56844474680379e-29,1.1685250000453123e-20
400496341416.8247,8.02414225080791e-21,8.022325216023515e-29,1.4271681954439127e-20
442616909329.57025,9.800182618816376e-21,9.797971422896882e-29,1.7430523542369654e-20
489167336039.5666,1.196928210472215e-20,1.1966592369202124e-28,2.1288450857715943e-20
540613513863.46674,1.4618420055032442e-20,1.46151496705685e-28,2.6000162023512753e-20
597470333440.5895,1.7853789470213764e-20,1.7849815274303074e-28,3.1754527006636985e-20
660306836931.4996,2.1805176941700978e-20,2.1800349476903127e-28,3.8782379026268094e-20
729751913183.2124,2.6630985639408232e-20,2.662512489716553e-28,4.7365445465270886e-20
806500591860.1509,3.252479841016452e-20,3.2517686103600535e-28,5.784802369711704e-20
891320999534.6366,3.972289924572556e-20,3.971427286213866e-28,7.065035389466868e-20
985062047355.798,4.851401899727834e-20,4.850356050765215e-28,8.628595702851053e-20
1088661927237.684,5.925060622534538e-20,5.923793382243865e-28,1.0538167339623342e-19
1203157501599.2756,7.236333318556718e-20,7.2347984496500155e-28,1.2870347011783387e-19
1329694680632.0735,8.837790508663071e-20,8.835932620782051e-28,1.5718632463543893e-19
1469539890954.4543,1.0793669135415975e-19,1.0791421190737868e-27,1.919727104917182e-19
1624092750434.9211,1.3182383432633244e-19,1.3179665289202862e-27,2.3445723324517206e-19
1794900076038.1663,1.6099733758300502e-19,1.6096448590982182e-27,2.8634372185964655e-19
1983671364889.149,1.9662678222199975e-19,1.965871054246624e-27,3.4971227665509956e-19
2192295903494.913,2.401410480780774e-19,2.4009315164468176e-27,4.2710417690571143e-19
2422861676358.956,2.9328455203498677e-19,2.9322677702130904e-27,5.21621849263508e-19
2677676263231.929,3.581882477974588e-19,3.581185939741229e-27,6.370551972258835e-19
2959289934145.402,4.374537441535693e-19,4.3736983931228115e-27,7.78031123028189e-19
3270521173371.4956,5.342589985835069e-19,5.3415798581507266e-27,9.502015939419876e-19
3614484887760.819,6.524838681607428e-19,6.523623703007888e-27,1.1604668000609181e-18
3994623581777.18,7.968674709369362e-19,7.967214256980192e-27,1.417255165786198e-18
4414741811239.316,9.731955667840275e-19,9.730201892571988e-27,1.7308563890465824e-18
4879044260594.306,1.1885347610489448e-18,1.1883243033295408e-26,2.113838201621204e-18
5392177824812.726,1.4515121749584411e-18,1.4512598931704136e-26,2.581543414231909e-18
5959278117075.427,1.7726639495307697e-18,1.77236175334972e-26,3.1527100933039406e-18
6586020867716.37,2.1648523913227973e-18,2.1644908294651259e-26,3.850212897695199e-18
7278678728839.472,2.64378429948824e-18,2.643352050702829e-26,4.701985493432784e-18
8044184053129.211,3.2286325876466184e-18,3.2281164943314635e-26,5.742125220107109e-18
8890198275166.291,3.942807264412138e-18,3.942191594277618e-26,7.012265178075958e-18
9825188589640.064,4.8148818153142846e-18,4.8141483863741694e-26,8.56322039954796e-18
10858512693878.893,5.879738605079825e-18,5.878865715225705e-26,1.0457026348355143e-17
12000512442830.207,7.17994746484761e-18,7.178910191820601e-26,1.2769388536640034e-17
13262617353820.9,8.76746637360305e-18,8.766235023984601e-26,1.559270937342668e-17
14657458997008.256,1.070569024564756e-17,1.0704230965543706e-25,1.903972848947654e-17
16198997416379.768,1.3071972696661353e-17,1.3070245225222776e-25,2.3248011096341065e-17
17902660846565.484,1.5960665215588424e-17,1.5958624027667201e-25,2.83853477926829e-17
19785500123795.72,1.9486848988462413e-17,1.9484440042981466e-25,3.4656396871539446e-17
21866359336401.168,2.379083162328777e-17,2.378799439228128e-25,4.231067344528142e-17
24166064422782.473,2.90436539646687e-17,2.904031672843334e-25,5.1652351420561084e-17
26707631604401.746,3.545371925588235e-17,3.544980257417796e-25,6.305204068526932e-17
29516497739862.875,4.327488549301701e-17,4.32702953975774e-25,7.696119180122199e-17
32620774905542.02,5.2816187904850094e-17,5.281082166492247e-25,9.392936788920056e-17
36051531750696.94,6.445365823775943e-17,6.444739450703917e-25,1.146252842364324e-16
39843104442951.086,7.864447606220891e-17,7.863718423692244e-25,1.3986194668576288e-16
44033440316200.15,9.594407709065974e-17,9.593560304682977e-25,1.7062710769687592e-16
48664477660284.14,1.1702652333169473e-16,1.170167043112918e-24,2.0811944983055634e-16
53782565453488.13,1.427089374102375e-16,1.4269758137217477e-24,2.537920859786695e-16
59438927238695.08,1.7398034071615096e-16,1.73967249594324e-24,3.0940378088367106e-16
65690173785820.234,2.1203584752224536e-16,2.1202078733204846e-24,3.770798313973631e-16
72598869671423.77,2.5831646232427287e-16,2.582991989001907e-24,4.59382746439345e-16
80234159446021.66,3.1455543348717907e-16,3.1453568921394963e-24,5.593947860779583e-16
88672459655987.78,3.8283098048741395e-16,3.828084883570867e-24,6.808115906030619e-16
97998223646033.8,4.656259262834437e-16,4.6560036737378396e-24,8.280483848893615e-16
108304786796669.77,5.658928681411744e-16,5.658639521096549e-24,1.0063556724030362e-15
119695300656062.78,6.871240180711436e-16,6.870913929877582e-24,1.2219436672109671e-15
132283765315401.5,8.334216179321083e-16,8.333849883143988e-24,1.4821072235622657e-15
146196170360126.03,1.0095647312735025e-15,1.0095237285149953e-23,1.7953449531375006e-15
161571755816044.2,1.221062816963809e-15,1.2210171696955822e-23,2.171454078826928e-15
178564405710311.84,1.4741853492280797e-15,1.4741346981471275e-23,2.621583599495668e-15
197344188194497.72,1.775948426515705e-15,1.7758925662398534e-23,3.1582098858105582e-15
218099057643806.72,2.1332398696862222e-15,2.1331784862711084e-23,3.7935815584029946e-15
241036735767639.38,2.5481053581407763e-15,2.548038366480685e-23,4.5313360902306045e-15
266386790558279.2,3.015509812569998e-15,3.015436988876657e-23,5.362519896576038e-15
294402933884518.56,3.5200135684332555e-15,3.519935011236858e-23,6.259676494357463e-15
325365560725317.5,4.035488659628387e-15,4.0354042815919676e-23,7.176343319397237e-15
359584555456997.5,4.545386834396041e-15,4.545296984890531e-23,8.083092356604759e-15
