Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons ,Min Compton Primary Electrons ,Min Synchrotron Bethe Heitler ,Min Compton Bethe Heitler ,Min Synchrotron Photon Annihilation Pairs ,Min Compton Photon Annihilation Pairs ,Min Synchrotron Photopion Pairs ,Min Compton Photopion Pairs ,Min Synchrotron Primary Protons ,Min Compton Primary Protons ,Min Neutral Pion Decay ,Disk,Torus
1.1091500201520923e-05,9.499103563832125e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.499103563832125e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.499103563832125e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.294132952461102e-21,1.814568987370715e-18
1.2258003460551082e-05,2.418649966284702e-20,2.3937329372581385e-20,0.0,7.211248214377815e-24,0.0,1.595633331084871e-23,0.0,1.3692349574172045e-28,0.0,1.5787009826221533e-25,0.0,3.3868439699634904e-55,2.4185683472134685e-20,2.393089909998904e-20,0.0,8.983683378072509e-24,0.0,1.9481235623292862e-23,0.0,1.7204105308431427e-28,0.0,1.965039340205422e-25,0.0,4.3244965006914294e-55,2.4188001239526023e-20,2.394872915682825e-20,0.0,4.0540460748571314e-24,0.0,9.75362132257486e-24,0.0,7.58021734080282e-29,0.0,8.888861785761953e-26,0.0,1.8232360880018167e-55,1.294132952461102e-21,1.814568987370715e-18
1.3547188938271726e-05,3.2227032047488584e-20,3.1896127331865976e-20,0.0,9.751354774028136e-24,0.0,2.152766149655042e-23,0.0,1.8563737565554734e-28,0.0,2.067421474876109e-25,0.0,4.914277589595726e-55,3.222605079211076e-20,3.188757574631786e-20,0.0,1.2148144478695179e-23,0.0,2.6289272476312275e-23,0.0,2.3324953932914168e-28,0.0,2.573370990682067e-25,0.0,6.274831280643106e-55,3.2228849018543044e-20,3.191129782664001e-20,0.0,5.482031671143977e-24,0.0,1.3147393738379567e-23,0.0,1.0277014478164719e-28,0.0,1.1640505681632695e-25,0.0,2.6454767771158377e-55,1.294132952461102e-21,1.814568987370715e-18
1.4971959236253989e-05,4.292255205975765e-20,4.248405198455763e-20,0.0,1.3194911407022307e-23,0.0,2.906922747185181e-23,0.0,2.5189462543156074e-28,0.0,2.7097286605889045e-25,0.0,7.137179260848952e-55,4.292139947690798e-20,4.2472684389047214e-20,0.0,1.6438134068753322e-23,0.0,3.5506448908801685e-23,0.0,3.1650137229901047e-28,0.0,3.372883212032869e-25,0.0,9.11320404629638e-55,4.2924703084913507e-20,4.250423002170715e-20,0.0,7.41790565000232e-24,0.0,1.7738239939006183e-23,0.0,1.3944989567139368e-28,0.0,1.5256853007531655e-25,0.0,3.84208710698017e-55,1.294132952461102e-21,1.814568987370715e-18
1.6546573934522016e-05,5.714559990578272e-20,5.65658752927201e-20,0.0,1.786817545123921e-23,0.0,3.929004916171735e-23,0.0,3.4212822607315074e-28,0.0,3.555020940347675e-25,0.0,1.0376453827378062e-54,5.714429156134255e-20,5.655077296075289e-20,0.0,2.2260112934272189e-23,0.0,4.800018220049745e-23,0.0,4.298797637176578e-28,0.0,4.425067679663998e-25,0.0,1.3249384473692513e-54,5.714806694009315e-20,5.659269691581605e-20,0.0,1.00450741149715e-23,0.0,2.395605058830579e-23,0.0,1.89402535542855e-28,0.0,2.0016004996015063e-25,0.0,5.585803325224433e-55,1.294132952461102e-21,1.814568987370715e-18
1.8286792306222303e-05,7.605519576037364e-20,7.529068051494209e-20,0.0,2.4217833828184404e-23,0.0,5.316036784303402e-23,0.0,4.651897698442118e-28,0.0,4.669113314246465e-25,0.0,1.510372816060483e-54,7.60537880274599e-20,7.527062995538037e-20,0.0,3.017057923711862e-23,0.0,6.49576256469358e-23,0.0,5.845070378481702e-28,0.0,5.811852412005712e-25,0.0,1.9285607083926205e-54,7.605789071481522e-20,7.532630707337827e-20,0.0,1.3614640665387776e-23,0.0,3.238880771115813e-23,0.0,2.5752799624452355e-28,0.0,2.628847814762425e-25,0.0,8.130488440052364e-55,1.294132952461102e-21,1.814568987370715e-18
2.021003104172635e-05,1.0119132477775779e-19,1.0018579963168231e-19,0.0,3.2856759356356217e-23,0.0,7.201082219708437e-23,0.0,6.332883556032167e-28,0.0,6.139926192371167e-25,0.0,2.2013745455442026e-54,1.0118994568485982e-19,1.0015920000433358e-19,0.0,4.09330753172171e-23,0.0,8.800711580908328e-23,0.0,7.9572443116707755e-28,0.0,7.642683841574102e-25,0.0,2.810901807924445e-54,1.011940350520794e-19,1.00233082821333e-19,0.0,1.8471126557067812e-23,0.0,4.384249600122743e-23,0.0,3.505847352326367e-28,0.0,3.4569226221207345e-25,0.0,1.1850096669305939e-54,1.294132952461102e-21,1.814568987370715e-18
2.233553856072208e-05,1.3460091690624504e-19,1.3328212355400793e-19,0.0,4.46277643468169e-23,0.0,9.76706290179684e-23,0.0,8.633079210733055e-28,0.0,8.085242522194817e-25,0.0,3.2132472463920266e-54,1.3459981534594967e-19,1.3324686557710777e-19,0.0,5.559761741494902e-23,0.0,1.1938741106613856e-22,0.0,1.0847474407833033e-27,0.0,1.0064183872541004e-24,0.0,4.10297287740891e-54,1.3460321817108164e-19,1.3334482126776988e-19,0.0,2.5088306945983193e-23,0.0,5.942453444500784e-23,0.0,4.779189044979897e-28,0.0,4.552130374750702e-25,0.0,1.7296858364064206e-54,1.294132952461102e-21,1.814568987370715e-18
2.4684587656867195e-05,1.7900597934416241e-19,1.7728141782326703e-19,0.0,6.069270243999623e-23,0.0,1.326607091027986e-22,0.0,1.1786618490748475e-27,0.0,1.066332352840539e-24,0.0,4.697907313375478e-54,1.7900560242724502e-19,1.7723472546291424e-19,0.0,7.561170708550885e-23,0.0,1.6218425993703407e-22,0.0,1.4809963222628441e-27,0.0,1.3273365855148381e-24,0.0,5.998765898474618e-54,1.7900709803323803e-19,1.7736447632519834e-19,0.0,3.4119294974832686e-23,0.0,8.066032034721058e-23,0.0,6.524908986493227e-28,0.0,6.003561893349207e-25,0.0,2.5288454890884413e-54,1.294132952461102e-21,1.814568987370715e-18
2.7280688403058756e-05,2.3802820216921945e-19,2.357799323209225e-19,0.0,8.265738761370886e-23,0.0,1.8046446143469048e-22,0.0,1.6119131008547754e-27,0.0,1.4087489978024746e-24,0.0,6.88094277021499e-54,2.3802931540187313e-19,2.357181558355373e-19,0.0,1.0297596788818838e-22,0.0,2.206621347101742e-22,0.0,2.025388569505039e-27,0.0,1.7535787612814588e-24,0.0,8.786351903453381e-54,2.3802680134906357e-19,2.3588985509130126e-19,0.0,4.646675794916535e-23,0.0,1.0965654072607193e-22,0.0,8.923256153218637e-28,0.0,7.931300568382436e-25,0.0,3.7039078953108956e-54,1.294132952461102e-21,1.814568987370715e-18
