Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
3.4815847350444515e-06,1.3823251978492095e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.041364577692698e-22,3.307497033583529e-19,1.3823251978492095e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3823251978492095e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.847746197987228e-06,2.1323536941094643e-19,1.8565757186997636e-19,0.0,8.092553032039637e-33,0.0,2.184376703689149e-20,0.0,5.424819685604078e-36,0.0,1.9072917568557733e-33,0.0,4.440662026647644e-63,5.041364577692698e-22,3.307497033583529e-19,2.1109187561408692e-19,1.8322731367247066e-19,0.0,7.219562775236443e-24,0.0,2.2235634610853583e-20,0.0,5.047372776374215e-27,0.0,1.6270882478684745e-24,0.0,3.8425360637843236e-54,2.1323536941094643e-19,1.8565757186997636e-19,0.0,8.092553032039637e-33,0.0,2.184376703689149e-20,0.0,5.424819685604078e-36,0.0,1.9072917568557733e-33,0.0,4.440662026647644e-63
4.252417198151634e-06,3.0687321422068434e-19,2.6903930615554476e-19,0.0,1.1730122013835662e-32,0.0,2.9846155036058505e-20,0.0,7.875540483190093e-36,0.0,2.677091812105101e-33,0.0,6.893512250235773e-63,5.041364577692698e-22,3.307497033583529e-19,3.0374519354970496e-19,2.6549851658241693e-19,0.0,1.0464256035022325e-23,0.0,3.0404308440455475e-20,0.0,7.32709649497123e-27,0.0,2.2836503462114404e-24,0.0,5.96463055903522e-54,3.0687321422068434e-19,2.6903930615554476e-19,0.0,1.1730122013835662e-32,0.0,2.9846155036058505e-20,0.0,7.875540483190093e-36,0.0,2.677091812105101e-33,0.0,6.893512250235773e-63
4.699647818921904e-06,4.40712339909694e-19,3.889757391915888e-19,0.0,1.6965253347809227e-32,0.0,4.0675455602539726e-20,0.0,1.1407954221825673e-35,0.0,3.7494629781287024e-33,0.0,1.0678144194097055e-62,5.041364577692698e-22,3.307497033583529e-19,4.361716036510032e-19,3.83839969429796e-19,0.0,1.51341845692564e-23,0.0,4.146925918335301e-20,0.0,1.0613171111062297e-26,0.0,3.1983100535612735e-24,0.0,9.238993916359492e-54,4.40712339909694e-19,3.889757391915888e-19,0.0,1.6965253347809227e-32,0.0,4.0675455602539726e-20,0.0,1.1407954221825673e-35,0.0,3.7494629781287024e-33,0.0,1.0678144194097055e-62
5.193914094670144e-06,6.31506130365815e-19,5.610112166113795e-19,0.0,2.4479128149366293e-32,0.0,5.5282901258786e-20,0.0,1.6485150239496822e-35,0.0,5.2393497504927734e-33,0.0,1.6502586077760017e-62,5.041364577692698e-22,3.307497033583529e-19,6.249508440727454e-19,5.535971799719478e-19,0.0,2.1837375761036752e-23,0.0,5.640990000871813e-20,0.0,1.5336700531134333e-26,0.0,4.4691782559922525e-24,0.0,1.4278443723464833e-53,6.31506130365815e-19,5.610112166113795e-19,0.0,2.4479128149366293e-32,0.0,5.5282901258786e-20,0.0,1.6485150239496822e-35,0.0,5.2393497504927734e-33,0.0,1.6502586077760017e-62
5.740162808412657e-06,9.027259729792832e-19,8.070494780647608e-19,0.0,3.52326564007696e-32,0.0,7.491931847108616e-20,0.0,2.3760760162015203e-35,0.0,7.303485993720793e-33,0.0,2.544174886378815e-62,5.041364577692698e-22,3.307497033583529e-19,8.933164946412578e-19,7.964000144753759e-19,0.0,3.143179804509904e-23,0.0,7.651623444445717e-20,0.0,2.2106398496511e-26,0.0,6.230081950279245e-24,0.0,2.201358264912815e-53,9.027259729792832e-19,8.070494780647608e-19,0.0,3.52326564007696e-32,0.0,7.491931847108616e-20,0.0,2.3760760162015203e-35,0.0,7.303485993720793e-33,0.0,2.544174886378815e-62
6.34386100087709e-06,1.287126210837637e-18,1.1578288121526092e-18,0.0,5.05759528314804e-32,0.0,1.0122111527549986e-19,0.0,3.4153447669163885e-35,0.0,1.0154732284982322e-32,0.0,3.9121692799819914e-62,5.041364577692698e-22,3.307497033583529e-19,1.273700012700401e-18,1.1426127083234027e-18,0.0,4.5123335245390973e-23,0.0,1.034788869921662e-19,0.0,3.177817371869202e-26,0.0,8.662844453413445e-24,0.0,3.385259709347808e-53,1.287126210837637e-18,1.1578288121526092e-18,0.0,5.05759528314804e-32,0.0,1.0122111527549986e-19,0.0,3.4153447669163885e-35,0.0,1.0154732284982322e-32,0.0,3.9121692799819914e-62
7.011050686483641e-06,1.8302341322968634e-18,1.6563010802110043e-18,0.0,7.239806951182079e-32,0.0,1.3631761249468875e-19,0.0,4.89485456413325e-35,0.0,1.4080975806015508e-32,0.0,5.999300437148278e-62,5.041364577692698e-22,3.307497033583529e-19,1.8111938279585804e-18,1.6346807366725351e-18,0.0,6.459986929756127e-23,0.0,1.3950183914271017e-19,0.0,4.555016663679683e-26,0.0,1.2013486063719144e-23,0.0,5.191846658651019e-53,1.8302341322968634e-18,1.6563010802110043e-18,0.0,7.239806951182079e-32,0.0,1.3631761249468875e-19,0.0,4.89485456413325e-35,0.0,1.4080975806015508e-32,0.0,5.999300437148278e-62
7.748409323856008e-06,2.5950788929414086e-18,2.3622177063680023e-18,0.0,1.0333056764261165e-31,0.0,1.8296365274399932e-19,0.0,6.993572750094996e-35,0.0,1.9469900593089975e-32,0.0,9.173440471305892e-62,5.041364577692698e-22,3.307497033583529e-19,2.5682461652269623e-18,2.331676377906904e-18,0.0,9.221369045063284e-23,0.0,1.8744220100110445e-19,0.0,6.509162049227754e-26,0.0,1.6613474617247816e-23,0.0,7.939939049587836e-53,2.5950788929414086e-18,2.3622177063680023e-18,0.0,1.0333056764261165e-31,0.0,1.8296365274399932e-19,0.0,6.993572750094996e-35,0.0,1.9469900593089975e-32,0.0,9.173440471305892e-62
8.563316646071865e-06,3.668569824615929e-18,3.3583144328332532e-18,0.0,1.470225005880865e-31,0.0,2.4470155254610937e-19,0.0,9.95940054480176e-35,0.0,2.684124580949039e-32,0.0,1.398455475385061e-61,5.041364577692698e-22,3.307497033583529e-19,3.630998004395769e-18,3.315433598826347e-18,0.0,1.3122805729178282e-22,0.0,2.5098156635391924e-19,0.0,9.271626687895448e-26,0.0,2.290742510948214e-23,0.0,1.2106381975265036e-52,3.668569824615929e-18,3.3583144328332532e-18,0.0,1.470225005880865e-31,0.0,2.4470155254610937e-19,0.0,9.95940054480176e-35,0.0,2.684124580949039e-32,0.0,1.398455475385061e-61
