Energy,Flux Value,Flux Error,Is Upper Limit
3.0521224931682534e-07,3.86e-15,3.91e-16,0.0
3.060393827838086e-07,3.8702e-15,3.922e-16,0.0
3.308533867933066e-07,5.6e-15,0.0,0.0
6.244857675723662e-07,6.3e-15,2.86e-16,0.0
6.244857675723662e-07,6.46e-15,0.0,0.0
6.617067735866132e-07,7.52e-15,0.0,0.0
7.361487856151071e-07,4.98e-15,7.48e-16,0.0
1.5095185772444614e-06,1.13e-14,3.98e-16,0.0
1.5880962566078716e-06,1.2323e-14,0.0,0.0
1.6873522726458637e-06,1.1e-14,8.78e-16,0.0
1.6873522726458637e-06,1.1383e-14,0.0,0.0
1.6873522726458637e-06,8.16e-15,0.0,0.0
1.6873522726458637e-06,1.0975e-14,0.0,0.0
1.6873522726458637e-06,1.14e-14,5.69e-16,0.0
5.7072209221845385e-06,1.68e-14,0.0,0.0
5.7899342688828654e-06,2.46e-14,0.0,0.0
5.7899342688828654e-06,2.28e-14,6.7e-16,0.0
5.7899342688828654e-06,2.73e-14,0.0,0.0
5.7899342688828654e-06,2.59e-14,1.3e-15,0.0
5.7899342688828654e-06,2.84e-14,1.01e-15,0.0
5.7899342688828654e-06,2.6e-14,0.0,0.0
5.7899342688828654e-06,2.4556e-14,0.0,0.0
5.7899342688828654e-06,2.7336e-14,6.608e-18,0.0
5.7899342688828654e-06,2.8444e-14,1.005e-15,0.0
6.203501002374499e-06,3.04e-14,0.0,0.0
6.203501002374499e-06,3.03e-14,0.0,0.0
6.617067735866132e-06,1.49e-14,1.49e-15,0.0
6.617067735866132e-06,2.83e-14,0.0,0.0
6.617067735866132e-06,2.46e-14,1.97e-15,0.0
6.617067735866132e-06,1.48e-14,2.52e-15,0.0
1.1166301804274097e-05,3.15e-14,1.28e-15,0.0
1.9975273227645886e-05,1.05e-13,0.0,0.0
2.0057986574344214e-05,8.27e-14,0.0,0.0
2.0057986574344214e-05,7.49e-14,9.75e-15,0.0
2.0057986574344214e-05,7.48e-14,1.12e-14,0.0
2.0057986574344214e-05,7.0858e-14,6.305e-15,0.0
2.0057986574344214e-05,5.9791e-14,4.85e-18,0.0
2.0223413267740866e-05,7.13e-14,0.0,0.0
2.0264769941090028e-05,1.27e-13,0.0,0.0
2.067833667458166e-05,1.15e-13,0.0,0.0
2.067833667458166e-05,8.04e-14,6.43e-15,0.0
2.067833667458166e-05,8.34e-14,0.0,0.0
2.067833667458166e-05,8.25e-14,5e-15,0.0
2.067833667458166e-05,5.54e-14,9.98e-15,0.0
2.067833667458166e-05,7.71e-14,0.0,0.0
2.067833667458166e-05,9e-14,0.0,0.0
2.067833667458166e-05,1.12e-13,0.0,0.0
2.067833667458166e-05,5.45e-14,1e-15,0.0
2.067833667458166e-05,2.52e-14,4.54e-15,0.0
2.067833667458166e-05,1.11e-13,8.86e-15,0.0
2.067833667458166e-05,1.05e-13,1.26e-14,0.0
2.067833667458166e-05,6.25e-14,0.0,0.0
2.067833667458166e-05,8.82e-14,7.94e-15,0.0
2.067833667458166e-05,4.45e-14,0.0,0.0
2.067833667458166e-05,6.93e-14,1.04e-14,0.0
3.308533867933066e-05,1.41e-13,1.52e-14,0.0
3.308533867933066e-05,9.44e-14,4e-15,0.0
3.3416192066123964e-05,7.84e-14,6.31e-15,0.0
3.445010889985305e-05,1.47e-13,0.0,0.0
3.445010889985305e-05,1.45e-13,0.0,0.0
3.453282224655138e-05,1.99e-13,0.0,0.0
3.473960561329719e-05,1.04e-13,0.0,0.0
3.473960561329719e-05,2.71e-13,0.0,0.0
3.473960561329719e-05,1.25e-13,0.0,0.0
3.473960561329719e-05,1.036e-13,0.0,0.0
3.498774565339217e-05,1.0434e-13,3.384e-17,0.0
3.5153172346788825e-05,8.5e-14,5.95e-15,0.0
3.5153172346788825e-05,8.86e-14,0.0,0.0
4.3424507016621493e-05,2.8e-13,0.0,0.0
4.425164048360476e-05,8.56e-14,3.21e-15,0.0
5.789934268882865e-05,1.61e-13,5.6e-15,0.0
5.789934268882865e-05,2.27e-13,1.4e-14,0.0
6.038074308977845e-05,4.13e-13,0.0,0.0
6.203501002374499e-05,4.93e-13,0.0,0.0
6.203501002374499e-05,4.95e-13,0.0,0.0
6.203501002374499e-05,3.37e-13,5.05e-14,0.0
6.203501002374499e-05,3.72e-13,1.95e-14,0.0
6.203501002374499e-05,3.54e-13,0.0,0.0
6.203501002374499e-05,1.96e-13,2.94e-14,0.0
