Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
16046511627.906977,3.489573210297911e-24,2.397242611888876e-24,4.384066131230405e-24
17734137987.72551,4.261742586329972e-24,2.927698670677323e-24,5.354172941826099e-24
19599253561.17482,5.204704103956719e-24,3.575482195388974e-24,6.5388545775018615e-24
21660525051.80098,6.3562043855593435e-24,4.366523078883499e-24,7.985534810589005e-24
23938582357.499454,7.762319712204284e-24,5.332473013284354e-24,9.752102878968396e-24
26456225041.467175,9.479288666970969e-24,6.511964270896357e-24,1.1909216173766184e-23
29238650517.894215,1.157574556960457e-23,7.95214373334521e-24,1.4543106574392817e-23
32313706236.15416,1.4135441275408348e-23,9.710541605354556e-24,1.7758999247575364e-23
35712168387.43728,1.7260556125785642e-23,1.18573467462762e-23,2.1685275633428658e-23
39468049923.21617,2.1075731664476134e-23,1.447817552350801e-23,2.647853979615712e-23
43618940968.2963,2.5732973788017613e-23,1.7677438957120398e-23,3.232978009765213e-23
48206385035.41951,3.141761095471299e-23,2.1582434142497785e-23,3.9471857111435144e-23
53276294806.70275,3.8355527645296546e-23,2.6348310990238733e-23,4.818859473556387e-23
58879411643.19253,4.6821936165757223e-23,3.216409469214213e-23,5.882580549770732e-23
65071813421.46107,5.715199976878351e-23,3.92599784495898e-23,7.1804643921594e-23
71915475779.84335,6.97536774612205e-23,4.791614022242217e-23,8.763775421574137e-23
79478892391.4565,8.512320026895627e-23,5.84733638008862e-23,1.0694872879439415e-22
87837760471.9016,1.0386341382863488e-22,7.134562168621691e-23,1.3049517818284948e-22
97075738382.4403,1.267066055886072e-22,8.703573891292202e-23,1.5919743489245594e-22
107285282910.99294,1.5454102778280576e-22,1.0615357991520486e-22,1.9417192289440157e-22
118568574610.74765,1.8844325054710018e-22,1.2943823303858577e-22,2.367718623361114e-22
131038540457.48093,2.297157812282786e-22,1.5778378752237112e-22,2.886346261684513e-22
144819984060.68707,2.7993254164171893e-22,1.9227049023571643e-22,3.517389951273028e-22
160050834740.0502,3.4099116302278183e-22,2.3420054000200937e-22,4.2847104320953045e-22
176883527968.43506,4.1516538822161297e-22,2.8513382331998324e-22,5.21690345442431e-22
195486530997.3348,5.0511388148844085e-22,3.468931480498577e-22,6.347422063377317e-22
216046028933.74808,6.139362464103129e-22,4.2160214265557837e-22,7.715288645368138e-22
238767788143.30832,7.452366088211797e-22,5.11728201611857e-22,9.365904153336504e-22
263879215629.2318,9.031898474173516e-22,6.201269793891472e-22,1.1351894429549088e-21
291631634998.0399,1.0926604713960894e-21,7.501232147797222e-22,1.3734615635621203e-21
322302801790.68585,1.3192875778985956e-21,9.055675141922082e-22,1.6585244006140874e-21
356199683353.3658,1.5896621638585734e-21,1.090956958079548e-21,1.9987020519849155e-21
393661531069.8943,1.9114496309105135e-21,1.3115169413174301e-21,2.403682282561839e-21
435063275703.58014,2.2935796054883816e-21,1.573329188567104e-21,2.8847583844869806e-21
480819279830.32434,2.74646670576466e-21,1.88348043533739e-21,3.455110759300945e-21
531387484918.551,3.2823227112061707e-21,2.2502737415526626e-21,4.1302035572258224e-21
587273994561.3445,3.914678712034487e-21,2.6828886409687742e-21,4.927200757027119e-21
649038139731.3141,4.655698327984763e-21,3.1895022924378658e-21,5.861637611652157e-21
717298076752.9669,5.528384587176976e-21,3.7857760016893884e-21,6.962613731342336e-21
792736974018.9728,6.5486868484804255e-21,4.482388727847042e-21,8.25056075191701e-21
876109849369.0587,7.748170983409835e-21,5.300799257622511e-21,9.76545653549626e-21
968251126562.3204,9.148078820220543e-21,6.255177990395894e-21,1.1534586492399724e-20
1070082986470.6594,1.0790994736262869e-20,7.374416802466017e-21,1.361196469714268e-20
1182624596574.9092,1.2705080998986534e-20,8.677226456286914e-21,1.6033874077758895e-20
1307002311135.5354,1.4950367636212434e-20,1.0204299774402912e-20,1.887650679698025e-20
1444460944124.6523,1.7563374074023604e-20,1.1979768585268719e-20,2.2187099000540663e-20
1596376227742.6597,2.062753510030851e-20,1.40601223377038e-20,2.6071646615141342e-20
1764268581208.4937,2.4192644839258792e-20,1.6478168856553572e-20,3.059469188233077e-20
1949818327626.2122,2.836416100821486e-20,1.930501480577253e-20,3.589062476101555e-20
2154882511223.384,3.320912044088136e-20,2.2584670123055455e-20,4.2046562039511046e-20
2381513483273.904,3.8874904152983674e-20,2.6416403414748728e-20,4.925046827409754e-20
2631979442719.355,4.545169935527877e-20,3.085921018370165e-20,5.761984665494706e-20
2908787137066.38,5.312913268977375e-20,3.604030855363201e-20,6.739725646105646e-20
3214706950758.2876,6.202286579419583e-20,4.203484218841705e-20,7.873412241543063e-20
3552800632113.701,7.238273289363394e-20,4.9009869586113283e-20,9.195080068780747e-20
3926451936332.839,8.435969986694589e-20,5.706290057168239e-20,1.0724574537183039e-19
4339400491256.87,9.828179116334522e-20,6.641249508173202e-20,1.250406836777369e-19
4795779224820.27,1.1434712273359405e-19,7.718592431332211e-20,1.455970342683492e-19
5300155728782.738,1.329810633217407e-19,8.966539286033457e-20,1.6946339862042183e-19
5857577972722.72,1.5444594305972592e-19,1.0401866400958314e-19,1.969870045980747e-19
6473624825813.656,1.792975835224297e-19,1.2061299260169387e-19,2.2888682198402e-19
7154461892021.787,2.0788929354082393e-19,1.3967373306844571e-19,2.6563133846222064e-19
7906903217542.95,2.409368128476478e-19,1.61671452841736e-19,3.0814971730010323e-19
8738479488067.239,2.788700990356756e-19,1.8687710473288644e-19,3.570167492917216e-19
9657513398412.482,3.2255893573960083e-19,2.158574278088465e-19,4.133688144314327e-19
10673202948851.387,3.7254028777628524e-19,2.489474955156891e-19,4.779284551414892e-19
11795713501789.803,4.2988355151644276e-19,2.868378408577114e-19,5.521017392564062e-19
13036279520130.346,4.95239152095151e-19,3.299288305357075e-19,6.367716910928281e-19
14407317005553.225,5.699004521855391e-19,3.790462894922709e-19,7.336520811800235e-19
15922547762034.143,6.5464063149965695e-19,4.346582309558483e-19,8.438038093308117e-19
17597136728270.613,7.510113558814596e-19,4.9774250302107545e-19,9.693012106806378e-19
19447843753485.547,8.599241651148771e-19,5.688406793640823e-19,1.1114094813508834e-18
21493191335631.36,9.832261786124536e-19,6.490991864011333e-19,1.2726229073313626e-18
23753650000775.277,1.121969425247334e-18,7.391289397386618e-19,1.4544217110328758e-18
26251843179004.41,1.2783274926616914e-18,8.4025463655158555e-19,1.6597755621967925e-18
29012773627318.223,1.453439007844815e-18,9.531128616491409e-19,1.8903214368403086e-18
32064073665624.234,1.6497450670098394e-18,1.0791505891288128e-18,2.149452277287425e-18
35436281730283.12,1.8684370897354044e-18,1.2190005660135569e-18,2.438928251285586e-18
39163148013044.31,2.1123292049049877e-18,1.3742870765781322e-18,2.7627229045122245e-18
43281972244308.65,2.3826793103037903e-18,1.545643938951696e-18,3.1227431570118787e-18
47833977001367.266,2.682778108174813e-18,1.7349225900389445e-18,3.523703427837254e-18
52864720277810.46,3.0139993480628526e-18,1.942790997473691e-18,3.967720611675257e-18
58424551443240.17,3.3803458617861162e-18,2.1714655469940814e-18,4.460579995734891e-18
64569115156683.625,3.783467904676451e-18,2.421765326571785e-18,5.0048009179009176e-18
71359908277044.23,4.228498247161564e-18,2.6965325360587748e-18,5.607801532375138e-18
78864895344334.95,4.7176792440933674e-18,2.9969732735169503e-18,6.272873052819047e-18
87159188791638.48,5.258154027546376e-18,3.3271351357439845e-18,7.010208406963402e-18
96325800695583.95,5.853513262699551e-18,3.689171512334832e-18,7.824762901713246e-18
106456473589110.33,6.513832798371795e-18,4.0889416914947726e-18,8.730701773304205e-18
117652598651572.95,7.244673738236583e-18,4.5300400276341306e-18,9.735332036515813e-18
130026230465744.53,8.06050340034339e-18,5.02111588189525e-18,1.0858657589540926e-17
143701208497742.56,8.969898024518207e-18,5.56803106930239e-18,1.2111495344464183e-17
158814396524030.47,9.993688612074276e-18,6.183560560860939e-18,1.3522193014310702e-17
175517052410092.6,1.1144774926574136e-17,6.87689717555333e-18,1.5106487617296906e-17
193976341949993.53,1.2452858930835694e-17,7.666649500088824e-18,1.690424111649338e-17
214377011917830.06,1.3936814413922685e-17,8.566713936696268e-18,1.893784571880685e-17
236923239075542.62,1.56386583246385e-17,9.603890953412058e-18,2.126301537743314e-17
261840673642573.5,1.7585696460186464e-17,1.0798804698797387e-17,2.3911409687861414e-17
289378697679108.9,1.9837230734192686e-17,1.2189860187885493e-17,2.6960840766883325e-17
319812920985555.94,2.2432613620651377e-17,1.3807345277784056e-17,3.045613481293428e-17
353447939498061.3,2.5455509323725656e-17,1.5706128236118446e-17,3.450609815013996e-17
390620383787018.9,2.89628756488619e-17,1.7930567515540617e-17,3.917487301847169e-17
431702288168961.4,3.307317559845042e-17,2.0559147083711196e-17,4.4615396036798416e-17
477104814151048.6,3.786978155149487e-17,2.365708132206573e-17,5.092115260084541e-17
527282365473625.5,4.352135988258475e-17,2.733699798557243e-17,5.830864001784581e-17
582737135935585.5,5.015153750758698e-17,3.16953459387493e-17,6.691683961135333e-17
644024135518705.5,5.800188512399342e-17,3.6894367795794616e-17,7.705450507128313e-17
711756745114082.9,6.72578564794718e-17,4.307754324120389e-17,8.893183064289328e-17
786612855444265.2,7.826705248396422e-17,5.04792589737682e-17,1.029917658522469e-16
869341651621445.1,9.130957636731721e-17,5.931359745041629e-17,1.1955550258898034e-16
960771111243872.0,1.0688626127316691e-16,6.991916866709975e-17,1.3925998020766036e-16
1061816291073951.6,1.2541997599151368e-16,8.261470208121751e-17,1.6259643452257087e-16
1173488485233878.0,1.476296635584029e-16,9.788716775872204e-17,1.9047791573272758e-16
1296905346577125.2,1.7414814993612827e-16,1.1620696754811403e-16,2.2364889007041614e-16
1433302072533857.0,2.0599544375764744e-16,1.382660042474705e-16,2.634033279053533e-16
1584043767381970.8,2.440896682870199e-16,1.6473862093529345e-16,3.1083285179461364e-16
1750639104669542.8,2.8983458398414435e-16,1.9657809191201042e-16,3.677167506062502e-16
1934755426526767.8,3.445368900220568e-16,2.3473394551394293e-16,4.356231381272239e-16
2138235430986428.0,4.10107430768489e-16,2.805060508895335e-16,5.169708622582615e-16
2363115614325148.0,4.88368865435939e-16,3.352066330447878e-16,6.1396456212006e-16
