Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
5.66963514506003e-06,1.0341572363097579e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0973406830820189e-21,3.1226387135956718e-18,1.0341572363097579e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0341572363097579e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2659158784199376e-06,7.350915611315111e-17,7.27550238334727e-17,0.0,1.5917355541874109e-21,0.0,4.049602446696852e-21,0.0,1.8509769417504993e-28,0.0,2.9826312843034008e-24,0.0,8.781812614194521e-58,1.0973406830820189e-21,3.1226387135956718e-18,7.350903271671002e-17,7.275405537195698e-17,0.0,1.9723456246447737e-21,0.0,4.485346829593489e-21,0.0,2.35561463415116e-28,0.0,3.695815049385572e-24,0.0,1.1032096836800973e-57,7.350931055367643e-17,7.275623826474254e-17,0.0,1.114230712600343e-21,0.0,3.503171320233097e-21,0.0,1.2517336251196184e-28,0.0,2.0878802604676035e-24,0.0,6.040756916594441e-58
6.924908003938151e-06,9.860257296602287e-17,9.761363212149766e-17,0.0,2.138302754505945e-21,0.0,5.230585433032664e-21,0.0,2.4866339950827443e-28,0.0,3.892857993576785e-24,0.0,1.2654626525455718e-57,1.0973406830820189e-21,3.1226387135956718e-18,9.860243033636792e-17,9.761235614051526e-17,0.0,2.649606677463293e-21,0.0,5.81454183388716e-21,0.0,3.1645788830249273e-28,0.0,4.8236893975456435e-24,0.0,1.589724574514093e-57,9.860275146449568e-17,9.761523221212127e-17,0.0,1.4968327105280507e-21,0.0,4.4982916608967354e-21,0.0,1.6815960830618713e-28,0.0,2.7250497754373275e-24,0.0,8.704789430217042e-58
7.65320693630171e-06,1.3219008071187145e-16,1.3089661552929107e-16,0.0,2.8710877289476345e-21,0.0,6.75845825924865e-21,0.0,3.3388361167964373e-28,0.0,5.07814937006426e-24,0.0,1.8231411200682152e-57,1.0973406830820189e-21,3.1226387135956718e-18,1.3218991845791508e-16,1.3089493410864202e-16,0.0,3.557613647246957e-21,0.0,7.540678071528832e-21,0.0,4.249123918994536e-28,0.0,6.2924004438507986e-24,0.0,2.2902937606893384e-57,1.3219028374824452e-16,1.30898724090165e-16,0.0,2.0097887047127336e-21,0.0,5.777535040663384e-21,0.0,2.257899558744014e-28,0.0,3.5547676059668635e-24,0.0,1.2540976842147525e-57
8.458101736015487e-06,1.7711467125007973e-16,1.754257009958093e-16,0.0,3.852788320204158e-21,0.0,8.73571723888148e-21,0.0,4.480449738159922e-28,0.0,6.621126625605367e-24,0.0,2.625916204614019e-57,1.0973406830820189e-21,3.1226387135956718e-18,1.771144906410447e-16,1.7542348528129435e-16,0.0,4.774056660686213e-21,0.0,9.782956681023907e-21,0.0,5.7019764574585065e-28,0.0,8.204325440922084e-24,0.0,3.2987526923593606e-57,1.771148972210916e-16,1.7542847963737674e-16,0.0,2.696987665578294e-21,0.0,7.42244887396511e-21,0.0,3.0299243127096825e-28,0.0,4.6348694545521746e-24,0.0,1.8063194013286578e-57
9.347648060769477e-06,2.37155414237375e-16,2.3495153553429177e-16,0.0,5.166820272221659e-21,0.0,1.1295073921905854e-20,0.0,6.008383192302827e-28,0.0,8.629042720310255e-24,0.0,3.781044992376733e-57,1.0973406830820189e-21,3.1226387135956718e-18,2.371552194138701e-16,2.349486162337837e-16,0.0,6.402297825806671e-21,0.0,1.26962604822723e-20,0.0,7.646453856417262e-28,0.0,1.0692363261436644e-23,0.0,4.7498327162555144e-57,2.3715565793800603e-16,2.349551965875862e-16,0.0,3.616821236568484e-21,0.0,9.53794044672124e-21,0.0,4.063213249281711e-28,0.0,6.040433480529995e-24,0.0,2.6009300426298203e-57
1.033074878916863e-05,3.173274582623751e-16,3.1445141444001126e-16,0.0,6.923952326457437e-21,0.0,1.4608184551246756e-20,0.0,8.05126030454728e-28,0.0,1.1240988983202315e-23,0.0,5.442398410727285e-57,1.0973406830820189e-21,3.1226387135956718e-18,3.1732725812472155e-16,3.1444756958322808e-16,0.0,8.579592928478609e-21,0.0,1.6481611740816435e-20,0.0,1.0246225040123913e-27,0.0,1.392886425811768e-23,0.0,6.836815949418298e-57,3.1732770851819735e-16,3.1445623631005906e-16,0.0,4.846828339214659e-21,0.0,1.2258838893500197e-20,0.0,5.444764588410274e-28,0.0,7.868824993330024e-24,0.0,3.743785252301043e-57
1.1417243123734396e-05,4.2427391695521944e-16,4.205183042520371e-16,0.0,9.270949522771656e-21,0.0,1.889676214257663e-20,0.0,1.0779399063884141e-27,0.0,1.4637125478115284e-23,0.0,7.830490418264849e-57,1.0973406830820189e-21,3.1226387135956718e-18,4.242737280661477e-16,4.20513243535919e-16,0.0,1.1487801546115482e-20,0.0,2.1399524807335796e-20,0.0,1.3718001627137904e-27,0.0,1.813706779109884e-23,0.0,9.8366911904995e-57,4.242741529829534e-16,4.205246510542543e-16,0.0,6.4897455287408634e-21,0.0,1.575819736130579e-20,0.0,7.289785714487478e-28,0.0,1.0246157779426061e-23,0.0,5.386591869870605e-57
1.261800506495039e-05,5.667756351300091e-16,5.618669736959459e-16,0.0,1.2401765680555542e-20,0.0,2.4446629615172874e-20,0.0,1.44177049752819e-27,0.0,1.9050460972716646e-23,0.0,1.1260948668461013e-56,1.0973406830820189e-21,3.1226387135956718e-18,5.667754861327362e-16,5.618603186343281e-16,0.0,1.5367255918364164e-20,0.0,2.778694405703932e-20,0.0,1.8347932958734894e-27,0.0,2.360569902790567e-23,0.0,1.414591032141888e-56,5.667758209981364e-16,5.618753201556483e-16,0.0,8.681341782794025e-21,0.0,2.0257728235395704e-20,0.0,9.750421936734437e-28,0.0,1.3335540164382876e-23,0.0,7.746498954245876e-57
1.3945052241914414e-05,7.564109599558877e-16,7.499891457430759e-16,0.0,1.657193157663002e-20,0.0,3.162534401847997e-20,0.0,1.926219998826041e-27,0.0,2.478182231083496e-23,0.0,1.6184864309393635e-56,1.0973406830820189e-21,3.1226387135956718e-18,7.564108982471177e-16,7.499804047625977e-16,0.0,2.053458969563599e-20,0.0,3.607855112383888e-20,0.0,2.4512619154456537e-27,0.0,3.0707517812058935e-23,0.0,2.0331060889292875e-56,7.564110362180024e-16,7.500001084345253e-16,0.0,1.1600490283077448e-20,0.0,2.6040808379657346e-20,0.0,1.302695001635119e-27,0.0,1.7347553670029985e-23,0.0,1.1133865023761188e-56
