Energy,Flux Value,Flux Error,Is Upper Limit
1.5095185772444614e-06,5.6575e-15,1.1315e-15,0.0
1.5095185772444614e-06,5.6575e-15,1.1315e-15,0.0
1.5095185772444614e-06,5.6575e-15,1.1315e-15,0.0
1.5095185772444614e-06,5.65e-15,2.81e-16,0.0
1.5095185772444614e-06,5.6575e-15,1.1315e-15,0.0
1.5095185772444614e-06,5.6575e-15,2.92e-16,0.0
1.5880962566078716e-06,6.1402e-15,0.0,0.0
3.4863675633344683e-06,6.1708e-15,0.0,0.0
5.7072209221845385e-06,1.97e-14,9.65e-16,0.0
5.7072209221845385e-06,8.36e-15,0.0,0.0
5.7899342688828654e-06,1.2908e-14,2.576e-15,0.0
5.7899342688828654e-06,1.0251e-14,3.0759e-16,0.0
5.7899342688828654e-06,1.2908e-14,2.576e-15,0.0
5.7899342688828654e-06,6.72e-15,5.08e-16,0.0
5.7899342688828654e-06,2.85e-14,0.0,0.0
5.7899342688828654e-06,1.2908e-14,2.576e-15,0.0
5.7899342688828654e-06,1.2908e-14,2.52e-15,0.0
5.7899342688828654e-06,1.291e-14,2.38e-18,0.0
5.7899342688828654e-06,1.2908e-14,0.0,0.0
5.7899342688828654e-06,1.2908e-14,0.0,0.0
5.7899342688828654e-06,1.2908e-14,0.0,0.0
5.7899342688828654e-06,1.2712e-14,0.0,0.0
5.7899342688828654e-06,2.8504e-14,0.0,0.0
5.7899342688828654e-06,1.2712e-14,0.0,0.0
5.7899342688828654e-06,1.02e-14,3.08e-16,0.0
6.05461697831751e-06,2.6352e-14,0.0,0.0
6.058752645652427e-06,2.637e-14,5.274e-15,0.0
6.058752645652427e-06,2.637e-14,5.274e-15,0.0
6.199365335039582e-06,1.3611e-14,0.0,0.0
6.199365335039582e-06,1.3821e-14,0.0,0.0
6.203501002374499e-06,1.29e-14,0.0,0.0
6.203501002374499e-06,1.29e-14,0.0,0.0
9.512034870307564e-06,4.14e-15,0.0,0.0
9.512034870307564e-06,6.21e-15,0.0,0.0
9.512034870307564e-06,1.633e-14,0.0,0.0
9.512034870307564e-06,4.14e-15,0.0,0.0
9.512034870307564e-06,8.74e-15,1.541e-15,0.0
1.1166301804274097e-05,5.07e-14,2.04e-15,0.0
1.1269693487647006e-05,5.1238e-14,0.0,0.0
1.2407002004748997e-05,2.28e-14,0.0,0.0
1.2407002004748997e-05,2.145e-14,0.0,0.0
1.8941356393916803e-05,6.28e-14,3.21e-15,0.0
1.9851203207598396e-05,2.352e-14,8.16e-16,0.0
1.9851203207598396e-05,3.5232e-14,1.488e-15,0.0
1.9975273227645886e-05,6.49e-14,0.0,0.0
2.0057986574344214e-05,4.4538e-14,2.4735e-16,0.0
2.0057986574344214e-05,2.36e-14,0.0,0.0
2.0057986574344214e-05,4.69e-14,7.04e-15,0.0
2.0057986574344214e-05,6.0848e-14,1.455e-17,0.0
2.0057986574344214e-05,5.2622e-14,4.656e-15,0.0
2.0057986574344214e-05,4.76e-14,6.21e-15,0.0
2.0057986574344214e-05,4.7578e-14,6.208e-15,0.0
2.0202734931066285e-05,9.6235e-14,0.0,0.0
2.0202734931066285e-05,5.3247e-14,1.0747e-14,0.0
2.0202734931066285e-05,9.6235e-14,1.9051e-14,0.0
2.0202734931066285e-05,9.6235e-14,1.9051e-14,0.0
2.0202734931066285e-05,5.2758e-14,1.0747e-14,0.0
2.0202734931066285e-05,9.6235e-14,1.9051e-14,0.0
2.0202734931066285e-05,9.6235e-14,1.9051e-14,0.0
2.0202734931066285e-05,5.3247e-14,1.0747e-14,0.0
2.0202734931066285e-05,5.3247e-14,1.0747e-14,0.0
2.0223413267740866e-05,4.6e-14,0.0,0.0
2.067833667458166e-05,2.235e-14,2e-16,0.0
2.067833667458166e-05,3.6e-14,0.0,0.0
2.067833667458166e-05,1.6e-14,0.0,0.0
2.067833667458166e-05,1.6e-14,0.0,0.0
2.067833667458166e-05,3.6e-14,0.0,0.0
2.067833667458166e-05,3.5e-14,0.0,0.0
2.067833667458166e-05,3.285e-14,0.0,0.0
2.067833667458166e-05,3.185e-14,0.0,0.0
2.067833667458166e-05,2.01e-14,0.0,0.0
2.067833667458166e-05,4.75e-14,8.5e-15,0.0
2.067833667458166e-05,3.65e-14,0.0,0.0
2.067833667458166e-05,5.6e-14,0.0,0.0
2.067833667458166e-05,3.6e-14,0.0,0.0
2.067833667458166e-05,3.6e-14,0.0,0.0
2.067833667458166e-05,3.695e-14,0.0,0.0
2.067833667458166e-05,4.84e-14,0.0,0.0
2.4814004009497995e-05,5.4e-14,0.0,0.0
2.4814004009497995e-05,5.4e-14,0.0,0.0
3.184463847885576e-05,3.388e-14,1.925e-15,0.0
3.308533867933066e-05,3.352e-14,1.6e-16,0.0
3.308533867933066e-05,3.68e-14,0.0,0.0
3.308533867933066e-05,8.48e-14,0.0,0.0
3.3416192066123964e-05,1.7e-13,1.36e-14,0.0
3.453282224655138e-05,3.82e-14,0.0,0.0
3.473960561329719e-05,7.5012e-14,1.5036e-14,0.0
3.473960561329719e-05,7.5012e-14,1.5036e-14,0.0
3.473960561329719e-05,7.5012e-14,1.5036e-14,0.0
3.473960561329719e-05,3.86e-14,0.0,0.0
3.473960561329719e-05,8.86e-14,0.0,0.0
3.473960561329719e-05,7.5012e-14,1.512e-14,0.0
3.473960561329719e-05,1.0248e-13,2.016e-14,0.0
3.473960561329719e-05,1.008e-13,2.016e-14,0.0
3.473960561329719e-05,8.8662e-14,0.0,0.0
3.473960561329719e-05,7.5012e-14,1.5036e-14,0.0
3.473960561329719e-05,1.0248e-13,0.0,0.0
3.473960561329719e-05,7.5012e-14,0.0,0.0
3.498774565339217e-05,7.5556e-14,3.384e-17,0.0
3.498774565339217e-05,7.56e-14,0.0,0.0
3.498774565339217e-05,1.0303e-13,3.384e-17,0.0
3.5153172346788825e-05,7.5905e-14,0.0,0.0
3.556673908028046e-05,1.376e-14,0.0,0.0
3.556673908028046e-05,3.698e-14,0.0,0.0
3.556673908028046e-05,1.032e-14,0.0,0.0
3.556673908028046e-05,1.376e-14,0.0,0.0
4.3424507016621493e-05,4.62e-14,0.0,0.0
4.6319474151062924e-05,4.816e-14,2.8e-15,0.0
4.962800801899599e-05,5.472e-14,0.0,0.0
6.038074308977845e-05,6.02e-14,0.0,0.0
6.203501002374499e-05,5.73e-14,3.15e-15,0.0
6.203501002374499e-05,4.95e-14,0.0,0.0
6.203501002374499e-05,6e-14,0.0,0.0
6.203501002374499e-05,6.38e-14,3.45e-15,0.0
6.203501002374499e-05,1.05e-14,0.0,0.0
6.203501002374499e-05,9e-14,0.0,0.0
6.203501002374499e-05,8.1e-14,0.0,0.0
6.203501002374499e-05,6e-14,0.0,0.0
6.203501002374499e-05,4.95e-14,2.48e-15,0.0
6.203501002374499e-05,6.36e-14,4.5e-16,0.0
6.203501002374499e-05,6.92e-14,0.0,0.0
