Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
4954545454.545454,2.5543203685110166e-31,2.5543203685110166e-31,1.5022854660536154e-21
5475619548.647527,3.1195958935021196e-31,3.1195958935021196e-31,1.8347559400015615e-21
6051495483.61175,3.8099245695540586e-31,3.8099245695540586e-31,2.2407819854349597e-21
6687936819.353833,4.6529534718138795e-31,4.6529534718138795e-31,2.7366273705569203e-21
7391313274.677202,5.682434439995981e-31,5.682434439995981e-31,3.342147864378788e-21
8168664477.559725,6.939568828193012e-31,6.939568828193012e-31,4.08158281289267e-21
9027770420.116611,8.474647047867242e-31,8.474647047867242e-31,4.9845203880503975e-21
9977229323.376451,1.0349046892716002e-30,1.0349046892716002e-30,6.087074271723793e-21
11026543691.167227,1.2637668238537655e-30,1.2637668238537655e-30,7.433317594271319e-21
12186215414.368523,1.5431898079557603e-30,1.5431898079557603e-30,9.07702965508072e-21
13467850877.365267,1.884321949834787e-30,1.884321949834787e-30,1.108382261745024e-20
14884277118.643692,2.3007601638066328e-30,2.3007601638066328e-30,1.353372934237313e-20
16449670208.103806,2.809083568254767e-30,2.809083568254767e-30,1.6524350197540222e-20
18179697125.93171,3.429501492949577e-30,3.429501492949577e-30,2.017467647938063e-20
20091672563.003162,4.186639596682998e-30,4.186639596682998e-30,2.4629731474997648e-20
22204732212.129498,5.1104923418667735e-30,5.1104923418667735e-30,3.0066197634291026e-20
24540024284.503067,6.237573790674173e-30,6.237573790674173e-30,3.66992220355089e-20
27120921168.102947,7.612289873265634e-30,7.612289873265634e-30,4.479054996920686e-20
29973253346.409595,9.288640293182799e-30,9.288640293182799e-30,5.4658596020604e-20
33125567918.56547,1.1332217206386184e-29,1.1332217206386184e-29,6.669031572758898e-20
36609414308.33822,1.3822642334124631e-29,1.3822642334124631e-29,8.135568261777622e-20
40459660021.35791,1.685643412490181e-29,1.685643412490181e-29,9.92247809634703e-20
44714839610.83269,2.0550478875206963e-29,2.0550478875206963e-29,1.2098851619742393e-19
49417540344.3093,2.504608223077999e-29,2.504608223077999e-29,1.4748289625293432e-19
54614828431.36067,3.051322620815795e-29,3.051322620815795e-29,1.7971499317507913e-19
60358720078.03084,3.71524644127836e-29,3.71524644127836e-29,2.1887699139559805e-19
66706702082.50838,4.519998310829943e-29,4.519998310829943e-29,2.663779874679592e-19
73722307182.32451,5.493364943324222e-29,5.493364943324222e-29,3.238820170342189e-19
81475749911.3445,6.667960007274828e-29,6.667960007274828e-29,3.9335026062094347e-19
90044629330.42245,8.082268871488403e-29,8.082268871488403e-29,4.771052383087658e-19
99514705664.88434,9.781554894192512e-29,9.781554894192512e-29,5.778894994853475e-19
109980758621.6881,1.1819396349901857e-28,1.1819396349901857e-28,6.989600374472223e-19
121547535976.58723,1.4259010405183476e-28,1.4259010405183476e-28,8.441740345207847e-19
134330801925.07773,1.717505726176432e-28,1.717505726176432e-28,1.0181033051664526e-18
148458495689.37616,2.065581832205361e-28,2.065581832205361e-28,1.226172543816194e-18
164072011977.15735,2.480601853488537e-28,2.480601853488537e-28,1.4748364386249797e-18
181327616107.31366,2.974515423431374e-28,2.974515423431374e-28,1.7715223875942674e-18
200398007965.78845,3.5592687457781544e-28,3.5592687457781544e-28,2.123878557202545e-18
221474050444.0814,4.254323489762253e-28,4.254323489762253e-28,2.5438335705503885e-18
244766679659.2177,5.076188997025474e-28,5.076188997025474e-28,3.0420599781954744e-18
270509016073.3055,6.051939696540979e-28,6.051939696540979e-28,3.635271339040811e-18
298958697641.47534,7.20451197794709e-28,7.20451197794709e-28,4.338424136196443e-18
330400458339.12915,8.57111107760009e-28,8.57111107760009e-28,5.174690569858835e-18
365148977875.27,1.0183352132481678e-27,1.0183352132481678e-27,6.1648923879483335e-18
403552031112.79663,1.209393036739776e-27,1.209393036739776e-27,7.341996096527341e-18
445993968716.2217,1.4345691450627947e-27,1.4345691450627947e-27,8.734591747568233e-18
492899563862.30865,1.7012446549015796e-27,1.7012446549015796e-27,1.0389128606412377e-17
544738263512.79376,2.015346864799388e-27,2.015346864799388e-27,1.2345505549215051e-17
602028886797.3687,2.386575693764067e-27,2.386575693764067e-27,1.4665742269745173e-17
665344817529.9077,2.823026419502573e-27,2.823026419502573e-27,1.7404933433680902e-17
735319742826.4022,3.338350270188845e-27,3.338350270188845e-27,2.065077365956117e-17
812653995258.6045,3.9435406128662794e-27,3.9435406128662794e-27,2.447896918571956e-17
898121562017.7946,4.656794571816424e-27,4.656794571816424e-27,2.9008046169017754e-17
992577831238.7412,5.492633089733359e-27,5.492633089733359e-27,3.433979690486137e-17
1096968153011.6545,6.475719850126175e-27,6.475719850126175e-27,4.0636616331871e-17
