Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
4.758529606518435e-06,1.0225223661701432e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.027871637647556e-22,7.768422044823066e-19,1.0225223661701432e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0225223661701432e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.258988533926118e-06,2.518333712039058e-16,2.5257945724747863e-16,0.0,4.462303757131714e-31,0.0,3.30927377847297e-20,0.0,4.324759628028205e-35,0.0,3.555623694529326e-30,0.0,2.614787838658707e-62,3.027871637647556e-22,7.768422044823066e-19,2.5180563211207843e-16,2.525114746207766e-16,0.0,2.4235628450312552e-21,0.0,4.0951782417368325e-20,0.0,2.8104783774963485e-25,0.0,1.8615079754116572e-20,0.0,1.556531770543348e-52,2.518333712039058e-16,2.5257945724747863e-16,0.0,4.462303757131714e-31,0.0,3.30927377847297e-20,0.0,4.324759628028205e-35,0.0,3.555623694529326e-30,0.0,2.614787838658707e-62
5.812081186188441e-06,2.9841747029445455e-16,2.9940470944654947e-16,0.0,5.244342288205359e-31,0.0,3.650983172300056e-20,0.0,5.074845745673546e-35,0.0,4.1284373335222446e-30,0.0,3.2839175450355363e-62,3.027871637647556e-22,7.768422044823066e-19,2.984075558181693e-16,2.993512561863886e-16,0.0,2.847993805802006e-21,0.0,4.5414905377181533e-20,0.0,3.2960656698904243e-25,0.0,2.1615989278574328e-20,0.0,1.9553610420779474e-52,2.9841747029445455e-16,2.9940470944654947e-16,0.0,5.244342288205359e-31,0.0,3.650983172300056e-20,0.0,5.074845745673546e-35,0.0,4.1284373335222446e-30,0.0,3.2839175450355363e-62
6.423343100470064e-06,3.5186126542055504e-16,3.5313298726289364e-16,0.0,6.1390390626271335e-31,0.0,4.0143997947722546e-20,0.0,5.932866459188464e-35,0.0,4.764503000668295e-30,0.0,4.108273351803653e-62,3.027871637647556e-22,7.768422044823066e-19,3.5187173539923084e-16,3.530963602429362e-16,0.0,3.333507055687477e-21,0.0,5.019732017197677e-20,0.0,3.851433086506571e-25,0.0,2.4948265659414306e-20,0.0,2.4467571063469846e-52,3.5186126542055504e-16,3.5313298726289364e-16,0.0,6.1390390626271335e-31,0.0,4.0143997947722546e-20,0.0,5.932866459188464e-35,0.0,4.764503000668295e-30,0.0,4.108273351803653e-62
7.0988919914613875e-06,4.1305294106895513e-16,4.146569094661996e-16,0.0,7.1614889542748275e-31,0.0,4.4009781346344033e-20,0.0,6.913408987806428e-35,0.0,5.468359430157026e-30,0.0,5.122131412366131e-62,3.027871637647556e-22,7.768422044823066e-19,4.1308640775705736e-16,4.1463940226271436e-16,0.0,3.8882808232154016e-21,0.0,5.53228366293167e-20,0.0,4.486030079601342e-25,0.0,2.863566458705731e-20,0.0,3.051158505388054e-52,4.1305294106895513e-16,4.146569094661996e-16,0.0,7.1614889542748275e-31,0.0,4.4009781346344033e-20,0.0,6.913408987806428e-35,0.0,5.468359430157026e-30,0.0,5.122131412366131e-62
7.845488979523256e-06,4.830142655361382e-16,4.850033489576346e-16,0.0,8.329051547540724e-31,0.0,4.812386035576082e-20,0.0,8.033245483933838e-35,0.0,6.245049473434321e-30,0.0,6.36735481995078e-62,3.027871637647556e-22,7.768422044823066e-19,4.83073449209436e-16,4.850073060377782e-16,0.0,4.521719530289687e-21,0.0,6.081852977642829e-20,0.0,5.210720272548618e-25,0.0,3.270458513494826e-20,0.0,3.79352770969043e-52,4.830142655361382e-16,4.850033489576346e-16,0.0,8.329051547540724e-31,0.0,4.812386035576082e-20,0.0,8.033245483933838e-35,0.0,6.245049473434321e-30,0.0,6.36735481995078e-62
8.670606258252075e-06,5.629201701139994e-16,5.653531658483229e-16,0.0,9.661671744156022e-31,0.0,5.250501856167144e-20,0.0,9.311641847825277e-35,0.0,7.100196225672701e-30,0.0,7.895081313958078e-62,3.027871637647556e-22,7.768422044823066e-19,5.630079617204084e-16,5.653810441025297e-16,0.0,5.244627063613793e-21,0.0,6.671478582196139e-20,0.0,6.037980963668764e-25,0.0,3.718446864532689e-20,0.0,4.7043575632163915e-52,5.629201701139994e-16,5.653531658483229e-16,0.0,9.661671744156022e-31,0.0,5.250501856167144e-20,0.0,9.311641847825277e-35,0.0,7.100196225672701e-30,0.0,7.895081313958078e-62
9.582501878704913e-06,6.541204235275053e-16,6.570630345495164e-16,0.0,1.118224112982575e-30,0.0,5.717413552406158e-20,0.0,1.0770706751477257e-34,0.0,8.040085876935466e-30,0.0,9.767782639500242e-62,3.027871637647556e-22,7.768422044823066e-19,6.542399523183574e-16,6.571174696656155e-16,0.0,6.069402051688635e-21,0.0,7.304537308442674e-20,0.0,6.982128788383857e-25,0.0,4.2108232598643723e-20,0.0,5.8208993331279434e-52,6.541204235275053e-16,6.570630345495164e-16,0.0,1.118224112982575e-30,0.0,5.717413552406158e-20,0.0,1.0770706751477257e-34,0.0,8.040085876935466e-30,0.0,9.767782639500242e-62
1.0590302398749904e-05,7.581638691175246e-16,7.616898362651836e-16,0.0,1.2917007679974376e-30,0.0,6.215420366379534e-20,0.0,1.2435788088014073e-34,0.0,9.071761494232438e-30,0.0,1.2061778121459736e-61,3.027871637647556e-22,7.768422044823066e-19,7.583185741705288e-16,7.617737125400748e-16,0.0,7.010259238622751e-21,0.0,7.984754722749968e-20,0.0,8.059576183651067e-25,0.0,4.751276159407288e-20,0.0,7.188661596437449e-52,7.581638691175246e-16,7.616898362651836e-16,0.0,1.2917007679974376e-30,0.0,6.215420366379534e-20,0.0,1.2435788088014073e-34,0.0,9.071761494232438e-30,0.0,1.2061778121459736e-61
1.1704094224725182e-05,8.76825729520129e-16,8.810181273623142e-16,0.0,1.489604205612197e-30,0.0,6.747037521808431e-20,0.0,1.4335924737075117e-34,0.0,1.0203130981805862e-29,0.0,1.4870303325432552e-61,3.027871637647556e-22,7.768422044823066e-19,8.770194348718636e-16,8.811346504574249e-16,0.0,8.083481405081465e-21,0.0,8.716219675399464e-20,0.0,9.289123736178627e-25,0.0,5.34394725241889e-20,0.0,8.863240115492297e-52,8.76825729520129e-16,8.810181273623142e-16,0.0,1.489604205612197e-30,0.0,6.747037521808431e-20,0.0,1.4335924737075117e-34,0.0,1.0203130981805862e-29,0.0,1.4870303325432552e-61
