Energy,Flux Value,Flux Error,Is Upper Limit
1.5095185772444614e-06,1.15e-15,8.39e-17,0.0
1.5880962566078716e-06,1.1789e-15,0.0,0.0
3.4863675633344683e-06,2.6554e-15,0.0,0.0
5.7899342688828654e-06,4.41e-15,1.4e-16,0.0
5.7899342688828654e-06,4.42e-15,1.33e-16,0.0
5.7899342688828654e-06,4.8e-15,0.0,0.0
5.7899342688828654e-06,4.4175e-15,1.3265e-16,0.0
5.7899342688828654e-06,4.41e-15,8.82e-16,0.0
5.7899342688828654e-06,4.41e-15,0.0,0.0
5.7899342688828654e-06,4.802e-15,0.0,0.0
6.203501002374499e-06,4.65e-15,0.0,0.0
9.512034870307564e-06,5.98e-15,0.0,0.0
9.512034870307564e-06,1.311e-14,5.29e-16,0.0
9.512034870307564e-06,3.22e-15,0.0,0.0
9.512034870307564e-06,5.98e-15,0.0,0.0
1.2407002004748997e-05,7.77e-15,0.0,0.0
1.2407002004748997e-05,7.8e-15,0.0,0.0
1.9768489860900068e-05,1.92e-14,0.0,0.0
1.9851203207598396e-05,3.408e-14,7.2e-16,0.0
1.9851203207598396e-05,2.928e-14,6.24e-16,0.0
2.0057986574344214e-05,1.62e-14,9.7e-16,0.0
2.0057986574344214e-05,2.54e-14,3.54e-15,0.0
2.0057986574344214e-05,1.6199e-14,9.7e-16,0.0
2.0057986574344214e-05,2.5414e-14,3.5405e-15,0.0
2.0057986574344214e-05,3.0235e-14,3.88e-17,0.0
2.0057986574344214e-05,1.5428e-14,4.85e-18,0.0
2.0057986574344214e-05,2.2407e-14,1.9885e-15,0.0
2.0057986574344214e-05,2.49e-14,3.73e-15,0.0
2.0202734931066285e-05,2.2569e-14,4.4942e-15,0.0
2.0223413267740866e-05,1.45e-14,0.0,0.0
2.067833667458166e-05,2.565e-14,0.0,0.0
2.4814004009497995e-05,3.144e-14,0.0,0.0
3.184463847885576e-05,4.235e-14,1.155e-15,0.0
3.308533867933066e-05,2.584e-14,0.0,0.0
3.473960561329719e-05,2.7149e-14,0.0,0.0
3.473960561329719e-05,2.7132e-14,5.46e-15,0.0
3.473960561329719e-05,2.71e-14,0.0,0.0
