Energy,Neutrino Flux Best Fit,Neutrino Flux Min,Neutrino Flux Max
6798165137.614678,5.1594715832172274e-21,3.2600137016451963e-21,6.901276143261434e-21
7513134406.367476,6.301374056259935e-21,3.98150556861285e-21,8.428705413584136e-21
8303297649.510879,7.695934217600625e-21,4.862627278017188e-21,1.0294105059526404e-20
9176563086.365305,9.399026433254255e-21,5.938677330059037e-21,1.2572220436388694e-20
10141670650.937443,1.1478869380260574e-20,7.252751442868197e-21,1.5354312183511188e-20
11208279464.117384,1.4018748056446754e-20,8.857461357413006e-21,1.8751798729226418e-20
12387064505.407038,1.7120333725082182e-20,1.081703097382355e-20,2.290069926407147e-20
13689823451.702965,2.0907732124115602e-20,1.3209851961980679e-20,2.7967051803543756e-20
15129594752.412096,2.553241822202817e-20,1.6131598560662602e-20,3.415351847898618e-20
16720788122.635777,3.117924954554799e-20,1.969902247022461e-20,4.1707435514833703e-20
18479328760.441765,3.8073790746779634e-20,2.4054574236519295e-20,5.093061997959918e-20
20422816731.599148,4.6491230898026814e-20,2.9372028101915856e-20,6.219131108336344e-20
22570703116.95213,5.676723345980029e-20,3.5863323848460886e-20,7.593870253722239e-20
24944484685.374863,6.931112859622867e-20,4.3786882660762327e-20,9.272061654936767e-20
27567919040.65967,8.462194030779604e-20,5.3457705554615604e-20,1.132049819121843e-19
30467262395.600967,1.0330783863215533e-19,6.525962356238953e-20,1.382059110447908e-19
33671532352.997982,1.2610969753755799e-19,7.966012302934985e-20,1.6871529592055754e-19
37212798323.57665,1.53929338340014e-19,9.722809070535751e-20,2.0594072929898374e-19
41126502487.43113,1.878644286137753e-19,1.1865576532900416e-19,2.5135232659992373e-19
45451814511.274666,2.2924983396657626e-19,1.4478467841111954e-19,3.0673830435100416e-19
50232023571.62946,2.7970805431267354e-19,1.7663729190659528e-19,3.7427277140594305e-19
55514971607.455315,3.4120907286572095e-19,2.1545444439006484e-19,4.565963082454553e-19
61353532138.3549,4.161429580326583e-19,2.62740750059518e-19,5.569137540066476e-19
67806139440.52945,5.074055173532652e-19,3.203179909768001e-19,6.791098128732582e-19
74937373376.6553,6.184919892091348e-19,3.903828423480786e-19,8.27876472281814e-19
82818605732.85571,7.535592611255917e-19,4.755415903450803e-19,1.0088027614561456e-18
91528714531.52525,9.175450656273824e-19,5.788822008674019e-19,1.2285388039674877e-18
101154873469.08965,1.1163109600016683e-18,7.040606975831549e-19,1.4949927079468147e-18
111793424379.65979,1.3568044575399836e-18,8.553980628977423e-19,1.8175553171783398e-18
123550841456.4891,1.6472940405193949e-18,1.038024210328445e-18,2.207420999584113e-18
136544796881.4868,1.9975979872092262e-18,1.2580138737648677e-18,2.6779060992308005e-18
150905338527.9656,2.4194303905422793e-18,1.5225985743369173e-18,3.244921259428198e-18
166776191523.46814,2.92673637452533e-18,1.840365611557415e-18,3.9274380474352535e-18
184316196699.15137,3.536129217965663e-18,2.2215205821129704e-18,4.74809311889823e-18
203700900322.2128,4.267419478864007e-18,2.6782049844020317e-18,5.733919779709881e-18
225124311021.9358,5.1442838610032344e-18,3.224900361327836e-18,6.917268971263914e-18
248800841493.26044,6.19427359552365e-18,3.8783677067900446e-18,8.335914230810086e-18
