Energy,Total Flux,Synchrotron Primary Electrons,Compton Primary Electrons,Synchrotron Bethe Heitler Pairs,Compton Bethe Heitler Pairs,Synchrotron Photon Annihilation Pairs,Compton Photon Annihilation Pairs,Synchrotron Photopion Pairs,Compton Photopion Pairs,Synchrotron Primary Protons,Compton Primary Protons,Neutral Pion Decay,Disk,Torus,Max Total Flux,Max Synchrotron Primary Electrons,Max Compton Primary Electrons,Max Synchrotron Bethe Heitler Pairs,Max Compton Bethe Heitler Pairs,Max Synchrotron Photon Annihilation Pairs,Max Compton Photon Annihilation Pairs,Max Synchrotron Photopion Pairs,Max Compton Photopion Pairs,Max Synchrotron Primary Protons,Max Compton Primary Protons,Max Neutral Pion Decay,Min Total Flux,Min Synchrotron Primary Electrons,Min Compton Primary Electrons,Min Synchrotron Bethe Heitler Pairs,Min Compton Bethe Heitler Pairs,Min Synchrotron Photon Annihilation Pairs,Min Compton Photon Annihilation Pairs,Min Synchrotron Photopion Pairs,Min Compton Photopion Pairs,Min Synchrotron Primary Protons,Min Compton Primary Protons,Min Neutral Pion Decay
2.401962300585663e-06,5.0972975472181287e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2550961215298218e-22,8.180004874003976e-19,5.0972975472181287e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0972975472181287e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.654578880921346e-06,2.3959927508920446e-16,2.3994459684901465e-16,0.0,2.2624800762876013e-22,0.0,2.1709879407899246e-22,0.0,3.344419692576105e-26,0.0,1.8368916592347178e-19,0.0,7.984876732119371e-53,1.2550961215298218e-22,8.180004874003976e-19,2.39645962710737e-16,2.3994581762795284e-16,0.0,3.2073683505075257e-22,0.0,2.436479642716412e-22,0.0,4.911259500639262e-26,0.0,2.27652581102227e-19,0.0,1.069295038490496e-52,2.3954073196642736e-16,2.3994304277565147e-16,0.0,1.2980232196628895e-22,0.0,1.8653478323300966e-22,0.0,1.7993357781175474e-26,0.0,1.2828233682455287e-19,0.0,5.029087385149927e-53
2.933763378932074e-06,2.8165163095850767e-16,2.821003326035936e-16,0.0,2.624602957729575e-22,0.0,2.374800921264092e-22,0.0,3.883852985640991e-26,0.0,2.094561190599564e-19,0.0,9.95095287228005e-53,1.2550961215298218e-22,8.180004874003976e-19,2.817049264523746e-16,2.8210202587158453e-16,0.0,3.7205219504223193e-22,0.0,2.669996599345547e-22,0.0,5.703406788249442e-26,0.0,2.5958675968571496e-19,0.0,1.332591083745598e-52,2.815848138654072e-16,2.8209819443591384e-16,0.0,1.5059076016034827e-22,0.0,2.0348726857697073e-22,0.0,2.0895452258079265e-26,0.0,1.4627692780883722e-19,0.0,6.267240096801413e-53
3.2423099669110676e-06,3.2976228454488686e-16,3.3033286957142495e-16,0.0,3.036436783607424e-22,0.0,2.591341036508651e-22,0.0,4.4997711876141406e-26,0.0,2.3772190976553444e-19,0.0,1.2365748405165125e-52,1.2550961215298218e-22,8.180004874003976e-19,3.298228650794557e-16,3.3033510900727367e-16,0.0,4.304118061863787e-22,0.0,2.9187340412276196e-22,0.0,6.607873756721104e-26,0.0,2.9461786489789968e-19,0.0,1.6559801833069291e-52,3.296863459465e-16,3.3033005590952292e-16,0.0,1.7423300904233964e-22,0.0,2.2142537082435726e-22,0.0,2.4209003190277947e-26,0.0,1.6601660394485776e-19,0.0,7.787965988976773e-53
3.5833066828169323e-06,3.8473548202294735e-16,3.854486044585714e-16,0.0,3.504601067166839e-22,0.0,2.8214872179162273e-22,0.0,5.20284205260575e-26,0.0,2.686941273017433e-19,0.0,1.5328463560008643e-52,1.2550961215298218e-22,8.180004874003976e-19,3.848040868386337e-16,3.854514710804635e-16,0.0,4.967535978684157e-22,0.0,3.183775707948246e-22,0.0,7.640327052886354e-26,0.0,3.330031692101786e-19,0.0,2.0527473398365775e-52,3.846494966820932e-16,3.854450147483606e-16,0.0,2.0110914802193269e-22,0.0,2.404136709068803e-22,0.0,2.799139385394646e-26,0.0,1.876463388409943e-19,0.0,9.65373486762408e-53
3.960166336395398e-06,4.474948935384698e-16,4.483736929679102e-16,0.0,4.0366542982402957e-22,0.0,3.0662030916381475e-22,0.0,6.005294769846969e-26,0.0,3.026143185467798e-19,0.0,1.8960278975997064e-52,1.2550961215298218e-22,8.180004874003976e-19,4.475723327237031e-16,4.483772764799668e-16,0.0,5.721483832994927e-22,0.0,3.4663097380830435e-22,0.0,8.81872650185456e-26,0.0,3.7504203054560294e-19,0.0,2.539121195955904e-52,4.473978475488565e-16,4.483692158405024e-16,0.0,2.3165328270799743e-22,0.0,2.6052299621923282e-22,0.0,3.2308406137480277e-26,0.0,2.113348205856709e-19,0.0,1.1940858371510136e-52
4.376660665726366e-06,5.191003208059692e-16,5.201708203599993e-16,0.0,4.641218459401452e-22,0.0,3.326534379817279e-22,0.0,6.921138640116164e-26,0.0,3.397613258849524e-19,0.0,2.3409231191060195e-52,1.2550961215298218e-22,8.180004874003976e-19,5.191874848349993e-16,5.201752206966831e-16,0.0,6.578174512920909e-22,0.0,3.7676267959200925e-22,0.0,1.016364627850868e-25,0.0,4.2108002909009484e-19,0.0,3.134926965906287e-52,5.18991099673371e-16,5.201653317244427e-16,0.0,2.6636073014692538e-22,0.0,2.818300862676853e-22,0.0,3.7235396648058746e-26,0.0,2.3727678278466933e-19,0.0,1.4742560222460882e-52
4.8369580860463905e-06,6.007664239315574e-16,6.020579937966906e-16,0.0,5.328119925084071e-22,0.0,3.6036071458708766e-22,0.0,7.966412644220436e-26,0.0,3.8045429320251363e-19,0.0,2.8856164824160823e-52,1.2550961215298218e-22,8.180004874003976e-19,6.008642940003183e-16,6.020633228673145e-16,0.0,7.5515246781946395e-22,0.0,4.0891191484894004e-22,0.0,1.1698641454249177e-25,0.0,4.715126927507338e-19,0.0,3.864383559109227e-52,6.006437996576234e-16,6.020513546830449e-16,0.0,3.0579615287945617e-22,0.0,3.0441733183766294e-22,0.0,4.285863894187443e-26,0.0,2.6569510383271525e-19,0.0,1.817272450766949e-52
5.345665408649305e-06,6.938838395044869e-16,6.954297301709231e-16,0.0,6.108549227891169e-22,0.0,3.8986269185789052e-22,0.0,9.159470590049048e-26,0.0,4.2505539046557474e-19,0.0,3.552200035878609e-52,1.2550961215298218e-22,8.180004874003976e-19,6.939934987320264e-16,6.954361138143637e-16,0.0,8.657380360009334e-22,0.0,4.432280744054222e-22,0.0,1.3450666802468926e-25,0.0,5.267888738254308e-19,0.0,4.757076890432759e-52,6.937464565888e-16,6.954217843110653e-16,0.0,3.506027867976151e-22,0.0,3.283725893172541e-22,0.0,4.92768570795826e-26,0.0,2.968427096643811e-19,0.0,2.2370472442130385e-52
5.9078739474021935e-06,8.000430898356088e-16,8.018810412085154e-16,0.0,6.995242414900108e-22,0.0,4.2128786687463324e-22,0.0,1.0521307095536338e-25,0.0,4.739723553001762e-19,0.0,4.3676609297423836e-52,1.2550961215298218e-22,8.180004874003976e-19,8.00165735424806e-16,8.01888621375517e-16,0.0,9.91377296448653e-22,0.0,4.798708275455661e-22,0.0,1.5450555584870806e-25,0.0,5.87413898866473e-19,0.0,5.8491484513256135e-52,7.998894500789842e-16,8.018716123331934e-16,0.0,4.015129218440288e-22,0.0,3.537890665374411e-22,0.0,5.660297877707478e-26,0.0,3.3100434871282387e-19,0.0,2.7505751348219725e-52
